feature,importance_mean,importance_std
ph_win_rate_ratio_min_Team1,0.023595505617977564,0.020839592124709417
ph_win_rate_ratio_median_Team1,0.017977528089887663,0.012511830028831503
ph_damage_per_min_ratio_max_Team1,0.015730337078651725,0.008988764044943844
ph_win_rate_ratio_max_Team1,0.01460674157303372,0.02178732520187115
ph_win_rate_ratio_max_Team0,0.012359550561797782,0.013006558317741859
ph_damage_per_min_max_Team1,0.011235955056179803,0.0035531209664813337
ph_time_played_ratio_max_Team0,0.011235955056179803,0.006154186039383903
ph_deaths_min_Team1,0.010112359550561823,0.005504471332097043
ph_time_played_q25_Team0,0.010112359550561823,0.009665534007913087
ph_total_kd_q75_Team0,0.010112359550561823,0.004204109423341517
ph_win_rate_ratio_min_Team0,0.008988764044943864,0.010419796062354705
p_total_time_played_max_Team0,0.008988764044943842,0.005729235408531233
ph_total_kd_max_Team1,0.008988764044943842,0.009795278524810526
ph_deaths_q75_Team0,0.008988764044943842,0.006741573033707882
ph_wins_q25_Team0,0.008988764044943842,0.007620595486657623
p_total_time_played_q75_Team0,0.008988764044943842,0.013103262685045651
ph_damage_per_min_median_Team1,0.008988764044943842,0.005729235408531233
ph_kd_ratio_q25_Team1,0.007865168539325862,0.004494382022471921
ph_kills_median_Team0,0.006741573033707882,0.004204109423341517
ph_wins_median_Team0,0.006741573033707882,0.006551631342522826
ph_time_played_q75_Team1,0.006741573033707882,0.004204109423341517
ph_total_kd_q25_Team1,0.005617977528089924,0.009400674455439033
ph_time_played_max_Team1,0.005617977528089901,0.0035531209664813337
ph_total_kd_median_Team1,0.004494382022471921,0.0065516313425228265
ph_time_played_max_Team0,0.004494382022471921,0.006551631342522826
ph_deaths_max_Team0,0.003370786516853941,0.010419796062354748
ph_damage_per_min_ratio_min_Team0,0.003370786516853941,0.004494382022471921
ph_deaths_max_Team1,0.003370786516853941,0.0027522356660485215
ph_kills_min_Team0,0.003370786516853941,0.004494382022471922
ph_kills_min_Team1,0.003370786516853941,0.007620595486657623
p_total_time_played_median_Team1,0.003370786516853941,0.005729235408531233
ph_wins_max_Team1,0.003370786516853941,0.002752235666048521
ph_total_kd_q25_Team0,0.0022471910112359826,0.008408218846683
ph_win_rate_ratio_q25_Team1,0.0022471910112359826,0.007620595486657584
ph_kills_q75_Team1,0.0022471910112359826,0.007620595486657584
ph_wins_q75_Team0,0.0022471910112359605,0.0027522356660485215
ph_deaths_min_Team0,0.0022471910112359605,0.002752235666048521
ph_damage_per_min_ratio_median_Team1,0.0022471910112359605,0.004494382022471922
ph_wins_q25_Team1,0.0011235955056180026,0.009665534007913057
ph_damage_per_min_q75_Team1,0.0011235955056179802,0.004204109423341517
ph_time_played_min_Team1,0.0011235955056179802,0.0022471910112359605
ph_assists_ratio_median_Team0,0.0011235955056179802,0.005504471332097044
ph_kd_ratio_median_Team1,0.0011235955056179802,0.005504471332097044
ph_kills_max_Team1,0.0011235955056179802,0.005504471332097044
ph_damage_per_min_ratio_q25_Team1,0.0011235955056179802,0.0022471910112359605
ph_total_kd_median_Team0,2.2204460492503132e-17,0.009400674455439047
ph_time_played_ratio_min_Team0,2.2204460492503132e-17,0.007945020013331984
ph_assists_ratio_max_Team1,2.2204460492503132e-17,0.013294561310336211
ph_damage_per_min_ratio_median_Team0,0.0,0.0035531209664813337
ph_kills_q75_Team0,0.0,0.0035531209664813337
ph_deaths_q75_Team1,0.0,0.0
ph_damage_per_min_max_Team0,0.0,0.0035531209664813337
ph_damage_per_min_ratio_min_Team1,0.0,0.0035531209664813337
ph_kd_ratio_max_Team0,0.0,0.0
ph_assists_ratio_min_Team1,0.0,0.0035531209664813337
p_total_time_played_min_Team0,-0.0011235955056179581,0.008256706998145538
ph_assists_q75_Team0,-0.0011235955056179581,0.006551631342522791
ph_time_played_ratio_median_Team0,-0.0011235955056179581,0.005504471332097001
ph_time_played_ratio_q25_Team0,-0.0011235955056179581,0.006551631342522791
ph_win_rate_ratio_q75_Team1,-0.0011235955056179581,0.006551631342522791
ph_wins_max_Team0,-0.0011235955056179581,0.005504471332097001
ph_assists_min_Team1,-0.0011235955056179581,0.007453089416528977
ph_assists_q75_Team1,-0.0011235955056179581,0.006551631342522791
ph_kd_ratio_max_Team1,-0.0011235955056179581,0.006551631342522791
ph_damage_per_min_min_Team0,-0.0011235955056179802,0.004204109423341517
ph_time_played_min_Team0,-0.0011235955056179802,0.0022471910112359605
ph_damage_per_min_median_Team0,-0.0011235955056179802,0.0022471910112359605
ph_wins_median_Team1,-0.0011235955056179802,0.0022471910112359605
ph_kd_ratio_q75_Team1,-0.0011235955056179802,0.004204109423341517
p_total_time_played_q75_Team1,-0.0022471910112359162,0.008408218846682986
ph_assists_q25_Team0,-0.0022471910112359383,0.011568123753917968
ph_assists_ratio_q25_Team0,-0.0022471910112359383,0.008408218846682997
p_total_time_played_max_Team1,-0.0022471910112359383,0.009795278524810493
p_total_time_played_median_Team0,-0.0022471910112359383,0.005729235408531198
ph_deaths_q25_Team1,-0.0022471910112359605,0.0027522356660485215
ph_assists_ratio_q75_Team0,-0.0022471910112359605,0.002752235666048521
ph_wins_min_Team0,-0.0022471910112359605,0.0027522356660485215
ph_kd_ratio_median_Team0,-0.003370786516853874,0.012101493948616837
ph_total_kd_q75_Team1,-0.0033707865168538962,0.00674157303370783
ph_kd_ratio_q25_Team0,-0.0033707865168538962,0.00912813303891678
ph_total_kd_min_Team1,-0.0033707865168538962,0.012101493948616843
ph_assists_ratio_min_Team0,-0.003370786516853919,0.005729235408531203
ph_time_played_q75_Team0,-0.003370786516853941,0.004494382022471921
ph_assists_median_Team1,-0.003370786516853941,0.0027522356660485215
ph_deaths_median_Team0,-0.004494382022471854,0.00825670699814551
ph_time_played_ratio_q75_Team0,-0.004494382022471877,0.00655163134252278
p_total_time_played_q25_Team0,-0.004494382022471877,0.008256706998145513
ph_damage_per_min_ratio_max_Team0,-0.004494382022471877,0.008256706998145513
ph_assists_q25_Team1,-0.004494382022471877,0.006551631342522779
ph_assists_ratio_q75_Team1,-0.004494382022471899,0.004204109423341482
ph_time_played_ratio_max_Team1,-0.004494382022471899,0.004204109423341482
ph_wins_q75_Team1,-0.004494382022471899,0.004204109423341482
ph_assists_ratio_max_Team0,-0.004494382022471899,0.004204109423341482
ph_assists_ratio_median_Team1,-0.004494382022471921,0.0022471910112359605
p_total_time_played_min_Team1,-0.005617977528089857,0.006154186039383862
