,match_id,team,p_total_time_played_min,p_total_time_played_max,p_total_time_played_mean,p_total_time_played_std,ph_wins_min,ph_wins_max,ph_wins_mean,ph_wins_std,ph_kills_min,ph_kills_max,ph_kills_mean,ph_kills_std,ph_deaths_min,ph_deaths_max,ph_deaths_mean,ph_deaths_std,ph_assists_min,ph_assists_max,ph_assists_mean,ph_assists_std,ph_damage_per_min_min,ph_damage_per_min_max,ph_damage_per_min_mean,ph_damage_per_min_std,ph_time_played_min,ph_time_played_max,ph_time_played_mean,ph_time_played_std,ph_total_kd_min,ph_total_kd_max,ph_total_kd_mean,ph_total_kd_std,ph_kd_ratio_min,ph_kd_ratio_max,ph_kd_ratio_mean,ph_kd_ratio_std,ph_time_played_ratio_min,ph_time_played_ratio_max,ph_time_played_ratio_mean,ph_time_played_ratio_std,ph_damage_per_min_ratio_min,ph_damage_per_min_ratio_max,ph_damage_per_min_ratio_mean,ph_damage_per_min_ratio_std,ph_assists_ratio_min,ph_assists_ratio_max,ph_assists_ratio_mean,ph_assists_ratio_std,ph_win_rate_ratio_min,ph_win_rate_ratio_max,ph_win_rate_ratio_mean,ph_win_rate_ratio_std,pm_win_first
0,38648445,Team0,370484,1618549,842941.3333333334,480139.6293524069,2,422,104.66666666666667,158.76985440147845,25,5578,1343.8333333333333,2105.6261222417115,5,5368,1175.5,2067.234069959181,33,9105,2201.1666666666665,3440.7598240311204,844.3825503419611,1409.270764617691,1018.5655757695928,210.79655243682643,3451,1515416,368285.3333333333,572746.1093020769,0.6815286624203821,5.0,1.9129928892758972,1.564377338717842,0.1811328295359664,1.592959618295819,0.8799806440735111,0.4842830703863717,0.05734231700485768,18.217691529317825,4.973676773420382,7.0414754257530054,0.9036757577088578,1.843488189887946,1.2739911127725514,0.3197030865790543,0.10570996627514828,19.24062617757331,5.2364000859481665,7.425258317787255,1.016010776824703,1.936207564002722,1.2578808593726152,0.33835011661725467,Y
1,38648445,Team1,452801,2333503,987176.5,702248.0057725334,12,70,32.666666666666664,21.38847041437668,156,1161,461.5,368.3621858986071,93,648,301.5,217.06934375908543,210,1118,601.5,336.53513932426137,845.6956796751971,1238.5829694743024,1012.5173213277329,146.40224435073085,35181,191276,92097.83333333333,60034.618117938146,0.7564655172413793,2.161290322580645,1.6248513035290009,0.48814369892727155,0.4002834453116099,1.637590933167537,0.889645619646016,0.43835720668969463,0.43306093830609477,1.8334653080650452,0.967567433971563,0.5919313870713685,0.9509872795382002,1.6589110589907459,1.2675213163451298,0.2673068567103739,0.44895961634828385,2.0892196746491516,1.101061104102951,0.691545085270242,1.0222957933080852,1.3977291841472423,1.2258288461599514,0.15387449544748424,N
2,38648734,Team0,730576,3542797,2366166.0,955880.0038488095,20,454,161.83333333333334,167.65967513587358,160,6219,2662.8333333333335,2612.296722554057,107,3721,1483.6666666666667,1400.0190951078728,443,9783,3176.6666666666665,3561.1830992897103,549.2649018668125,1137.515510119861,929.0595977981734,225.37416530204555,56364,1691627,574441.6666666666,623529.7377683495,0.5138888888888888,2.7320143884892087,1.62069867228274,0.7046294499845213,0.39737991224387004,1.6834937577883229,0.964813923836615,0.42057953637734447,0.6938133289754335,10.044736360843261,4.183019974402982,3.604320346922324,0.9125529243382242,1.4244239134339705,1.117753812020707,0.20354622257997984,0.9470910002013797,9.33987219542929,4.108331775580527,3.3895190867710827,1.0397584362913421,1.3690357090301108,1.1268121813220813,0.12557013460846522,Y
3,38648734,Team1,682674,3095841,1703761.0,874469.0988349445,4,462,161.83333333333334,161.1091762335922,80,5994,2058.0,2047.2087338617916,109,4597,1634.3333333333333,1636.050936452367,193,8931,3237.8333333333335,3224.364645424997,598.5979611683345,1209.091829316402,905.4928179019871,196.91381294773822,32003,1606496,577010.1666666666,571184.4548211783,0.7339449541284404,2.1767810026385224,1.3282791862766568,0.5643465201597481,0.653114418752031,1.7425478216072796,1.0814290449323447,0.37848439230965464,0.5365565478632679,16.453486471508167,7.926878974862002,7.153384260752679,0.7944506287658472,1.4448777110655626,1.1201230412088585,0.2156586720084296,0.5064118036360805,15.924904544830474,7.748382031005346,6.844289281331454,0.49201401816966667,1.3583532808412544,1.012132690154241,0.2865441222194064,N
4,38648877,Team0,337492,6354509,2307951.3333333335,2146047.311330733,8,510,120.0,193.07304317278474,114,7804,1809.1666666666667,2974.7562869362364,80,4440,1160.5,1639.4762273360354,219,10816,2621.8333333333335,4059.3394249146827,686.5470885677206,1184.4608429356465,991.6519763899217,169.6460164884497,30571,1550030,390253.5,577429.1229208135,0.4539363484087102,2.0604395604395602,1.4029267333184852,0.5462616253537931,0.6207093891768072,1.9058371061801076,1.0689192787663682,0.4754926796784677,0.299680072792148,9.203945492356105,2.9408316106955965,3.1874713225235376,1.0993308272603668,1.4449033381749798,1.2434851248218697,0.1528817752147056,0.33528582166658705,10.326081740341735,3.3018960000825284,3.6393144438541163,0.83874863294076,1.233188981438075,1.0333493818959536,0.1442298687084462,N
5,38648877,Team1,217922,4199569,2138568.1666666665,1351295.6551424882,13,676,250.5,307.98944787118927,178,10253,3346.0,4240.514166937778,146,9142,2771.5,3639.8721818217737,320,11584,4475.833333333333,5205.142934316662,706.6261039270374,975.8276792301896,876.8090179983063,109.03268495011224,42582,2292607,837115.8333333334,1031392.9359233399,1.1215270181579524,1.354901201084851,1.2301000092868544,0.08809436600756512,0.7535969182490776,1.2639561969309245,1.0190514741608447,0.18197101829303142,0.4653611669054137,23.189326832870158,8.39022695019778,10.127041252714942,0.9138266792403018,1.2366260465994279,1.0446262145958662,0.11625389023012422,0.5688775151810541,23.13866289962057,8.922407555095157,10.528364342642687,0.9655324401325666,1.1169636807373253,1.0467151341603598,0.06342180790936229,Y
6,38649032,Team0,412456,2368830,1370147.3333333333,694628.6292981788,5,306,78.0,116.15851238716859,76,3653,1052.5,1384.410452141994,47,4207,974.5,1608.0769571136825,37,4890,1315.0,1842.9196401362703,795.3817480782827,970.803156058622,896.78965600128,73.95213493969439,15498,1117832,283633.0,422641.3852343379,0.7387755102040816,1.8876651982378854,1.3409776729628007,0.491413498869082,0.6049677872145105,1.580205785864494,0.9995777454220988,0.39185840097935026,0.13239345910060304,10.345673365740806,2.6037738100354493,3.895290673025667,0.8253207013903254,1.1853043658351503,1.0633616842447555,0.13725215542825359,0.07491820900865352,9.343068752123065,2.3797264211215623,3.5135631061797317,0.6361011915110744,1.1592977763882075,1.0087223326759238,0.19892214833831934,N
7,38649032,Team1,215022,4004780,1883511.8333333333,1236927.4829137586,6,569,175.66666666666666,254.37662366394179,84,8351,2725.6666666666665,3945.708842105138,81,6682,1881.6666666666667,2844.830446031304,116,11726,3633.8333333333335,5309.613108943689,736.7531030876648,949.3798335236264,853.999561876631,85.21632957056971,26714,1910199,609414.0,880522.8720774945,0.65625,2.3333333333333335,1.5849103879792084,0.5856530523458884,0.5481146489983579,2.25621658382455,1.065895665114879,0.624657577643311,0.20339969603225075,19.256212614365797,5.445934797867942,8.034115477135153,0.8455004805571154,1.1712230804117854,1.029449529578781,0.12957558153660603,0.20040005487628276,19.407882843855813,5.461605996892897,8.054460877010806,0.8239595155516294,1.2728188730910943,1.0759555811229193,0.17579164935371253,Y
8,38649125,Team0,1502187,2423327,2111556.3333333335,349099.10456182313,49,565,228.83333333333334,183.9113010846986,510,3876,1817.6666666666667,1123.2347335560216,257,7053,2427.5,2429.441067406246,813,7891,4317.0,2749.3266084625157,403.55009550069553,1212.4621034730142,839.8606383213129,291.8941402798147,111776,2016248,791006.3333333334,670302.4080307833,0.5495533815397703,1.9844357976653697,1.1270324659950015,0.5973931351580868,0.6242485011335531,1.6480003182626046,1.1848934497523331,0.38502830749598776,1.1447927065111254,33.50226948026957,11.305019998604541,11.598933130399843,0.6704612264765216,1.2842894589277802,1.0249266575874862,0.22016051552663518,1.4496637996805706,25.27749526900591,10.039146176972231,8.436040206052185,1.0379101268136033,1.300615711321547,1.1650995806910267,0.09497943113805828,N
9,38649125,Team1,1304533,3296440,2366959.0,833585.0594318495,62,687,218.16666666666666,236.8251816565685,564,15854,4061.6666666666665,5866.02678707374,543,11628,2936.3333333333335,4296.291827456169,1102,10410,3539.3333333333335,3569.265339907733,842.1869839826317,1231.323695024381,1046.9176461735979,129.2352716988001,203061,2421627,748956.1666666666,844801.6630933952,1.0386740331491713,1.6767241379310345,1.3620573097083062,0.27745820667177784,0.7007912531845306,1.3886725362387946,1.0347895910352207,0.23145398746980891,1.7074260101645653,20.68702898318596,7.017390240608369,7.085197180508699,0.9757587483549731,1.3415045000678025,1.158261085490275,0.1402259718101369,1.9038005213246862,21.078339345407652,7.140948529725552,7.245584421607289,0.9691014356352498,1.1926362014870355,1.1209194434513352,0.08025197438415081,Y
