,match_id,team_0_win,p_total_time_played_min_diff,p_total_time_played_max_diff,p_total_time_played_q25_diff,p_total_time_played_median_diff,p_total_time_played_q75_diff,ph_wins_min_diff,ph_wins_max_diff,ph_wins_q25_diff,ph_wins_median_diff,ph_wins_q75_diff,ph_kills_min_diff,ph_kills_max_diff,ph_kills_q25_diff,ph_kills_median_diff,ph_kills_q75_diff,ph_deaths_min_diff,ph_deaths_max_diff,ph_deaths_q25_diff,ph_deaths_median_diff,ph_deaths_q75_diff,ph_assists_min_diff,ph_assists_max_diff,ph_assists_q25_diff,ph_assists_median_diff,ph_assists_q75_diff,ph_damage_per_min_min_diff,ph_damage_per_min_max_diff,ph_damage_per_min_q25_diff,ph_damage_per_min_median_diff,ph_damage_per_min_q75_diff,ph_time_played_min_diff,ph_time_played_max_diff,ph_time_played_q25_diff,ph_time_played_median_diff,ph_time_played_q75_diff,ph_total_kd_min_diff,ph_total_kd_max_diff,ph_total_kd_q25_diff,ph_total_kd_median_diff,ph_total_kd_q75_diff,ph_kd_ratio_min_diff,ph_kd_ratio_max_diff,ph_kd_ratio_q25_diff,ph_kd_ratio_median_diff,ph_kd_ratio_q75_diff,ph_time_played_ratio_min_diff,ph_time_played_ratio_max_diff,ph_time_played_ratio_q25_diff,ph_time_played_ratio_median_diff,ph_time_played_ratio_q75_diff,ph_damage_per_min_ratio_min_diff,ph_damage_per_min_ratio_max_diff,ph_damage_per_min_ratio_q25_diff,ph_damage_per_min_ratio_median_diff,ph_damage_per_min_ratio_q75_diff,ph_assists_ratio_min_diff,ph_assists_ratio_max_diff,ph_assists_ratio_q25_diff,ph_assists_ratio_median_diff,ph_assists_ratio_q75_diff,ph_win_rate_ratio_min_diff,ph_win_rate_ratio_max_diff,ph_win_rate_ratio_q25_diff,ph_win_rate_ratio_median_diff,ph_win_rate_ratio_q75_diff
137,38668524,Y,585703,-3828076,-1757213.5,-1778917.5,-2722399.25,-1,-4,-41.5,-65.5,10.25,-68,-893,-648.75,-981.5,-434.5,-44,-326,-700.0,-800.5,-141.25,12,-1231,-921.0,-1364.0,-938.5,-178.048,-93.238,-103.843,-10.729,-109.031,-6494,-170577,-180418.75,-238368.5,14927.25,0.021,0.19,0.183,0.066,0.227,-0.044,0.034,-0.175,-0.116,0.009,-0.007,-5.514,-2.094,-0.917,0.879,-0.221,-0.059,-0.097,-0.192,-0.236,0.055,-6.351,-1.928,-0.857,0.372,0.158,0.125,0.052,0.116,0.166
138,38668875,Y,-660619,-605995,-909156.25,-597562.5,-1020190.25,-14,120,10.5,-2.0,41.0,-93,1243,340.5,417.0,481.5,-111,2977,214.0,196.0,550.75,-452,3087,-169.0,-264.5,466.5,35.003,-135.086,46.21,74.992,-106.323,-56323,843883,49555.25,40273.0,109731.75,0.189,-0.553,0.078,-0.042,-0.01,0.337,-0.193,0.095,0.017,0.135,-0.192,12.143,0.561,0.298,0.921,-0.088,-0.028,-0.022,0.113,0.022,-0.115,9.051,0.121,0.22,0.971,-0.167,0.099,-0.038,-0.114,-0.111
139,38668877,Y,448594,539561,803249.75,-57006.0,-412965.5,15,-123,4.75,-68.0,-187.25,125,-1254,81.25,-1285.0,-2915.25,140,-1262,53.0,-584.0,-1427.25,281,-645,-8.5,-535.0,-2086.75,-69.865,-174.398,49.5,-30.714,-168.298,39854,-339597,16465.25,-212896.0,-521637.25,-0.024,-0.407,-0.05,-0.166,-0.238,0.088,-0.161,0.045,-0.029,-0.033,0.429,-17.372,-0.408,-3.781,-13.891,-0.025,-0.192,-0.034,-0.045,-0.073,0.484,-18.528,-0.491,-4.513,-10.433,0.087,0.019,0.05,0.044,-0.017
140,38668920,Y,604030,-930773,-261223.75,-925632.5,-906542.25,4,-150,22.5,38.0,107.5,59,1617,336.25,-67.5,1173.5,-17,-910,330.75,422.5,1401.5,20,-6582,321.0,890.5,2161.25,335.826,-93.062,-25.475,-12.343,-110.113,7095,-608320,77577.25,88973.0,426719.25,-0.252,0.524,-0.068,0.125,0.301,-0.035,0.548,-0.05,0.153,0.219,0.097,-12.094,0.613,1.248,3.649,0.181,-0.052,-0.074,-0.088,-0.021,0.1,-15.546,0.673,1.665,3.368,0.114,0.039,0.097,0.059,0.073
141,38668943,Y,29462,585774,1030710.5,239254.5,62728.0,2,-160,-3.25,-65.5,-134.5,-24,-4810,-66.5,-516.5,-1452.5,-1,-2182,-29.0,-277.0,-1227.0,14,-1677,-29.5,-1347.0,-2462.75,-335.779,-49.057,-53.72,-87.642,-99.219,3640,-570721,-16130.5,-213446.5,-403119.25,-0.549,1.394,-0.707,-0.266,-0.364,-0.219,0.912,-0.031,0.143,0.664,0.097,-3.903,-0.488,-1.172,-2.711,-0.246,-0.028,0.003,0.092,-0.002,0.091,-3.493,-0.47,-1.257,-2.721,-0.13,0.352,-0.17,-0.156,-0.154
142,38669091,Y,289336,-594635,-204768.0,-76580.5,-41278.25,3,105,54.75,186.5,166.75,35,-844,646.25,2372.5,2312.25,-51,-299,810.0,2305.5,1907.25,53,9034,844.75,3609.5,4638.0,-333.857,67.965,199.731,211.602,233.637,2639,120874,158096.5,576795.5,546482.25,-0.288,-0.164,-0.375,-0.169,-0.033,0.044,0.33,0.058,0.218,0.153,0.2,7.359,1.467,3.649,-2.021,-0.283,0.1,0.078,0.202,0.208,0.317,7.866,1.476,3.397,3.242,0.231,0.149,0.178,0.161,0.108
143,38669117,N,1108212,-456016,2060445.0,1368324.5,14359.0,11,-39,17.25,10.0,104.0,144,-6872,93.25,258.0,1187.75,190,-1359,127.5,34.5,1330.5,212,-86,508.5,328.0,2861.75,-437.628,-169.306,-199.858,-147.375,-57.069,46842,5466,65979.75,34154.5,373790.0,-0.617,-2.7,-0.334,-0.311,-0.464,0.292,0.998,-0.07,-0.053,0.123,0.442,-19.84,0.64,0.073,3.711,-0.411,-0.025,-0.134,-0.04,0.012,0.307,-30.916,0.866,0.09,3.927,-0.183,-0.242,-0.002,-0.021,-0.097
144,38669316,Y,1483152,257791,1861789.0,1154957.5,-42614.75,5,192,31.25,120.5,133.25,27,3389,450.5,1563.5,2646.5,0,3052,367.0,1535.5,1753.0,80,3077,529.75,2171.5,3406.75,272.77,-116.429,89.288,64.656,112.304,8135,577719,123529.0,414027.5,468057.75,0.141,-0.21,-0.056,-0.119,0.133,0.178,0.235,-0.114,0.103,0.104,0.104,-0.864,0.812,3.176,2.652,-0.021,-0.252,-0.043,0.063,0.035,0.133,-1.26,0.876,3.17,3.161,0.188,-0.362,0.09,-0.043,-0.134
145,38669484,Y,1068899,-1276220,1698463.75,744757.5,-675048.25,3,205,10.0,15.5,2.25,-94,4246,95.0,159.5,205.25,112,1374,77.5,76.0,-49.25,221,-1533,178.75,461.0,190.5,-251.877,-109.825,2.125,-25.751,-72.692,39991,772438,18449.0,35118.0,22962.25,-0.318,-0.783,0.209,0.3,-0.262,0.064,0.33,-0.091,-0.169,0.092,0.26,1.336,0.155,0.334,-0.156,-0.065,-0.09,0.057,-0.056,-0.013,0.276,-5.643,0.12,0.529,-0.303,0.217,-0.242,0.04,-0.03,-0.066
146,38669502,N,-593303,318307,-639460.0,-951251.5,-1257641.5,-5,221,3.0,8.5,47.0,-18,1285,-19.5,326.5,739.25,24,2540,25.0,242.0,739.5,-103,4637,169.0,275.5,997.75,-94.913,33.371,-11.256,28.377,11.361,-13137,893101,4711.75,63652.5,188808.5,-0.278,-0.287,-0.186,-0.405,-0.657,-0.061,0.339,0.067,0.192,0.337,-0.047,16.238,0.341,0.451,1.922,-0.092,0.23,0.09,0.129,0.135,-0.021,16.948,0.394,0.413,1.404,-0.287,-0.082,-0.16,0.009,0.042
