Unnamed: 0,match_id,p_total_time_played_min_diff,p_total_time_played_max_diff,p_total_time_played_mean_diff,p_total_time_played_std_diff,ph_wins_min_diff,ph_wins_max_diff,ph_wins_mean_diff,ph_wins_std_diff,ph_kills_min_diff,ph_kills_max_diff,ph_kills_mean_diff,ph_kills_std_diff,ph_deaths_min_diff,ph_deaths_max_diff,ph_deaths_mean_diff,ph_deaths_std_diff,ph_assists_min_diff,ph_assists_max_diff,ph_assists_mean_diff,ph_assists_std_diff,ph_damage_per_min_min_diff,ph_damage_per_min_max_diff,ph_damage_per_min_mean_diff,ph_damage_per_min_std_diff,ph_time_played_min_diff,ph_time_played_max_diff,ph_time_played_mean_diff,ph_time_played_std_diff,ph_total_kd_min_diff,ph_total_kd_max_diff,ph_total_kd_mean_diff,ph_total_kd_std_diff,ph_kd_ratio_min_diff,ph_kd_ratio_max_diff,ph_kd_ratio_mean_diff,ph_kd_ratio_std_diff,ph_time_played_ratio_min_diff,ph_time_played_ratio_max_diff,ph_time_played_ratio_mean_diff,ph_time_played_ratio_std_diff,ph_damage_per_min_ratio_min_diff,ph_damage_per_min_ratio_max_diff,ph_damage_per_min_ratio_mean_diff,ph_damage_per_min_ratio_std_diff,ph_assists_ratio_min_diff,ph_assists_ratio_max_diff,ph_assists_ratio_mean_diff,ph_assists_ratio_std_diff,ph_win_rate_ratio_min_diff,ph_win_rate_ratio_max_diff,ph_win_rate_ratio_mean_diff,ph_win_rate_ratio_std_diff,target
680,38731028,250991,1800048,278699.33,713906.84,15,1254,348.83,445.38,110,18170,4747.83,6447.75,-39,17669,5026.67,6334.87,283,30647,7476.17,11427.55,20.79,151.05,80.38,1.83,22933,4380546,1219494.5,1572369.0,-0.09,0.18,0.13,0.07,-0.32,0.11,-0.17,0.13,0.35,37.76,12.05,13.63,0.19,0.02,0.07,-0.06,0.34,46.5,12.62,16.9,0.38,0.16,0.16,-0.1,Y
149,38669669,-1434121,314763,-710419.5,631223.98,-26,-324,-97.33,-112.8,-351,-278,-595.33,129.45,-200,-1334,-794.0,-299.15,-565,-2767,-1341.67,-785.39,-238.33,231.99,41.09,203.78,-66891,-1151284,-349637.5,-401602.33,0.16,1.9,0.38,0.62,-0.29,0.18,-0.02,0.12,-0.69,12.13,0.52,5.57,-0.38,0.26,-0.02,0.17,-0.84,24.27,2.49,10.51,-0.03,0.24,0.07,0.12,N
124,38667075,-698784,-1015627,-85733.17,-276216.08,4,-640,-106.5,-251.57,24,-8592,-1688.0,-3269.46,-48,-4984,-670.17,-1816.98,-57,-6445,-941.67,-2612.11,-6.16,-264.6,-132.97,-90.93,5684,-1906849,-305777.0,-751027.96,-0.05,0.32,-0.33,0.14,0.02,0.56,0.38,0.2,0.6,-16.01,-1.95,-6.37,-0.13,-0.14,-0.18,-0.02,0.45,-13.92,-1.7,-5.62,-0.24,-0.0,-0.11,0.11,Y
677,38730971,-505870,1384827,199750.33,709657.55,-14,497,75.33,200.72,-219,11186,1587.67,4408.48,-88,4465,720.67,1848.77,-245,9938,1358.0,4045.08,-171.16,-4.02,-99.64,71.59,-30102,2112698,308942.33,843481.62,-0.29,0.05,-0.12,0.15,0.16,1.06,0.33,0.36,-0.34,20.93,3.48,8.55,-0.22,-0.28,-0.13,-0.01,-0.43,17.25,2.75,7.1,-0.16,-0.1,-0.04,0.01,N
701,38734875,-428603,-466246,144920.83,7806.15,-14,176,59.33,80.34,-249,5351,1369.83,2253.17,-124,2398,627.0,975.46,-334,1244,896.0,884.14,-56.01,-12.45,-34.78,5.97,-48672,709134,209030.83,304740.28,0.04,0.24,-0.02,0.18,-0.07,0.01,-0.03,0.04,-0.35,2.31,0.84,0.98,0.08,-0.13,0.0,-0.08,-0.32,0.7,0.52,0.42,-0.0,-0.0,-0.02,-0.01,N
185,38674970,-36759,2278591,649422.17,809647.62,10,1,66.67,22.81,24,-1102,802.67,-128.76,50,179,430.5,182.92,69,-4,788.5,130.34,255.99,5.22,17.95,-75.06,15243,-126091,157246.5,15033.72,0.36,1.1,0.57,0.38,-0.1,-0.25,-0.18,-0.02,-0.04,1.22,1.98,1.0,0.19,-0.06,-0.0,-0.08,0.02,1.88,1.88,0.98,0.2,0.15,0.08,-0.02,Y
487,38712614,407486,-952404,86001.0,-532236.61,29,-91,3.0,-44.67,208,-1854,4.17,-899.83,305,-1853,-96.0,-861.67,728,-947,356.17,-605.07,114.95,79.57,84.7,-12.42,111981,-300531,31880.33,-161512.08,-0.33,0.15,-0.05,0.17,-0.08,0.01,0.11,0.03,0.52,-2.08,0.64,-1.14,0.03,0.08,0.0,0.04,0.33,-2.35,0.63,-1.3,-0.09,-0.24,-0.19,-0.07,N
578,38722028,176450,2053698,1541116.5,500345.84,8,-149,-7.83,-59.38,117,-2646,-247.5,-1110.85,92,-1145,12.83,-444.57,105,-2359,-177.17,-928.65,142.57,39.57,-2.91,-20.43,26657,-512968,-33904.67,-207341.12,-0.66,0.39,-0.85,0.39,-0.18,0.65,0.38,0.31,0.3,-2.83,-0.02,-1.34,0.16,0.37,0.05,0.07,0.24,-1.84,0.04,-0.94,0.0,-0.3,-0.18,-0.1,Y
698,38734369,325633,-670381,-127570.67,-495202.43,-13,-218,14.83,-84.32,-133,-3800,-128.33,-1469.64,-99,-2098,136.5,-933.38,-198,-3565,495.0,-1139.22,-59.24,-44.4,-107.76,15.14,-26725,-766890,24289.0,-315443.74,-0.46,-0.2,-0.26,0.12,0.13,1.05,0.34,0.33,-0.21,-6.91,-0.64,-3.0,-0.07,0.02,-0.13,0.03,-0.33,-8.97,-0.66,-3.24,0.16,-0.12,-0.06,-0.1,N
355,38697868,-462609,-95717,-115142.5,218018.17,-7,70,13.33,28.93,-81,563,172.33,354.82,-99,596,119.33,283.18,-108,2583,647.17,1018.42,-88.49,304.88,16.57,142.74,-25920,201857,48113.33,90277.09,0.09,-0.0,0.02,-0.02,0.02,-0.4,-0.14,-0.11,-0.28,-5.02,-0.76,-1.76,0.05,0.28,0.1,0.05,-0.25,-4.48,-0.42,-1.58,0.04,0.04,0.05,0.0,N
