,match_id,team,p_total_time_played_min,p_total_time_played_max,p_total_time_played_mean,p_total_time_played_std,ph_wins_min,ph_wins_max,ph_wins_mean,ph_wins_std,ph_kills_min,ph_kills_max,ph_kills_mean,ph_kills_std,ph_deaths_min,ph_deaths_max,ph_deaths_mean,ph_deaths_std,ph_assists_min,ph_assists_max,ph_assists_mean,ph_assists_std,ph_damage_per_min_min,ph_damage_per_min_max,ph_damage_per_min_mean,ph_damage_per_min_std,ph_time_played_min,ph_time_played_max,ph_time_played_mean,ph_time_played_std,ph_total_kd_min,ph_total_kd_max,ph_total_kd_mean,ph_total_kd_std,ph_kd_ratio_min,ph_kd_ratio_max,ph_kd_ratio_mean,ph_kd_ratio_std,ph_time_played_ratio_min,ph_time_played_ratio_max,ph_time_played_ratio_mean,ph_time_played_ratio_std,ph_damage_per_min_ratio_min,ph_damage_per_min_ratio_max,ph_damage_per_min_ratio_mean,ph_damage_per_min_ratio_std,ph_assists_ratio_min,ph_assists_ratio_max,ph_assists_ratio_mean,ph_assists_ratio_std,ph_win_rate_ratio_min,ph_win_rate_ratio_max,ph_win_rate_ratio_mean,ph_win_rate_ratio_std,pm_win_first
0,38791282,Team0,10911.0,32888.0,19420.0,9615.967103382443,2.0,11.0,6.5,6.363961030678928,19.0,102.0,60.5,58.68986283848344,14.0,129.0,71.5,81.31727983645297,28.0,258.0,143.0,162.63455967290594,740.5382415313177,928.1621161321502,834.350178831734,132.67011404274314,3215.0,32888.0,18051.5,20981.979518148426,0.7906976744186046,1.3571428571428572,1.073920265780731,0.400537229874772,1.0931503456929832,1.3672584267523986,1.2302043862226908,0.19382368289514457,0.7792197746474031,8.105164910072887,4.442192342360145,5.180225483859959,0.9581320050978969,1.1098188482841351,1.033975426691016,0.10725879543376948,1.0972762645914398,10.392971930576389,5.745124097583914,6.573049441264357,1.2503336893109382,2.2176157761646054,1.7339747327377717,0.6839717229345029,Y
1,38791282,Team1,5096.0,16672.0,11190.0,5287.749379461928,3.0,4.0,3.5,0.7071067811865476,24.0,69.0,46.5,31.81980515339464,9.0,49.0,29.0,28.284271247461902,33.0,50.0,41.5,12.020815280171307,814.6689220942649,1013.8069292912902,914.2379256927775,140.81183528099217,6805.0,12933.0,9869.0,4333.150355111164,1.4081632653061225,2.6666666666666665,2.0374149659863945,0.889896289248376,0.6230025063345923,1.0033700680801074,0.8131862872073499,0.26896048225364655,1.928973736427612,2.988004364544708,2.45848905048616,0.7488477386258473,0.9510366493296606,1.065361828804517,1.0081992390670889,0.08084010966704004,1.5065502183406114,2.1169566128694193,1.8117534156050152,0.4316225008509512,0.8350671408930475,2.0965664925556697,1.4658168167243586,0.8920147460230734,N
2,38791517,Team0,5452.0,18222.0,11244.4,5852.0048530396825,0.0,2.0,1.0,1.0,15.0,59.0,30.333333333333332,24.846193538112296,13.0,37.0,21.333333333333332,13.576941236277534,15.0,107.0,49.0,50.47771785649585,786.7867807383468,1107.1354469014966,983.6162181208925,172.29801795746945,3647.0,13176.0,7576.333333333333,4979.2539936554085,1.0714285714285714,1.5945945945945945,1.3245718245718245,0.26199114587405886,1.052234798388352,1.333879900317229,1.2343255984500796,0.15792465295450103,0.8310415791385093,3.2179065274553387,1.8356928679342142,1.2374150791940126,0.8707404917116818,1.272963015830334,1.132791074159585,0.22712670920734948,0.7907742998352554,3.6616511318242346,1.794206861664751,1.6187558865410336,0.0,0.6539378160669871,0.3711849412103539,0.33581816447343465,Y
3,38791517,Team1,3296.0,17936.0,8523.333333333334,5007.360129516017,0.0,0.0,0.0,0.0,2.0,5.0,3.5,2.1213203435596424,7.0,11.0,9.0,2.8284271247461903,5.0,6.0,5.5,0.7071067811865476,608.2962962962963,858.141592920354,733.2189446083252,176.66730349043564,1215.0,1356.0,1285.5,99.7020561473032,0.18181818181818182,0.7142857142857143,0.44805194805194803,0.3765114029694604,2.197431349372133,5.945984320992989,4.071707835182561,2.6506272258700907,0.29943369513921664,0.37430077385856897,0.3368672344988928,0.05293901905008108,0.7870331569356863,0.9296450590762193,0.8583391080059528,0.1008418430814832,0.2014141847010928,0.30761343245321715,0.254513808577155,0.07509420824243737,0.0,0.0,0.0,0.0,N
4,38791717,Team0,5655.0,11074.0,8857.75,2369.5882026208687,1.0,5.0,3.0,2.0,13.0,73.0,33.333333333333336,34.35597958628648,17.0,21.0,19.666666666666668,2.3094010767585034,40.0,60.0,49.333333333333336,10.066445913694334,883.077764074372,1274.523108284444,1045.2532754306096,204.16561992375867,4467.0,8580.0,6234.0,2116.748213652252,0.6190476190476191,4.294117647058823,1.8599439775910362,2.1081906894946054,0.3866316879844337,3.0624081222227773,1.8409242622607271,1.3529947540924925,1.3779103910972434,1.9873882112227308,1.5876282473919325,0.34634203510951933,1.0176705177739296,1.5331380269107844,1.2105330157369645,0.2811610357866581,2.1406518010291595,2.509760178471835,2.3721870990451532,0.2016976015381949,0.6308019860588255,2.2021956414877932,1.5672616976345968,0.8279540123286556,Y
5,38791717,Team1,13413.0,23854.0,17191.666666666668,5787.077875174424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
6,38791906,Team0,3644.0,32888.0,15480.6,11733.529341165853,0.0,11.0,4.4,4.159326868617085,14.0,102.0,50.4,36.149688795340964,8.0,129.0,47.0,47.70744176750625,18.0,258.0,93.2,97.90403464617789,740.5382415313177,1229.3878323047709,900.3792942514312,200.58315109528652,3644.0,32888.0,15480.6,11733.529341165853,0.6363636363636364,2.5,1.3945031712473575,0.7408433992734859,0.8527743161367921,2.1724821659356834,1.3191980360096038,0.51670443775307,0.9601207954053157,8.105164910072887,3.8782019455855528,2.9057368943290225,0.9146705729035712,1.3673989402982645,1.0598169967075592,0.17902855585587799,0.7402135231316725,10.392971930576389,4.062647199636889,4.013065957338405,0.0,2.1890547263681595,1.085168956484845,0.7853436180808611,Y
7,38791906,Team1,7747.0,13150.0,9472.75,2493.8610459820466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
8,38791971,Team0,1708.0,19319.0,13163.0,6758.6027550078725,1.0,2.0,1.3333333333333333,0.5773502691896258,8.0,24.0,14.666666666666666,8.32666399786453,1.0,29.0,11.0,15.620499351813308,22.0,52.0,33.333333333333336,16.289055630494154,500.66629357620207,1112.1957913998172,836.166149537461,310.0719456042866,1595.0,11255.0,5012.0,5414.665917672114,0.8275862068965517,12.0,5.164750957854406,5.990494665342024,0.10797353446510426,1.6705071200187263,0.8025628750472434,0.7955606473755746,0.3895386241113589,2.781579487900493,1.232778431680575,1.3430664094554,0.6127607296276242,1.6129282905433615,1.0851581543582334,0.5023777367254671,0.7528628495339548,2.1751254880089235,1.2722633030840373,0.78485025818443,0.5406874166218505,1.9874038134676597,1.455519753448603,0.7957600896363916,N
9,38791971,Team1,3448.0,26690.0,13084.5,7821.384986049466,0.0,3.0,1.0,1.7320508075688772,6.0,69.0,29.0,34.77067730142742,7.0,49.0,21.0,24.24871130596428,9.0,50.0,23.333333333333332,23.115651263447745,956.9612068965516,1048.202614379085,1006.3235835223089,46.078725652648224,1836.0,12933.0,5541.666666666667,6401.0902456795075,0.8571428571428571,1.7142857142857142,1.326530612244898,0.4343631970161788,0.6306347007113776,1.730821380680557,1.1216087164906807,0.5595426401793439,0.44983884968758325,2.988004364544708,1.2967735993327394,1.4646494005832862,1.065361828804517,1.3561979872735812,1.1886047384028804,0.15040489424696005,0.35269594219010564,2.1169566128694193,0.970921253800643,0.9935247924308969,0.0,0.8350671408930475,0.2783557136310158,0.4821262385860121,Y
