account_id,hero_id,matches_played,wins,kills,deaths,assists,damage_per_min,time_played
1055031308,1,19,10,151,102,200,941.8421646626523,37434
1055031308,3,19,12,172,80,189,898.5904890123887,34818
1055031308,4,1,0,3,7,9,871.4889123548047,1894
1055031308,6,151,89,1336,773,1483,803.3497328265671,283198
1055031308,7,2,1,13,12,11,919.5994793623222,4093
1055031308,13,16,9,124,73,152,899.0367130415682,28203
1055031308,14,16,4,121,90,196,871.0373501114609,34075
1055031308,15,5,2,30,40,49,757.2841600986111,12159
1055031308,16,83,48,795,427,1025,1027.6022542224796,160168
1055031308,19,21,6,174,136,141,912.3586262605364,41387
1055031308,27,86,46,673,432,836,975.5955911718574,162743
1055031308,31,38,22,373,200,451,885.3830048658181,75544
1055031308,50,23,5,120,122,241,900.5291069622875,44344
27992086,4,4,1,8,17,19,589.2416997291803,5642
27992086,6,1,1,5,2,9,341.85010128291697,1481
27992086,8,18,12,74,68,238,726.6712631304977,32711
27992086,10,55,31,257,281,790,736.1750828669134,106406
27992086,12,50,25,196,195,643,616.2423680296745,90159
27992086,14,3,2,11,12,49,487.09779766330985,5560
27992086,19,1,0,2,6,0,439.93968636911944,1658
27992086,35,197,107,1054,685,2741,915.5221975210956,379339
27992086,50,3,2,4,17,51,663.3838424277315,7171
27992086,52,4,4,28,18,63,891.284690323106,10026
27992086,60,3,2,14,15,49,632.0324410745094,5403
173907991,1,90,42,494,518,865,1069.7993292018969,160804
173907991,2,1,0,1,8,1,602.7121332275972,1261
173907991,3,2,0,7,18,9,787.1931429850672,4244
173907991,4,4,0,27,31,52,1241.273673324293,9604
173907991,6,1,1,5,7,14,970.6795131845842,1972
173907991,7,10,8,68,57,87,930.5191049889856,18285
173907991,10,4,0,17,23,38,795.0695837125656,7884
173907991,12,1,0,6,4,22,1369.875751503006,2495
173907991,13,14,4,69,100,99,746.7349275220464,24723
173907991,14,6,5,40,14,36,828.0092089847323,8167
173907991,15,6,3,39,40,80,787.378951901739,10534
173907991,16,36,19,294,198,403,1141.7609724154486,62528
173907991,17,127,68,1131,592,1370,1185.7744222612803,236689
173907991,19,2,2,19,15,22,996.4042083496339,3591
173907991,20,16,5,90,106,169,955.8916303249055,32009
173907991,25,5,3,36,36,40,1100.4805900906,8701
173907991,27,5,3,55,24,42,1061.5816296818314,9165
173907991,31,1,0,5,14,9,816.3194444444445,2592
173907991,35,2,1,12,14,27,832.8924942116519,4669
173907991,52,4,2,25,29,55,974.7006713821322,9929
173907991,58,536,310,4465,3150,4985,969.3138872637642,976030
173907991,60,1,0,8,14,9,1157.2554744525546,2055
31555634,1,3,1,23,33,19,624.825199931651,6503
31555634,4,2,0,14,10,20,879.3565573857602,3431
31555634,6,326,185,2567,2731,3721,827.3285439930804,614927
31555634,7,5,2,34,30,55,1092.9525097173314,9540
31555634,13,6,2,62,40,42,831.7221835856989,11977
31555634,20,1,0,0,9,1,368.93617021276594,1175
31555634,25,6,1,36,63,65,656.7004195687355,11291
31555634,31,1,0,3,14,14,859.4259012016021,2996
31555634,60,14,8,117,102,156,724.13080822126,26221
85475388,3,19,11,137,66,256,810.9235891692141,40525
85475388,4,9,3,78,66,101,1022.2225709680883,20182
85475388,8,1,0,0,5,5,332.28224917309814,1814
85475388,11,231,144,1537,1212,3708,833.3020767158453,460854
85475388,13,3,1,19,34,38,752.4222893793094,8506
85475388,16,38,19,383,328,479,981.6977757079276,78685
85475388,17,32,12,243,151,351,1014.6823121510163,67377
85475388,18,139,73,796,908,1921,732.164312554427,274577
85475388,19,11,4,97,113,120,916.361811874545,21656
85475388,25,22,10,151,199,253,734.032823522091,45594
85475388,35,52,23,168,205,671,548.8017912865524,103768
85475388,50,5,1,21,55,42,907.738827519324,10528
366829568,1,59,34,465,428,548,1129.607984005885,111559
366829568,2,7,6,51,53,100,1183.954221905733,14567
366829568,3,3,1,24,17,48,1232.5189967557371,6423
366829568,4,239,142,2025,1405,2571,1364.8810841769018,439899
366829568,6,1,0,0,6,8,701.8703007518798,2128
366829568,7,18,10,144,113,159,1165.225555738457,32278
366829568,10,152,77,1303,898,1842,1167.0738283385954,289994
