Unnamed: 0,match_id,p_total_time_played_min_diff,p_total_time_played_max_diff,p_total_time_played_q25_diff,p_total_time_played_median_diff,p_total_time_played_q75_diff,ph_wins_min_diff,ph_wins_max_diff,ph_wins_q25_diff,ph_wins_median_diff,ph_wins_q75_diff,ph_kills_min_diff,ph_kills_max_diff,ph_kills_q25_diff,ph_kills_median_diff,ph_kills_q75_diff,ph_deaths_min_diff,ph_deaths_max_diff,ph_deaths_q25_diff,ph_deaths_median_diff,ph_deaths_q75_diff,ph_assists_min_diff,ph_assists_max_diff,ph_assists_q25_diff,ph_assists_median_diff,ph_assists_q75_diff,ph_damage_per_min_min_diff,ph_damage_per_min_max_diff,ph_damage_per_min_q25_diff,ph_damage_per_min_median_diff,ph_damage_per_min_q75_diff,ph_time_played_min_diff,ph_time_played_max_diff,ph_time_played_q25_diff,ph_time_played_median_diff,ph_time_played_q75_diff,ph_total_kd_min_diff,ph_total_kd_max_diff,ph_total_kd_q25_diff,ph_total_kd_median_diff,ph_total_kd_q75_diff,ph_kd_ratio_min_diff,ph_kd_ratio_max_diff,ph_kd_ratio_q25_diff,ph_kd_ratio_median_diff,ph_kd_ratio_q75_diff,ph_time_played_ratio_min_diff,ph_time_played_ratio_max_diff,ph_time_played_ratio_q25_diff,ph_time_played_ratio_median_diff,ph_time_played_ratio_q75_diff,ph_damage_per_min_ratio_min_diff,ph_damage_per_min_ratio_max_diff,ph_damage_per_min_ratio_q25_diff,ph_damage_per_min_ratio_median_diff,ph_damage_per_min_ratio_q75_diff,ph_assists_ratio_min_diff,ph_assists_ratio_max_diff,ph_assists_ratio_q25_diff,ph_assists_ratio_median_diff,ph_assists_ratio_q75_diff,ph_win_rate_ratio_min_diff,ph_win_rate_ratio_max_diff,ph_win_rate_ratio_q25_diff,ph_win_rate_ratio_median_diff,ph_win_rate_ratio_q75_diff,target
535,38718000,668467,225743,-841154.5,-69433.0,678917.0,-15,82,-13.25,-63.0,11.75,-210,3763,-60.25,-833.5,-863.5,-202,1649,-181.5,-446.0,168.5,-376,3279,-239.25,-1532.5,-626.75,228.68,1.26,97.92,118.77,95.94,-54553,257802,-32540.5,-217833.0,-44924.0,0.11,-0.77,0.33,0.18,0.09,0.08,-0.11,-0.09,0.07,-0.14,-0.4,-11.64,-0.39,-2.78,0.1,0.28,-0.05,0.09,0.03,0.06,-0.5,-11.84,-0.47,-3.07,-0.61,-0.06,0.13,0.01,0.06,0.09,Y
368,38698764,30627,863490,-608698.5,-295683.0,535619.25,14,135,6.75,22.0,50.75,180,2246,239.25,299.0,787.0,186,1797,128.75,73.0,604.5,219,3795,359.0,417.0,162.25,67.31,-59.39,28.32,11.67,-5.93,45940,617736,49542.25,81704.0,206076.75,0.12,0.21,-0.05,-0.15,0.0,0.1,-0.17,0.09,0.08,-0.08,0.4,0.6,0.99,2.35,2.45,0.16,-0.04,0.12,0.05,-0.06,0.38,-0.18,1.29,2.01,2.4,-0.04,-0.9,-0.07,-0.19,-0.18,N
59,38658361,-470314,-4527661,-742183.5,-1656321.5,-3152505.25,-27,-182,-40.0,-54.5,-104.25,-230,-2198,-587.75,-974.0,-1838.75,-253,-2970,-326.5,-833.5,-1102.0,-695,-3069,-778.5,-1036.0,-2210.0,0.46,465.29,-79.44,-153.58,43.49,-81804,-753315,-148718.0,-221048.5,-426419.25,0.03,-0.18,-0.09,0.01,-0.23,0.21,-0.39,0.1,-0.17,-0.36,-1.09,-7.31,-1.16,-1.62,-3.53,-0.04,0.44,0.04,-0.03,0.01,-0.93,-5.73,-1.22,-1.71,-3.23,0.13,0.21,0.11,0.07,0.08,Y
111,38665592,104062,-324006,-1076197.25,-1169559.0,-869403.25,-7,20,-8.0,-8.0,-21.5,49,829,-216.25,-261.0,-364.25,-10,455,-2.0,-44.0,-245.75,-156,-503,-123.25,10.5,-591.5,-29.98,-280.02,116.92,27.29,-257.7,-37134,53834,-24667.25,3263.0,-74611.5,0.14,-1.19,0.2,0.01,-0.81,0.32,0.18,0.31,0.01,0.05,-0.07,-0.82,-0.31,-0.08,-1.45,0.04,-0.29,0.0,-0.04,-0.22,-0.08,-1.51,-0.39,-0.27,-1.5,0.03,-0.16,0.09,0.03,-0.12,Y
668,38729885,76871,252641,63215.25,-8016.0,-770961.0,7,164,17.5,132.5,-136.5,85,6360,183.0,1685.0,-761.75,69,3585,191.25,1110.0,2167.5,165,1498,351.5,2854.5,-5315.75,132.12,3.06,48.83,18.14,-31.91,29410,723352,50582.25,448999.5,-396036.0,-0.58,-0.77,-0.42,-0.04,-0.13,0.28,1.01,0.04,0.26,0.58,0.38,10.11,0.12,4.04,-12.48,-0.06,-0.02,-0.13,-0.07,-0.09,0.38,8.98,0.17,4.23,-12.83,0.11,-0.24,-0.03,-0.04,0.07,N
517,38716284,-1337127,1357688,-1485180.5,-811589.5,-127363.5,2,191,0.75,2.0,19.75,67,976,11.75,143.5,408.0,20,964,-39.75,25.0,98.0,-6,5274,-50.75,-38.5,-87.0,208.34,81.95,12.52,105.04,151.64,13803,555946,-9530.25,20526.0,50962.5,0.24,-0.06,0.45,0.48,0.62,-0.07,-0.32,-0.22,-0.13,-0.25,0.06,8.8,-0.06,0.3,-0.03,0.1,0.04,0.12,0.08,0.13,0.03,11.41,-0.06,0.16,-0.22,0.02,-0.08,0.07,-0.02,0.05,N
649,38728080,1366553,113409,1238045.25,1219072.5,1013753.25,19,-379,18.25,-48.5,-42.5,266,-6779,360.25,-593.0,-1009.25,154,-5467,149.5,-245.5,-220.5,256,-6139,326.5,-835.0,-492.0,132.83,-70.89,31.11,156.85,100.38,46065,-1024647,74489.0,-130704.5,-115738.5,0.7,-0.04,0.5,0.32,-0.13,0.22,-2.21,0.08,-0.12,-0.36,0.47,-32.76,1.04,-0.8,-0.37,-0.1,-0.29,-0.01,0.1,0.02,0.46,-40.94,1.05,-0.9,-0.39,0.87,-0.33,-0.06,0.0,-0.1,Y
262,38687471,-804387,-2771242,-1299549.25,-987002.5,-560910.25,-16,-80,13.5,2.0,-44.0,-124,707,274.5,-386.5,-297.5,-199,3231,-38.0,-175.5,1572.5,-491,-768,21.0,-74.5,-389.75,307.49,64.08,61.35,33.97,78.19,-70285,-617045,35395.5,-59193.0,-216378.75,0.59,-0.37,0.16,0.04,-0.13,-0.02,-1.18,-0.03,-0.18,-0.15,-0.66,12.13,-0.08,-1.88,2.81,0.23,0.12,0.1,0.06,0.04,-0.7,24.27,-0.08,-1.58,0.4,0.17,0.3,0.11,0.07,0.05,Y
595,38723869,407566,-462610,415797.0,1043921.5,-1084459.0,2,-521,6.25,-19.5,-85.75,31,-12373,112.25,-169.5,-1497.5,46,-6226,14.0,-296.0,-639.0,111,-7602,136.75,-306.0,-341.5,50.46,-240.68,-30.68,-157.04,-114.74,12852,-1852757,39102.5,-57751.5,-169687.25,-0.18,1.18,-0.11,-0.31,-0.48,-0.15,-0.02,0.25,0.25,0.08,0.09,-16.08,1.08,0.68,1.25,0.12,-0.2,-0.09,-0.11,-0.15,0.15,-15.17,0.81,1.03,1.59,-0.07,-0.04,-0.13,-0.07,-0.06,N
297,38691388,-239106,-870005,-1614062.5,-1767743.5,-631117.75,-9,-295,-8.5,-16.0,-92.5,-98,-3756,-56.5,-164.0,-848.25,-154,-3147,-106.5,-472.0,-1336.25,-194,-5997,-89.5,-544.5,-1419.5,166.2,214.49,164.16,77.77,41.97,-37721,-997649,-24733.0,-93216.5,-339267.75,0.19,1.14,0.32,0.69,0.98,-0.38,-0.43,-0.39,-0.37,-0.26,-0.36,-12.02,0.08,-0.03,-2.98,0.3,0.24,0.3,0.26,0.17,-0.32,-12.99,0.42,0.11,-2.56,-0.12,0.29,-0.04,0.2,0.22,Y
477,38711637,829443,863662,470788.0,-644433.5,132811.0,-16,176,9.25,34.0,59.5,-187,2539,311.25,546.0,362.25,-71,2512,88.0,419.0,482.25,-173,3087,86.25,482.5,1508.0,-251.23,-42.41,-63.39,-109.33,-93.67,-32987,484857,32716.0,125087.0,174822.0,-0.35,0.85,-0.18,-0.22,-0.08,-0.38,0.31,-0.08,-0.12,-0.09,-0.34,4.81,0.75,0.98,1.84,-0.06,0.07,-0.05,-0.03,0.05,-0.38,5.81,0.81,1.04,2.36,-0.11,-0.02,-0.02,-0.02,-0.01,N
