model,feature,importance_mean,importance_std,rank
8.14.25_rf_1_std,ph_damage_per_min_max_Team0,0.019101123595505642,0.013103262685045617,45
8.14.25_rf_1_std,ph_damage_per_min_ratio_min_Team0,0.019101123595505642,0.010419796062354717,83
8.14.25_rf_1_std,p_total_time_played_std_Team0,0.017977528089887663,0.010893662600935565,9
8.14.25_rf_1_std,ph_total_kd_mean_Team0,0.015730337078651725,0.004204109423341517,63
8.14.25_rf_1_std,ph_time_played_ratio_std_Team0,0.015730337078651725,0.008256706998145564,81
8.14.25_rf_1_std,ph_kills_max_Team0,0.014606741573033743,0.005729235408531233,21
8.14.25_rf_1_std,ph_deaths_std_Team1,0.014606741573033743,0.005729235408531233,34
8.14.25_rf_1_std_diff,ph_win_rate_ratio_mean_diff,0.09550561797752807,0.009400674455439035,53
8.14.25_rf_1_std_diff,ph_win_rate_ratio_min_diff,0.07752808988764041,0.013006558317741859,51
8.14.25_rf_1_std_diff,ph_win_rate_ratio_max_diff,0.028089887640449396,0.021020547116707533,52
8.14.25_rf_1_std_diff,p_total_time_played_min_diff,0.019101123595505577,0.007620595486657584,3
8.14.25_rf_1_std_diff,ph_time_played_mean_diff,0.01573033707865166,0.008988764044943792,29
8.14.25_rf_1_std_diff,ph_damage_per_min_ratio_max_diff,0.015730337078651634,0.006551631342522791,44
8.14.25_rf_1_std_diff,ph_damage_per_min_max_diff,0.014606741573033655,0.005729235408531198,24
8.14.25_rf_1_std_diff,ph_damage_per_min_mean_diff,0.014606741573033655,0.005729235408531198,25
8.14.25_rf_1_std_diff,ph_wins_min_diff,0.014606741573033655,0.007620595486657597,7
8.14.25_rf_1_std_diff,p_total_time_played_std_diff,0.008988764044943776,0.002752235666048467,6
8.14.25_rf_1_std_diff,ph_deaths_std_diff,0.006741573033707838,0.00420410942334147,18
8.14.25_rf_1_std_diff,ph_kd_ratio_max_diff,0.005617977528089879,0.0035531209664812985,36
8.14.25_rf_1_std_diff,ph_assists_min_diff,0.005617977528089857,0.009400674455439033,19
8.14.25_rf_1_std_diff,ph_assists_ratio_std_diff,0.005617977528089857,0.005024871859550052,50
8.14.25_rf_1_std_diff,ph_damage_per_min_min_diff,0.004494382022471899,0.007453089416528971,23
8.14.25_rf_1_std_diff,ph_assists_std_diff,0.004494382022471899,0.004204109423341482,22
8.14.25_rf_1_std_diff,ph_wins_mean_diff,0.004494382022471877,0.008256706998145513,9
8.14.25_rf_1_std_diff,ph_damage_per_min_std_diff,0.004494382022471854,0.010893662600935546,26
8.14.25_rf_1_std_diff,ph_time_played_ratio_min_diff,0.003370786516853919,0.007620595486657584,39
8.14.25_rf_1_std_diff,ph_assists_mean_diff,0.003370786516853919,0.004494382022471883,21
