feature_group,8.14.25_rf_1_quantiles,8.14.25_rf_1_quantiles_diff,8.14.25_rf_1_std,8.14.25_rf_1_std_diff
p_total_time_played,0.0022471910112359826,-0.0011235955056179802,0.011235955056179803,0.025842696629213457
ph_assists,-0.014606741573033655,0.003370786516853941,0.013483146067415764,0.0011235955056179581
ph_assists_ratio,-0.006741573033707838,-0.016853932584269683,0.014606741573033743,-0.014606741573033743
ph_damage_per_min,0.0022471910112359826,0.007865168539325862,0.017977528089887684,0.021348314606741515
ph_damage_per_min_ratio,0.010112359550561823,0.025842696629213457,0.0314606741573034,0.025842696629213437
ph_deaths,4.4408920985006264e-17,0.005617977528089879,0.025842696629213503,-2.2204460492503132e-17
ph_kd_ratio,-0.007865168539325795,0.012359550561797782,0.023595505617977564,0.010112359550561778
ph_kills,-0.0011235955056179358,-0.003370786516853941,0.022471910112359585,-0.0044943820224719435
ph_time_played,0.012359550561797782,0.019101123595505597,0.0067415730337079035,-0.008988764044943864
ph_time_played_ratio,-0.004494382022471877,-0.01460674157303372,0.0213483146067416,-0.012359550561797782
ph_total_kd,0.010112359550561844,0.02696629213483146,0.022471910112359585,-0.005617977528089924
ph_win_rate_ratio,0.13370786516853936,0.1955056179775281,0.21348314606741572,0.26629213483146064
ph_wins,0.015730337078651745,0.01460674157303372,0.024719101123595523,0.010112359550561755
