feature_group,8.14.25_rf_1_quantiles,8.14.25_rf_1_quantiles_diff,8.14.25_rf_1_std,8.14.25_rf_1_std_diff
p_total_time_played,1,1,1,1
ph_assists,5,5,5,5
ph_assists_ratio,12,12,12,12
ph_damage_per_min,6,6,6,6
ph_damage_per_min_ratio,11,11,11,11
ph_deaths,4,4,4,4
ph_kd_ratio,9,9,9,9
ph_kills,3,3,3,3
ph_time_played,7,7,7,7
ph_time_played_ratio,10,10,10,10
ph_total_kd,8,8,8,8
ph_win_rate_ratio,13,13,13,13
ph_wins,2,2,2,2
