feature_group,8.14.25_rf_1_quantiles_diff,8.14.25_rf_1_std_diff
p_total_time_played,-0.0011235955056179802,0.025842696629213457
ph_assists,-0.01123595505617978,-0.016853932584269725
ph_damage_per_min,0.0146067415730337,0.022471910112359515
ph_deaths,0.005617977528089879,-2.2204460492503132e-17
ph_kd,0.012359550561797782,0.010112359550561778
ph_kills,-0.003370786516853941,-0.0044943820224719435
ph_time_played,0.004494382022471899,-0.007865168539325862
ph_total_kd,0.02696629213483146,-0.005617977528089924
ph_win_rate,0.1955056179775281,0.26629213483146064
ph_wins,0.01460674157303372,0.010112359550561755
