feature,importance_mean,importance_std
ph_win_rate_ratio_mean_Team0,0.07303370786516857,0.019782940293998883
ph_win_rate_ratio_min_Team1,0.07191011235955058,0.010297922910013095
ph_win_rate_ratio_mean_Team1,0.04494382022471912,0.022189233323743233
ph_win_rate_ratio_max_Team1,0.03370786516853932,0.012308372078767768
ph_win_rate_ratio_max_Team0,0.03258426966292134,0.016816437693366028
ph_win_rate_ratio_min_Team0,0.026966292134831482,0.009665534007913043
ph_deaths_max_Team1,0.024719101123595544,0.005729235408531198
ph_time_played_ratio_min_Team0,0.021348314606741626,0.005504471332097043
ph_kd_ratio_min_Team0,0.020224719101123646,0.008408218846683035
ph_wins_min_Team1,0.020224719101123646,0.006741573033707881
ph_damage_per_min_ratio_max_Team0,0.020224719101123646,0.007620595486657623
ph_damage_per_min_mean_Team1,0.020224719101123622,0.009795278524810496
ph_kills_std_Team1,0.019101123595505663,0.0027522356660485215
ph_damage_per_min_max_Team0,0.019101123595505642,0.013103262685045617
ph_damage_per_min_ratio_min_Team0,0.019101123595505642,0.010419796062354717
p_total_time_played_std_Team0,0.017977528089887663,0.010893662600935565
ph_total_kd_mean_Team0,0.015730337078651725,0.004204109423341517
ph_time_played_ratio_std_Team0,0.015730337078651725,0.008256706998145564
ph_kills_max_Team0,0.014606741573033743,0.005729235408531233
ph_deaths_std_Team1,0.014606741573033743,0.005729235408531233
ph_assists_min_Team0,0.013483146067415764,0.002752235666048521
ph_kills_min_Team0,0.012359550561797782,0.004204109423341517
ph_assists_min_Team1,0.012359550561797782,0.004204109423341517
ph_wins_max_Team1,0.012359550561797782,0.009665534007913087
ph_wins_min_Team0,0.012359550561797782,0.006551631342522826
ph_deaths_min_Team0,0.012359550561797782,0.004204109423341517
ph_kd_ratio_mean_Team0,0.012359550561797782,0.004204109423341517
ph_kd_ratio_max_Team1,0.011235955056179803,0.009400674455439073
ph_deaths_mean_Team0,0.011235955056179803,0.0035531209664813337
ph_assists_ratio_mean_Team1,0.011235955056179803,0.0035531209664813337
ph_time_played_ratio_std_Team1,0.011235955056179803,0.0035531209664813337
ph_kd_ratio_std_Team1,0.010112359550561823,0.005504471332097042
ph_assists_ratio_max_Team0,0.010112359550561823,0.004204109423341517
ph_deaths_min_Team1,0.010112359550561823,0.007453089416529007
ph_damage_per_min_std_Team0,0.010112359550561823,0.007453089416529007
ph_damage_per_min_mean_Team0,0.010112359550561823,0.005504471332097043
ph_time_played_ratio_max_Team1,0.010112359550561823,0.008256706998145564
ph_win_rate_ratio_std_Team1,0.010112359550561823,0.004204109423341517
ph_kd_ratio_mean_Team1,0.010112359550561823,0.008256706998145564
