feature,importance_mean,importance_std
ph_win_rate_ratio_mean_diff,0.09550561797752807,0.009400674455439035
ph_win_rate_ratio_min_diff,0.07752808988764041,0.013006558317741859
ph_win_rate_ratio_max_diff,0.028089887640449396,0.021020547116707533
p_total_time_played_min_diff,0.019101123595505577,0.007620595486657584
ph_time_played_mean_diff,0.01573033707865166,0.008988764044943792
ph_damage_per_min_ratio_max_diff,0.015730337078651634,0.006551631342522791
ph_damage_per_min_max_diff,0.014606741573033655,0.005729235408531198
ph_damage_per_min_mean_diff,0.014606741573033655,0.005729235408531198
ph_wins_min_diff,0.014606741573033655,0.007620595486657597
p_total_time_played_std_diff,0.008988764044943776,0.002752235666048467
ph_deaths_std_diff,0.006741573033707838,0.00420410942334147
ph_kd_ratio_max_diff,0.005617977528089879,0.0035531209664812985
ph_assists_min_diff,0.005617977528089857,0.009400674455439033
ph_assists_ratio_std_diff,0.005617977528089857,0.005024871859550052
ph_damage_per_min_min_diff,0.004494382022471899,0.007453089416528971
ph_assists_std_diff,0.004494382022471899,0.004204109423341482
ph_wins_mean_diff,0.004494382022471877,0.008256706998145513
ph_damage_per_min_std_diff,0.004494382022471854,0.010893662600935546
ph_time_played_ratio_min_diff,0.003370786516853919,0.007620595486657584
ph_assists_mean_diff,0.003370786516853919,0.004494382022471883
ph_damage_per_min_ratio_mean_diff,0.003370786516853919,0.005729235408531203
ph_kd_ratio_min_diff,0.0022471910112359605,0.0027522356660485215
ph_kd_ratio_std_diff,0.0022471910112359605,0.0027522356660485215
p_total_time_played_mean_diff,0.0022471910112359383,0.008408218846682997
ph_time_played_max_diff,0.0022471910112359162,0.008408218846682988
ph_deaths_mean_diff,0.0011235955056179802,0.0022471910112359605
ph_time_played_std_diff,0.0011235955056179581,0.008256706998145522
ph_assists_ratio_mean_diff,0.0,0.0
ph_wins_std_diff,0.0,0.0035531209664813337
ph_deaths_max_diff,-2.2204460492503132e-17,0.006154186039383863
ph_kills_min_diff,-0.0011235955056179802,0.008256706998145565
ph_kills_max_diff,-0.0011235955056179802,0.005504471332097042
ph_damage_per_min_ratio_std_diff,-0.0011235955056179802,0.0022471910112359605
ph_assists_ratio_min_diff,-0.0022471910112359605,0.006741573033707882
ph_total_kd_min_diff,-0.0022471910112359605,0.004494382022471922
ph_wins_max_diff,-0.0022471910112359605,0.005729235408531233
ph_assists_max_diff,-0.003370786516853941,0.002752235666048521
ph_time_played_ratio_std_diff,-0.003370786516853941,0.005729235408531233
ph_total_kd_max_diff,-0.004494382022471921,0.0022471910112359605
ph_kd_ratio_mean_diff,-0.004494382022471921,0.005504471332097043
ph_total_kd_std_diff,-0.005617977528089901,0.005024871859550101
ph_assists_ratio_max_diff,-0.005617977528089901,0.006154186039383903
p_total_time_played_max_diff,-0.005617977528089901,0.007945020013332015
Unnamed: 0,-0.005617977528089901,0.005024871859550101
ph_kills_mean_diff,-0.005617977528089901,0.007945020013332015
ph_time_played_min_diff,-0.005617977528089924,0.011784369080563486
ph_time_played_ratio_max_diff,-0.006741573033707882,0.005504471332097043
ph_damage_per_min_ratio_min_diff,-0.006741573033707882,0.004204109423341517
ph_deaths_min_diff,-0.006741573033707882,0.006551631342522826
ph_total_kd_mean_diff,-0.006741573033707882,0.004204109423341517
ph_win_rate_ratio_std_diff,-0.008988764044943842,0.007620595486657623
ph_kills_std_diff,-0.010112359550561823,0.006551631342522826
ph_time_played_ratio_mean_diff,-0.010112359550561823,0.008256706998145564
match_id,-0.011235955056179803,0.006154186039383903
