,match_id,team,p_total_time_played_min,p_total_time_played_max,p_total_time_played_q25,p_total_time_played_median,p_total_time_played_q75,ph_wins_min,ph_wins_max,ph_wins_q25,ph_wins_median,ph_wins_q75,ph_kills_min,ph_kills_max,ph_kills_q25,ph_kills_median,ph_kills_q75,ph_deaths_min,ph_deaths_max,ph_deaths_q25,ph_deaths_median,ph_deaths_q75,ph_assists_min,ph_assists_max,ph_assists_q25,ph_assists_median,ph_assists_q75,ph_damage_per_min_min,ph_damage_per_min_max,ph_damage_per_min_q25,ph_damage_per_min_median,ph_damage_per_min_q75,ph_time_played_min,ph_time_played_max,ph_time_played_q25,ph_time_played_median,ph_time_played_q75,ph_total_kd_min,ph_total_kd_max,ph_total_kd_q25,ph_total_kd_median,ph_total_kd_q75,ph_kd_ratio_min,ph_kd_ratio_max,ph_kd_ratio_q25,ph_kd_ratio_median,ph_kd_ratio_q75,ph_time_played_ratio_min,ph_time_played_ratio_max,ph_time_played_ratio_q25,ph_time_played_ratio_median,ph_time_played_ratio_q75,ph_damage_per_min_ratio_min,ph_damage_per_min_ratio_max,ph_damage_per_min_ratio_q25,ph_damage_per_min_ratio_median,ph_damage_per_min_ratio_q75,ph_assists_ratio_min,ph_assists_ratio_max,ph_assists_ratio_q25,ph_assists_ratio_median,ph_assists_ratio_q75,ph_win_rate_ratio_min,ph_win_rate_ratio_max,ph_win_rate_ratio_q25,ph_win_rate_ratio_median,ph_win_rate_ratio_q75,pm_win_first
0,38648445,Team0,370484,1618549,474432.75,762928.5,1064100.0,2,422,17.5,54.5,81.0,25,5578,256.25,711.5,877.25,5,5368,216.0,423.0,621.0,33,9105,402.0,1073.5,1576.25,844.3825503419611,1409.270764617691,882.4853864312934,948.9003162343449,1061.9194020777907,3451,1515416,60256.5,179754.0,278123.25,0.6815286624203821,5.0,1.1227674198213826,1.4638957092222862,1.760658375882581,0.1811328295359664,1.592959618295819,0.6456714476029292,0.8970239573287846,1.086648157525247,0.05734231700485768,18.217691529317825,0.5497461816634359,1.874508566267667,6.251015347718605,0.9036757577088578,1.843488189887946,1.1032234038731676,1.2588325163976883,1.3105311265080226,0.10570996627514828,19.24062617757331,0.6024362602025413,1.9709209499730242,6.4806910687048385,1.016010776824703,1.936207564002722,1.109059366031412,1.1422515039692218,1.1949892415555656,Y
1,38648445,Team1,452801,2333503,538220.0,778826.0,1035520.25,12,70,18.25,27.0,40.25,156,1161,238.5,356.5,494.0,93,648,134.5,247.0,419.5,210,1118,369.25,567.0,774.5,845.6956796751971,1238.5829694743024,919.3457693695628,976.9468532437597,1096.8263364993509,35181,191276,47742.75,77061.5,119793.25,0.7564655172413793,2.161290322580645,1.4987325174825175,1.766025641025641,1.8587558275058274,0.4002834453116099,1.637590933167537,0.6921237925533923,0.7347791763237531,1.048096535670566,0.43306093830609477,1.8334653080650452,0.4691192050367974,0.8559486643793042,1.329090898677577,0.9509872795382002,1.6589110589907459,1.0600446983292906,1.2723279424599827,1.4140495288671016,0.44895961634828385,2.0892196746491516,0.5249183554104417,1.014311604163769,1.5119105406409918,1.0222957933080852,1.3977291841472423,1.1048674654160646,1.2549966460777706,1.3413469631344503,N
2,38648734,Team0,730576,3542797,2068279.0,2609546.0,2764892.25,20,454,38.25,123.5,211.0,160,6219,387.5,2372.5,4438.5,107,3721,449.25,1122.0,2234.25,443,9783,680.5,2191.5,3753.5,549.2649018668125,1137.515510119861,853.7928657428365,950.2097213161869,1111.6802940427515,56364,1691627,132935.0,416614.5,724444.75,0.5138888888888888,2.7320143884892087,1.5281292337367103,1.6489302695967571,1.6816570639052892,0.39737991224387004,1.6834937577883229,0.8398603380237151,0.8940171722388647,1.0471298944780427,0.6938133289754335,10.044736360843261,1.475736087209488,3.6125393285558247,5.681402201684087,0.9125529243382242,1.4244239134339705,0.9757765025917441,1.050194334645898,1.2511886885263932,0.9470910002013797,9.33987219542929,1.353705861040982,3.537442237394891,5.881122494953498,1.0397584362913421,1.3690357090301108,1.05844405641457,1.0697263529930308,1.1358887975506757,Y
3,38648734,Team1,682674,3095841,1105616.75,1617648.5,2109773.0,4,462,74.0,124.5,180.25,80,5994,1129.25,1640.5,1935.75,109,4597,584.0,1204.0,2037.0,193,8931,1167.0,2278.5,4281.75,598.5979611683345,1209.091829316402,857.9668694916585,906.1468214536933,954.836646750038,32003,1606496,228545.75,416474.0,722651.75,0.7339449541284404,2.1767810026385224,0.9503760597666415,1.1461893461480148,1.6976464647550766,0.653114418752031,1.7425478216072796,0.8556470866739576,1.0504458168889739,1.1635911183631362,0.5365565478632679,16.453486471508167,2.0935835184194826,6.720461166259316,14.114378437671636,0.7944506287658472,1.4448777110655626,1.0367674383240029,1.1273135446146525,1.1969764476276508,0.5064118036360805,15.924904544830474,2.4684779394784417,6.239638799818479,13.836115138877222,0.49201401816966667,1.3583532808412544,0.9969175013347007,1.049226967880979,1.1206771622202139,N
4,38648877,Team0,337492,6354509,1010266.25,1967952.5,2388561.5,8,510,25.25,47.0,79.25,114,7804,297.0,632.5,1273.25,80,4440,285.75,657.5,889.0,219,10816,549.75,1291.5,1680.75,686.5470885677206,1184.4608429356465,964.8185912511351,1016.1353230217835,1078.224030854204,30571,1550030,92451.0,184377.5,293861.5,0.4539363484087102,2.0604395604395602,1.2859157381615598,1.4529862579281185,1.6884863722073025,0.6207093891768072,1.9058371061801076,0.783295121496858,0.8930424335795143,1.238889327854598,0.299680072792148,9.203945492356105,1.3698886797769112,2.095870345058482,2.6402640494336005,1.0993308272603668,1.4449033381749798,1.1162783710432147,1.2014783014763961,1.3697507651022933,0.33528582166658705,10.326081740341735,1.2125999235696232,2.2191112842974503,3.4307951209980607,0.83874863294076,1.233188981438075,0.9770287342615811,0.9901474623246918,1.1289428111613928,N
5,38648877,Team1,217922,4199569,1436251.5,2333721.5,2540465.5,13,676,41.0,85.0,484.5,178,10253,454.25,1164.5,5615.0,146,9142,363.0,955.5,4187.25,320,11584,849.5,1872.0,8491.75,706.6261039270374,975.8276792301896,809.5145354553625,918.7201253335145,955.565582835581,42582,2292607,127025.25,290464.0,1598140.25,1.1215270181579524,1.354901201084851,1.1780453433544864,1.2103353097526068,1.289748224251649,0.7535969182490776,1.2639561969309245,0.9104130410676539,1.05702348614046,1.1051302701306858,0.4653611669054137,23.189326832870158,1.3758298569663312,3.219201344854703,15.419974074237295,0.9138266792403018,1.2366260465994279,0.9632787158209388,1.0371889068577052,1.0875107986229569,0.5688775151810541,23.13866289962057,1.4879982831147125,3.6209178901911083,17.261262513521167,0.9655324401325666,1.1169636807373253,0.9996570373028006,1.0473396068560807,1.101349368910319,Y
6,38649032,Team0,412456,2368830,950594.0,1422051.5,1707053.0,5,306,6.75,34.5,76.5,76,3653,118.75,519.0,1301.75,47,4207,125.75,349.5,719.5,37,4890,222.75,582.5,1417.0,795.3817480782827,970.803156058622,846.7207706621986,902.2935631034763,961.9004401374066,15498,1117832,38581.5,118620.5,269149.0,0.7387755102040816,1.8876651982378854,0.9361197561096953,1.3782780801583374,1.7501711607330945,0.6049677872145105,1.580205785864494,0.7023913047742217,0.9051131938215893,1.25171517599438,0.13239345910060304,10.345673365740806,0.4182256120292468,1.1688207799034989,2.2713856345957186,0.8253207013903254,1.1853043658351503,1.0091731154904944,1.1186384719966718,1.149347191195127,0.07491820900865352,9.343068752123065,0.4105152923238975,1.104607833118719,2.1301555487556256,0.6361011915110744,1.1592977763882075,0.9731764790511995,1.0844614458995696,1.1350633461664266,N
7,38649032,Team1,215022,4004780,1476742.25,1734963.0,2099246.5,6,569,14.5,18.0,326.75,84,8351,196.5,241.5,5501.25,81,6682,129.5,138.0,3127.75,116,11726,254.75,319.5,6896.5,736.7531030876648,949.3798335236264,791.6540504782831,869.5343300525808,917.209945455507,26714,1910199,45053.5,56145.5,1188479.25,0.65625,2.3333333333333335,1.3228950175160512,1.649977112249046,1.9170371161413402,0.5481146489983579,2.25621658382455,0.6659345199250707,0.9536233158695753,1.0737242326051282,0.20339969603225075,19.256212614365797,0.5570131252312674,0.6680377413623936,8.68694649101354,0.8455004805571154,1.1712230804117854,0.9360017360325112,1.0667570412875484,1.1172214350577796,0.20040005487628276,19.407882843855813,0.5676514276665543,0.7189519005395297,8.584411483762878,0.8239595155516294,1.2728188730910943,0.9602812969497356,1.098853824694137,1.2100812019272214,Y
8,38649125,Team0,1502187,2423327,2001450.5,2188761.0,2367656.5,49,565,112.25,202.0,255.0,510,3876,1362.75,1658.5,1868.75,257,7053,996.25,1931.0,2514.0,813,7891,2256.0,4435.0,6207.5,403.55009550069553,1212.4621034730142,686.6531882204015,855.6915314685982,1025.0190035266264,111776,2016248,387909.0,684668.0,890933.5,0.5495533815397703,1.9844357976653697,0.6316093995772867,0.9882650023581371,1.5512798106382282,0.6242485011335531,1.6480003182626046,0.9777463689862393,1.1752551212196678,1.4748324191324733,1.1447927065111254,33.50226948026957,5.041671068902569,8.11073541637237,11.734886868359975,0.6704612264765216,1.2842894589277802,0.9190717907864655,1.0779505333562243,1.1490846209477723,1.4496637996805706,25.27749526900591,5.2163920732495175,8.19561997319714,11.71877644841352,1.0379101268136033,1.300615711321547,1.100635929270431,1.1846530642365054,1.203764741001321,N
9,38649125,Team1,1304533,3296440,1668225.75,2637684.0,2894676.0,62,687,76.5,146.5,197.0,564,15854,1131.0,1704.0,3129.0,543,11628,785.0,1347.5,1952.75,1102,10410,1274.75,2163.0,3855.25,842.1869839826317,1231.323695024381,1013.9648413328036,1037.3640172933679,1104.6675398997593,203061,2421627,257013.75,449253.0,695520.0,1.0386740331491713,1.6767241379310345,1.1386244328296324,1.3637007215567352,1.5903841109908563,0.7007912531845306,1.3886725362387946,0.9229738541802146,1.0635745893483224,1.1029068740624624,1.7074260101645653,20.68702898318596,2.74656286673934,4.582651535793831,7.453200435191594,0.9757587483549731,1.3415045000678025,1.0643451492944656,1.1501222891300633,1.2597600099646273,1.9038005213246862,21.078339345407652,2.711188579748436,4.441798590468393,7.744676313498902,0.9691014356352498,1.1926362014870355,1.118649386570782,1.1336301068737462,1.1705547742447655,Y
