,account_id,match_id,team,hero_id,pm_kills,pm_deaths,pm_assists,pm_denies,pm_net_worth,winning_team,pm_win,p_total_matches_played,p_total_kills,p_total_deaths,p_total_assists,p_total_avg_kd,p_total_win_rate,p_total_time_played,matches_played,ph_wins,ph_kills,ph_deaths,ph_assists,ph_damage_per_min,ph_time_played,ph_total_kd,h_total_kd,ph_kd_ratio,h_avg_total_time_played,ph_time_played_ratio,h_total_damage_per_min,ph_damage_per_min_ratio,h_total_assists,ph_assists_ratio,ph_win_rate,h_total_win_rate,ph_win_rate_ratio
0,1924441699,38707530,Team0,19,9,2,14,1,30541,Team0,Y,34,464,116,342,4.0,0.8235294117647058,57384,11,9,139,31,116,1013.792435885362,18518,4.483870967741935,1.4216870592887219,0.317066898114751,117060.16373681567,0.15819215870595993,836.8125690199248,1.2114928401143832,493.87192365645404,0.23487870932442725,0.8181818181818182,0.48329735634881715,1.6929159810907388
1,124024173,38707530,Team0,15,7,6,21,2,28034,Team0,Y,507,4954,3414,5852,1.4510837727006445,0.5601577909270217,935558,16,9,151,113,161,863.2897530357677,27757,1.336283185840708,1.085647637946832,0.8124382985959736,121811.28991130821,0.22786886191099442,796.4245771979623,1.0839566956522804,696.319290465632,0.23121576869188637,0.5625,0.48050379394434084,1.1706463238980318
2,1048356191,38707530,Team1,2,5,4,5,4,23268,Team0,N,465,4388,2327,4571,1.885689729265148,0.6129032258064516,886003,114,77,1056,511,1201,1207.331280299332,215312,2.0665362035225048,1.2387810722883739,0.5994480378213628,97638.63742690059,2.2051925925451212,944.0723000913416,1.2788546811324932,560.8196881091618,2.1415082698848282,0.6754385964912281,0.570825214520798,1.183266925337648
3,381952778,38707530,Team1,31,2,9,2,6,20278,Team0,N,1062,8414,5956,9223,1.4126930826057758,0.5338983050847458,2045438,633,343,4681,3196,6207,776.4500691002835,1207564,1.4646433041301627,1.3820601933510652,0.9436155475218979,168409.29808714133,7.1704116917295195,842.696537330925,0.9213875157948742,1047.4447396386822,5.92584960820092,0.5418641390205371,0.5087617252157195,1.0650646700885014
4,1395432137,38707530,Team1,27,3,7,3,1,21881,Team0,N,655,4628,3726,7410,1.2420826623725174,0.5557251908396946,1148156,29,13,209,172,289,961.4355741315612,49130,1.2151162790697674,1.2146269880702527,0.9995973298951363,104324.85368477677,0.47093284356236886,860.9768552150966,1.116679929672868,535.1280258203335,0.5400576797617217,0.4482758620689655,0.5087967641490806,0.8810509296745801
5,1902828658,38707530,Team0,25,10,4,11,3,28896,Team0,Y,574,5325,3445,6726,1.5457184325108853,0.5574912891986062,990423,24,11,215,151,170,1150.9751327472763,39857,1.423841059602649,1.4791189699635048,1.038823090532508,92429.59989727786,0.431214676297369,958.547073322174,1.200749722972057,468.8587570621469,0.3625825420542729,0.4583333333333333,0.5599994903789741,0.8184531257754551
6,1482595800,38707530,Team1,11,1,10,5,2,20134,Team0,N,533,2573,2705,7048,0.9512014787430684,0.575984990619137,1032145,232,143,733,1097,3500,452.6092684822775,443699,0.6681859617137648,0.8651287366412214,1.2947424612488676,83956.42576028622,5.284872432121595,601.8992293133407,0.7519685130659225,587.0512820512821,5.962000436776588,0.6163793103448276,0.5155685689957777,1.1955331403258516
7,1176357514,38707530,Team0,13,3,5,15,4,28034,Team0,Y,672,5094,5301,6318,0.9609507640067912,0.5505952380952381,1252997,35,17,234,276,329,733.5698661806723,62966,0.8478260869565217,1.4806421331348607,1.7463984134411177,131337.46274509805,0.4794214741471401,871.3810577638053,0.8418473865649627,578.8421568627451,0.5683760177094571,0.4857142857142857,0.520136512149515,0.9338207842918467
8,192227354,38707530,Team0,52,10,3,12,4,29669,Team0,Y,473,4184,2476,5513,1.689822294022617,0.5983086680761099,831656,26,14,268,119,280,1354.0148058217565,45329,2.2521008403361344,1.4423781039386374,0.6404589342115592,79136.9570273003,0.5727917992141474,935.6628833196916,1.4471182195640488,450.30131445904954,0.6218058686689959,0.5384615384615384,0.514792616191174,1.045977586946536
9,1730032433,38707530,Team0,14,4,2,13,6,28332,Team0,Y,237,2182,1313,2249,1.6618431073876618,0.6160337552742616,397935,12,6,92,47,143,883.5544781234959,17912,1.9574468085106382,1.2789341809961685,0.6533685489871731,59645.15786350148,0.3003093736626833,753.4740857317171,1.1726408311248748,381.1127596439169,0.3752170358547125,0.5,0.47822645078766784,1.0455297886105417
10,1807540716,38707530,Team1,58,5,5,5,0,22170,Team0,N,626,6419,2978,4724,2.155473472128945,0.5718849840255591,1147397,464,280,4886,2114,3223,914.8188414911776,829481,2.3112582781456954,1.3717884169150592,0.5935245013013579,44480.12,18.6483534666723,851.5326951984266,1.0743202776001501,193.84825396825397,16.626407171703608,0.603448275862069,0.5322143842489293,1.1338443561867766
11,1837991471,38707530,Team1,7,3,8,3,2,22338,Team0,N,1504,14865,8385,16180,1.772808586762075,0.5664893617021277,2779845,135,88,1350,702,1203,1166.551830959639,252729,1.9230769230769231,1.5073317802673096,0.783812525739001,98864.75,2.556310515122933,855.6992662286185,1.36327314630181,461.6083499005964,2.6061053710554765,0.6518518518518519,0.5417959066737625,1.2031317398718528
12,173322536,38707625,Team0,31,4,6,10,1,40000,Team1,N,969,6997,6898,9342,1.0143519860829229,0.5263157894736842,1912022,304,156,2351,1961,3494,913.3750988136524,594899,1.1988781234064252,1.3820601933510652,1.1527945721656483,168409.29808714133,3.5324593520494147,842.696537330925,1.0838719021043894,1047.4447396386822,3.3357368343892406,0.5131578947368421,0.5087617252157195,1.0086409203036228
