account_id,match_id,team,hero_id,kills,deaths,assists,denies,net_worth,winning_team,win
1423690634,38708675,Team0,6,4,6,6,2,29797,Team1,N
1485644952,38708675,Team1,52,3,3,7,3,40438,Team1,Y
298155885,38708675,Team1,50,4,7,6,1,36744,Team1,Y
1507552094,38708675,Team0,10,7,4,7,1,30740,Team1,N
26825713,38708675,Team1,1,5,5,5,2,36338,Team1,Y
1255354474,38708675,Team1,19,6,5,8,5,43361,Team1,Y
1718651835,38708675,Team0,13,7,2,10,4,33780,Team1,N
1674492490,38708675,Team0,3,4,5,7,3,31180,Team1,N
1128784909,38708675,Team0,31,2,5,10,8,30200,Team1,N
1533206301,38708675,Team1,25,7,1,5,0,44538,Team1,Y
1874504999,38708750,Team1,4,5,6,7,4,29723,Team0,N
80671935,38708750,Team1,20,2,6,5,1,29708,Team0,N
145596499,38708750,Team1,19,12,11,6,0,27075,Team0,N
168805287,38708750,Team1,8,4,3,9,9,38461,Team0,N
181456277,38708750,Team0,12,3,0,21,4,34326,Team0,Y
27374245,38708750,Team0,58,1,8,3,2,32712,Team0,Y
108815945,38708750,Team0,1,20,1,9,1,50043,Team0,Y
110270542,38708750,Team0,6,2,9,4,6,28111,Team0,Y
1118515282,38708750,Team1,31,4,4,5,1,31477,Team0,N
30917829,38708750,Team1,10,3,6,12,3,32730,Team0,N
66649287,38708750,Team0,2,8,6,11,1,38340,Team0,Y
1179052455,38708750,Team0,13,2,6,3,8,31788,Team0,Y
112724001,38708767,Team0,50,5,6,4,5,34769,Team1,N
130143991,38708767,Team0,3,4,12,7,1,25218,Team1,N
917678344,38708767,Team0,12,4,5,10,1,27110,Team1,N
1200456203,38708767,Team1,18,4,6,14,5,31051,Team1,Y
1673876903,38708767,Team1,52,14,2,10,2,43539,Team1,Y
1548096050,38708767,Team1,13,7,5,12,0,34295,Team1,Y
1858908139,38708767,Team1,10,4,2,15,4,32022,Team1,Y
1610906733,38708767,Team0,20,5,8,8,4,30143,Team1,N
149948606,38708767,Team1,19,10,5,14,3,34016,Team1,Y
44128142,38708767,Team0,1,2,10,3,1,31058,Team1,N
1557303666,38708767,Team1,6,9,1,23,3,38508,Team1,Y
291791842,38708767,Team0,31,1,7,8,0,25914,Team1,N
141914289,38708782,Team0,13,14,6,15,2,52466,Team0,Y
85845413,38708782,Team1,7,7,10,10,3,46647,Team0,N
131999064,38708782,Team0,1,13,10,12,2,46538,Team0,Y
236073458,38708782,Team1,25,9,13,10,1,37225,Team0,N
102585176,38708782,Team1,10,11,6,12,6,44078,Team0,N
376781925,38708782,Team1,31,9,8,13,1,45411,Team0,N
143965798,38708782,Team0,16,4,9,17,0,43292,Team0,Y
1876201933,38708782,Team0,52,10,5,19,2,45479,Team0,Y
446919781,38708782,Team1,3,7,7,15,9,48702,Team0,N
296637832,38708782,Team0,14,8,9,19,2,43951,Team0,Y
343839530,38708782,Team1,2,3,10,13,4,44904,Team0,N
112958304,38708782,Team0,6,5,7,22,1,47130,Team0,Y
1855172408,38708824,Team0,27,9,9,16,1,39031,Team1,N
44035503,38708824,Team1,14,5,8,19,2,36979,Team1,Y
108471637,38708824,Team1,16,4,4,21,7,36382,Team1,Y
241312861,38708824,Team0,19,8,9,10,0,31207,Team1,N
838322891,38708824,Team0,50,5,7,7,1,34848,Team1,N
191144961,38708824,Team1,60,11,4,8,0,35868,Team1,Y
177842066,38708824,Team0,7,3,8,4,7,33639,Team1,N
