,match_id,Unnamed: 0_Team0,Unnamed: 0_Team1,p_total_time_played_min_Team0,p_total_time_played_min_Team1,p_total_time_played_max_Team0,p_total_time_played_max_Team1,p_total_time_played_q25_Team0,p_total_time_played_q25_Team1,p_total_time_played_median_Team0,p_total_time_played_median_Team1,p_total_time_played_q75_Team0,p_total_time_played_q75_Team1,ph_wins_min_Team0,ph_wins_min_Team1,ph_wins_max_Team0,ph_wins_max_Team1,ph_wins_q25_Team0,ph_wins_q25_Team1,ph_wins_median_Team0,ph_wins_median_Team1,ph_wins_q75_Team0,ph_wins_q75_Team1,ph_kills_min_Team0,ph_kills_min_Team1,ph_kills_max_Team0,ph_kills_max_Team1,ph_kills_q25_Team0,ph_kills_q25_Team1,ph_kills_median_Team0,ph_kills_median_Team1,ph_kills_q75_Team0,ph_kills_q75_Team1,ph_deaths_min_Team0,ph_deaths_min_Team1,ph_deaths_max_Team0,ph_deaths_max_Team1,ph_deaths_q25_Team0,ph_deaths_q25_Team1,ph_deaths_median_Team0,ph_deaths_median_Team1,ph_deaths_q75_Team0,ph_deaths_q75_Team1,ph_assists_min_Team0,ph_assists_min_Team1,ph_assists_max_Team0,ph_assists_max_Team1,ph_assists_q25_Team0,ph_assists_q25_Team1,ph_assists_median_Team0,ph_assists_median_Team1,ph_assists_q75_Team0,ph_assists_q75_Team1,ph_damage_per_min_min_Team0,ph_damage_per_min_min_Team1,ph_damage_per_min_max_Team0,ph_damage_per_min_max_Team1,ph_damage_per_min_q25_Team0,ph_damage_per_min_q25_Team1,ph_damage_per_min_median_Team0,ph_damage_per_min_median_Team1,ph_damage_per_min_q75_Team0,ph_damage_per_min_q75_Team1,ph_time_played_min_Team0,ph_time_played_min_Team1,ph_time_played_max_Team0,ph_time_played_max_Team1,ph_time_played_q25_Team0,ph_time_played_q25_Team1,ph_time_played_median_Team0,ph_time_played_median_Team1,ph_time_played_q75_Team0,ph_time_played_q75_Team1,ph_total_kd_min_Team0,ph_total_kd_min_Team1,ph_total_kd_max_Team0,ph_total_kd_max_Team1,ph_total_kd_q25_Team0,ph_total_kd_q25_Team1,ph_total_kd_median_Team0,ph_total_kd_median_Team1,ph_total_kd_q75_Team0,ph_total_kd_q75_Team1,ph_kd_ratio_min_Team0,ph_kd_ratio_min_Team1,ph_kd_ratio_max_Team0,ph_kd_ratio_max_Team1,ph_kd_ratio_q25_Team0,ph_kd_ratio_q25_Team1,ph_kd_ratio_median_Team0,ph_kd_ratio_median_Team1,ph_kd_ratio_q75_Team0,ph_kd_ratio_q75_Team1,ph_time_played_ratio_min_Team0,ph_time_played_ratio_min_Team1,ph_time_played_ratio_max_Team0,ph_time_played_ratio_max_Team1,ph_time_played_ratio_q25_Team0,ph_time_played_ratio_q25_Team1,ph_time_played_ratio_median_Team0,ph_time_played_ratio_median_Team1,ph_time_played_ratio_q75_Team0,ph_time_played_ratio_q75_Team1,ph_damage_per_min_ratio_min_Team0,ph_damage_per_min_ratio_min_Team1,ph_damage_per_min_ratio_max_Team0,ph_damage_per_min_ratio_max_Team1,ph_damage_per_min_ratio_q25_Team0,ph_damage_per_min_ratio_q25_Team1,ph_damage_per_min_ratio_median_Team0,ph_damage_per_min_ratio_median_Team1,ph_damage_per_min_ratio_q75_Team0,ph_damage_per_min_ratio_q75_Team1,ph_assists_ratio_min_Team0,ph_assists_ratio_min_Team1,ph_assists_ratio_max_Team0,ph_assists_ratio_max_Team1,ph_assists_ratio_q25_Team0,ph_assists_ratio_q25_Team1,ph_assists_ratio_median_Team0,ph_assists_ratio_median_Team1,ph_assists_ratio_q75_Team0,ph_assists_ratio_q75_Team1,ph_win_rate_ratio_min_Team0,ph_win_rate_ratio_min_Team1,ph_win_rate_ratio_max_Team0,ph_win_rate_ratio_max_Team1,ph_win_rate_ratio_q25_Team0,ph_win_rate_ratio_q25_Team1,ph_win_rate_ratio_median_Team0,ph_win_rate_ratio_median_Team1,ph_win_rate_ratio_q75_Team0,ph_win_rate_ratio_q75_Team1,team_0_win
0,38648445,0,1,370484,452801,1618549,2333503,474432.75,538220.0,762928.5,778826.0,1064100.0,1035520.25,2,12,422,70,17.5,18.25,54.5,27.0,81.0,40.25,25,156,5578,1161,256.25,238.5,711.5,356.5,877.25,494.0,5,93,5368,648,216.0,134.5,423.0,247.0,621.0,419.5,33,210,9105,1118,402.0,369.25,1073.5,567.0,1576.25,774.5,844.3825503419611,845.6956796751971,1409.270764617691,1238.5829694743024,882.4853864312934,919.3457693695628,948.9003162343448,976.9468532437596,1061.919402077791,1096.8263364993509,3451,35181,1515416,191276,60256.5,47742.75,179754.0,77061.5,278123.25,119793.25,0.6815286624203821,0.7564655172413793,5.0,2.161290322580645,1.1227674198213826,1.4987325174825177,1.4638957092222862,1.766025641025641,1.760658375882581,1.8587558275058276,0.1811328295359664,0.4002834453116099,1.592959618295819,1.637590933167537,0.6456714476029292,0.6921237925533923,0.8970239573287846,0.7347791763237531,1.086648157525247,1.048096535670566,0.0573423170048576,0.4330609383060947,18.217691529317825,1.8334653080650447,0.5497461816634359,0.4691192050367974,1.874508566267667,0.8559486643793042,6.251015347718605,1.329090898677577,0.9036757577088578,0.9509872795382002,1.843488189887946,1.658911058990746,1.1032234038731676,1.0600446983292906,1.2588325163976883,1.2723279424599827,1.3105311265080226,1.4140495288671016,0.1057099662751482,0.4489596163482838,19.24062617757331,2.089219674649152,0.6024362602025413,0.5249183554104417,1.970920949973024,1.014311604163769,6.480691068704839,1.5119105406409918,1.016010776824703,1.0222957933080852,1.936207564002722,1.3977291841472423,1.109059366031412,1.1048674654160646,1.1422515039692218,1.2549966460777706,1.1949892415555656,1.3413469631344503,Y
1,38648734,2,3,730576,682674,3542797,3095841,2068279.0,1105616.75,2609546.0,1617648.5,2764892.25,2109773.0,20,4,454,462,38.25,74.0,123.5,124.5,211.0,180.25,160,80,6219,5994,387.5,1129.25,2372.5,1640.5,4438.5,1935.75,107,109,3721,4597,449.25,584.0,1122.0,1204.0,2234.25,2037.0,443,193,9783,8931,680.5,1167.0,2191.5,2278.5,3753.5,4281.75,549.2649018668125,598.5979611683345,1137.515510119861,1209.091829316402,853.7928657428365,857.9668694916585,950.2097213161868,906.1468214536932,1111.6802940427517,954.836646750038,56364,32003,1691627,1606496,132935.0,228545.75,416614.5,416474.0,724444.75,722651.75,0.5138888888888888,0.7339449541284404,2.7320143884892087,2.1767810026385224,1.5281292337367105,0.9503760597666416,1.6489302695967571,1.1461893461480148,1.6816570639052892,1.6976464647550766,0.39737991224387,0.653114418752031,1.6834937577883229,1.7425478216072796,0.8398603380237151,0.8556470866739576,0.8940171722388647,1.050445816888974,1.0471298944780427,1.1635911183631362,0.6938133289754335,0.5365565478632679,10.04473636084326,16.453486471508167,1.475736087209488,2.093583518419482,3.6125393285558247,6.720461166259316,5.681402201684087,14.114378437671636,0.9125529243382242,0.7944506287658472,1.4244239134339705,1.4448777110655626,0.975776502591744,1.0367674383240029,1.050194334645898,1.1273135446146525,1.2511886885263932,1.1969764476276508,0.9470910002013796,0.5064118036360805,9.33987219542929,15.924904544830474,1.353705861040982,2.4684779394784417,3.537442237394891,6.239638799818479,5.881122494953498,13.836115138877222,1.039758436291342,0.4920140181696666,1.3690357090301108,1.3583532808412544,1.05844405641457,0.9969175013347008,1.0697263529930308,1.049226967880979,1.1358887975506755,1.120677162220214,Y
2,38648877,4,5,337492,217922,6354509,4199569,1010266.25,1436251.5,1967952.5,2333721.5,2388561.5,2540465.5,8,13,510,676,25.25,41.0,47.0,85.0,79.25,484.5,114,178,7804,10253,297.0,454.25,632.5,1164.5,1273.25,5615.0,80,146,4440,9142,285.75,363.0,657.5,955.5,889.0,4187.25,219,320,10816,11584,549.75,849.5,1291.5,1872.0,1680.75,8491.75,686.5470885677206,706.6261039270374,1184.4608429356465,975.8276792301896,964.8185912511352,809.5145354553625,1016.1353230217836,918.7201253335144,1078.224030854204,955.565582835581,30571,42582,1550030,2292607,92451.0,127025.25,184377.5,290464.0,293861.5,1598140.25,0.4539363484087102,1.1215270181579524,2.06043956043956,1.354901201084851,1.2859157381615598,1.1780453433544864,1.4529862579281183,1.2103353097526068,1.6884863722073025,1.289748224251649,0.6207093891768072,0.7535969182490776,1.905837106180108,1.2639561969309243,0.783295121496858,0.910413041067654,0.8930424335795143,1.05702348614046,1.238889327854598,1.1051302701306858,0.299680072792148,0.4653611669054137,9.203945492356103,23.18932683287016,1.3698886797769112,1.3758298569663312,2.095870345058482,3.219201344854703,2.6402640494336005,15.419974074237295,1.0993308272603668,0.9138266792403018,1.4449033381749798,1.236626046599428,1.1162783710432147,0.9632787158209388,1.201478301476396,1.0371889068577052,1.369750765102293,1.0875107986229569,0.335285821666587,0.5688775151810541,10.326081740341737,23.13866289962057,1.2125999235696232,1.4879982831147125,2.2191112842974503,3.620917890191108,3.4307951209980607,17.261262513521167,0.83874863294076,0.9655324401325666,1.233188981438075,1.116963680737325,0.9770287342615812,0.9996570373028006,0.9901474623246918,1.0473396068560807,1.1289428111613928,1.101349368910319,N
3,38649032,6,7,412456,215022,2368830,4004780,950594.0,1476742.25,1422051.5,1734963.0,1707053.0,2099246.5,5,6,306,569,6.75,14.5,34.5,18.0,76.5,326.75,76,84,3653,8351,118.75,196.5,519.0,241.5,1301.75,5501.25,47,81,4207,6682,125.75,129.5,349.5,138.0,719.5,3127.75,37,116,4890,11726,222.75,254.75,582.5,319.5,1417.0,6896.5,795.3817480782827,736.7531030876648,970.803156058622,949.3798335236264,846.7207706621986,791.6540504782831,902.2935631034763,869.5343300525808,961.9004401374066,917.209945455507,15498,26714,1117832,1910199,38581.5,45053.5,118620.5,56145.5,269149.0,1188479.25,0.7387755102040816,0.65625,1.8876651982378851,2.333333333333333,0.9361197561096952,1.3228950175160512,1.3782780801583374,1.649977112249046,1.7501711607330943,1.91703711614134,0.6049677872145105,0.5481146489983579,1.580205785864494,2.25621658382455,0.7023913047742217,0.6659345199250707,0.9051131938215892,0.9536233158695752,1.25171517599438,1.0737242326051282,0.132393459100603,0.2033996960322507,10.345673365740806,19.2562126143658,0.4182256120292468,0.5570131252312674,1.1688207799034989,0.6680377413623936,2.271385634595718,8.68694649101354,0.8253207013903254,0.8455004805571154,1.1853043658351503,1.1712230804117854,1.0091731154904944,0.9360017360325112,1.1186384719966718,1.0667570412875484,1.149347191195127,1.1172214350577796,0.0749182090086535,0.2004000548762827,9.343068752123065,19.407882843855813,0.4105152923238975,0.5676514276665543,1.104607833118719,0.7189519005395297,2.1301555487556256,8.584411483762878,0.6361011915110744,0.8239595155516294,1.1592977763882075,1.2728188730910943,0.9731764790511996,0.9602812969497356,1.0844614458995696,1.098853824694137,1.1350633461664266,1.2100812019272214,N
4,38649125,8,9,1502187,1304533,2423327,3296440,2001450.5,1668225.75,2188761.0,2637684.0,2367656.5,2894676.0,49,62,565,687,112.25,76.5,202.0,146.5,255.0,197.0,510,564,3876,15854,1362.75,1131.0,1658.5,1704.0,1868.75,3129.0,257,543,7053,11628,996.25,785.0,1931.0,1347.5,2514.0,1952.75,813,1102,7891,10410,2256.0,1274.75,4435.0,2163.0,6207.5,3855.25,403.55009550069553,842.1869839826317,1212.4621034730142,1231.323695024381,686.6531882204015,1013.9648413328036,855.6915314685982,1037.364017293368,1025.0190035266264,1104.6675398997593,111776,203061,2016248,2421627,387909.0,257013.75,684668.0,449253.0,890933.5,695520.0,0.5495533815397703,1.0386740331491713,1.9844357976653697,1.6767241379310345,0.6316093995772867,1.1386244328296324,0.9882650023581372,1.3637007215567352,1.5512798106382282,1.5903841109908563,0.6242485011335531,0.7007912531845306,1.6480003182626046,1.3886725362387946,0.9777463689862392,0.9229738541802146,1.1752551212196678,1.0635745893483224,1.474832419132473,1.1029068740624624,1.1447927065111254,1.7074260101645653,33.50226948026957,20.68702898318596,5.041671068902569,2.74656286673934,8.11073541637237,4.582651535793831,11.734886868359975,7.453200435191594,0.6704612264765216,0.9757587483549732,1.2842894589277802,1.3415045000678023,0.9190717907864656,1.0643451492944656,1.0779505333562245,1.150122289130063,1.1490846209477723,1.2597600099646271,1.4496637996805706,1.9038005213246865,25.27749526900591,21.07833934540765,5.2163920732495175,2.711188579748436,8.19561997319714,4.441798590468393,11.71877644841352,7.744676313498902,1.0379101268136033,0.9691014356352498,1.300615711321547,1.1926362014870355,1.100635929270431,1.118649386570782,1.1846530642365054,1.1336301068737462,1.203764741001321,1.1705547742447655,N
5,38649416,10,11,1203665,679614,6354509,3542797,2005811.5,2068279.0,2858925.0,2609546.0,3958094.0,2764892.25,38,10,462,212,50.75,10.75,105.5,27.5,224.75,166.5,395,80,5994,4557,827.0,166.5,1120.5,371.0,3205.75,3201.25,260,108,4597,2423,691.5,135.75,931.0,351.0,2789.75,1382.25,572,150,8931,3847,1233.5,228.75,2477.0,583.0,4458.5,2831.75,706.6261039270374,731.5564613628077,1099.6587745093857,1160.4066745221055,787.8645942710635,834.2950850443119,935.5691151003008,1110.922797973411,977.1999757955292,1136.748185841725,91847,29549,1606496,733983,217899.0,39282.5,352537.0,105203.0,665728.25,564355.25,0.9963503649635036,0.6557377049180327,1.5192307692307692,2.7320143884892087,1.1733645074988963,0.94272800645682,1.3085827243747263,1.3720743666843545,1.330721747388414,1.7129419452469392,0.7535969182490776,0.39737991224387,1.1716935896563312,2.492564040394261,0.9495757835560988,0.7486171223915532,0.9789220922230784,1.1211402580254686,1.027489908114189,1.38839104906562,1.1606081842180898,0.2832402726322906,16.453486471508167,5.712360492255188,2.3238792183297856,0.4806415112697113,2.787790171345477,1.16254553431682,6.503276648032093,4.651018281166575,0.8877347279536958,0.7823580151851955,1.2480654816973802,1.4244239134339705,0.9824378677878788,0.8941211834598289,1.0387040667953549,1.1857779237401849,1.1198757358386988,1.29480845580535,1.270260560280949,0.2803067542015856,15.924904544830474,5.999908539528708,2.290668324409811,0.5021190948270636,3.0651489125301605,1.2440981497471215,7.934587612207149,4.627727606487489,0.8211886243743111,0.9146349786936352,1.295019869552854,1.5029692329742836,1.015213999741448,0.9756422413979184,1.1029467243112565,1.0422744229071608,1.157189563976818,1.1292704557525477,N
6,38649760,12,13,478869,1629895,4524706,4676863,1485668.75,1920870.5,2867960.5,2206099.0,3632761.5,3703004.25,13,8,1088,1072,32.25,31.25,213.0,99.0,522.75,599.5,242,48,17421,13054,472.5,408.25,2611.0,1333.0,5502.5,5019.25,146,67,18700,9979,398.5,254.5,1889.5,827.0,5298.25,4498.5,143,127,22965,18742,648.5,707.25,3379.5,2360.5,10364.5,14399.0,778.0162203581351,643.038027066247,995.8666874457664,989.6044750526772,817.9514263107615,692.813930574337,882.526637474609,758.5008483581074,904.5086986782884,777.094437300089,40116,21244,4309732,4118432,120649.75,98975.75,681124.0,331381.0,1625795.5,2076955.5,0.7362564358080053,0.64,1.8718849840255591,1.6771752837326608,0.9899730498259912,1.1474272517550383,1.1903979259911464,1.4078048977479574,1.5470798066572389,1.5406287378438814,0.8052480751385355,0.6646678283368685,1.2300933528491471,1.6577119846051054,0.8876121251246656,0.8096022703336173,1.0713326004050103,0.9458919460448382,1.2047761656726923,1.0982982720037986,0.3426955739630785,0.2321669397806258,35.38039867353798,44.557501109785626,1.115891904893877,0.6988829526009503,6.632998603496072,2.5787416390899907,25.13369630738921,29.80546109111064,0.9154894827488296,0.7758719930419848,1.190071378363886,1.193345605322021,1.029318003251839,0.8458805935714804,1.0885638860506717,0.9097965433749372,1.1160661520970747,0.9507616557402424,0.2895487537361474,0.24265229683428,38.09082451447843,40.72998321540325,1.2086291826394495,0.7764482838765139,7.10746919841286,2.9405066785355456,27.86848709360863,30.352036926613263,0.9477479972590171,0.9265670166307716,1.2226615418988669,1.5613392882544552,0.9902593965254942,1.0537080722909518,1.059021450360496,1.1209807702126384,1.1168877021089263,1.1451402323273117,Y
7,38649994,14,15,679614,1245849,2044728,2484181,901093.5,1460570.5,1096850.0,2077258.5,1764133.0,2360585.75,16,34,521,296,18.0,47.25,31.5,59.5,54.0,194.0,237,370,6616,2882,275.25,784.25,468.5,873.5,683.5,1766.75,113,367,4319,3541,165.75,472.25,366.0,622.5,661.5,2563.0,201,729,11234,7643,313.0,835.0,733.0,1296.5,1237.75,5360.25,682.7573859725553,444.4016850746019,1397.011371659427,1149.0771957511936,749.8280815287237,678.2836972662685,922.8983459971896,894.16526115578,1107.3061009994867,981.8004298144411,41918,151437,1850753,1156422,55100.25,165091.75,133648.0,200038.0,208031.75,803991.25,0.894808743169399,0.5814741598418526,2.1496062992125986,1.8876651982378851,1.1329590182912712,0.932188341852964,1.5359180365825422,1.1238643522348637,1.958008849557522,1.3914825072809247,0.6709964073267654,0.6434546704596205,1.1112970639669266,1.4878197457244122,0.7645703633757346,0.915404619825426,0.9939361205969992,1.238045479860427,1.100927804805365,1.3060862101975157,0.4239933849021011,1.4827818681806084,10.989612931242968,14.564616485582963,0.5966990117861075,1.9268424045083656,1.6160834079452415,2.625652466563299,2.5821352486984983,11.008640160776372,0.913540648822546,0.7383323709877229,1.6325962014862652,1.331322078841995,0.9819532438816744,0.9059956527779144,1.0516177457648803,1.1178598676228997,1.1790997606425064,1.1526398825759898,0.4354340644905659,1.392862396788899,10.725148138960712,14.290917171299316,0.6013289429904632,1.7712482663905855,1.4821438534802702,2.9069109596277185,2.697603999913433,10.680036075828136,0.986409484287508,0.8887003203189604,1.3073803707414309,1.0772020612071604,1.007414540677766,0.9860685044588292,1.098294650201876,1.0241711630191397,1.2191038420727016,1.0522325724425516,Y
8,38649996,16,17,1203665,124316,4199569,4097620,1320290.75,490203.0,1627594.0,1049440.0,2327548.5,2236079.0,27,2,302,295,35.0,8.0,47.5,34.5,172.5,163.0,370,40,4736,3127,415.0,121.5,478.0,503.0,2356.75,2518.0,260,28,3895,3043,395.0,72.75,459.0,383.5,1165.0,2387.75,572,30,5701,6669,790.25,155.5,1145.5,594.5,3837.75,2504.25,504.84996280564656,742.0615052447458,973.4135316556994,1162.3061826914563,827.9694031103821,894.810769861605,899.0171982034985,952.2872151336024,910.9512290138456,1077.5572053996516,91847,6948,1166527,912001,133012.75,26992.5,165397.0,119321.5,578472.25,569780.75,0.8295964125560538,1.0131449227735787,2.136103151862464,1.7719298245614037,1.0587464099997823,1.108184753808788,1.2442023079378663,1.350298079046147,1.45754477004477,1.500892857142857,0.6470006807237045,0.5111173902747567,1.319987729882261,1.4053552450093594,0.8772309167926662,0.8176060626442195,1.0285686357406107,0.9753512724893996,1.1892781488182056,0.990594953012051,1.111826334805336,0.0593540943238475,12.620708098882028,10.419348014904198,1.1944519487647802,0.3870750917010527,2.072750790209162,1.2313871556096918,3.857289075937437,4.467828833992508,0.7169554607655595,0.9699600381905664,1.1551175168451442,1.3230229876815551,0.9561326496907564,1.0415000702608794,0.99142751347558,1.157689770903761,1.0590162834982262,1.2716730511165577,1.1316647560820277,0.0607444937908001,12.159312189714177,11.499461277691642,1.2327117149615725,0.4086677945267063,2.25850545151526,1.1084715587532763,4.119021967064876,4.340049555418594,0.8027289078157933,0.8446511564992913,1.295019869552854,1.1915123470785984,0.9743121235258156,1.0141187792853814,1.106563695904932,1.0360315032597165,1.1786616696226826,1.0907780896880854,Y
9,38650514,18,19,518824,1452430,3582803,5553117,629122.25,2004039.5,1046694.0,2409146.0,2223437.5,2665476.5,15,55,314,77,21.5,57.75,86.0,70.0,193.25,75.5,280,573,5130,1152,394.25,612.5,1238.0,834.5,2916.5,1052.75,129,457,4072,851,203.75,476.75,966.5,655.5,1979.0,795.25,193,933,7693,2009,371.0,1112.75,1872.0,1197.0,3605.5,1625.5,859.1286589019518,562.6973521908824,1132.7648433288773,930.61722460168,899.4538491018741,631.613524655375,921.4786264032982,830.3530459562505,1014.5813814415748,902.475645093423,48889,180947,998015,309436,68645.5,195601.75,325782.5,233618.5,629159.25,259933.0,1.1902439024390243,0.6733254994124559,2.688888888888889,2.5098039215686274,1.2711969996400962,0.8877122641509434,1.409580858249528,1.2478220955233976,2.0063677932622523,2.0221150855801207,0.5135879089702601,0.5259747433255088,1.2439821200518295,1.4698350725898464,0.5971315926714594,0.7800872203286237,0.8170287678708319,1.0799566888091148,1.0306980728153454,1.1510727868269872,0.4455913808327884,2.0672672127035714,6.336524583081801,4.5571927021358505,0.5842358993750286,2.231281298204632,2.6393244838634606,2.6649714037501395,5.5394573158494325,3.151229037321213,0.9859391035039292,0.8766024448405938,1.353666143728663,1.0218168132419785,1.0724121734359215,0.8890010509751971,1.1119354838834905,0.9119586268724096,1.22444774101038,0.9385343255286384,0.3907895767208143,1.7826345901290022,7.344540202334409,5.071944245350002,0.5919809612345388,2.141557338210747,2.759539046995356,2.6931231753207494,6.385512644233096,3.310597182922013,0.9449931167061062,0.9207870123480598,1.4040453970157318,1.1003813909903286,1.1080110372327214,1.0019402792061445,1.1155626841204291,1.0576580407417917,1.134643245967524,1.0828161356927408,N
