Unnamed: 0,match_id,p_total_time_played_min_Team0,p_total_time_played_min_Team1,p_total_time_played_max_Team0,p_total_time_played_max_Team1,p_total_time_played_mean_Team0,p_total_time_played_mean_Team1,p_total_time_played_std_Team0,p_total_time_played_std_Team1,ph_wins_min_Team0,ph_wins_min_Team1,ph_wins_max_Team0,ph_wins_max_Team1,ph_wins_mean_Team0,ph_wins_mean_Team1,ph_wins_std_Team0,ph_wins_std_Team1,ph_kills_min_Team0,ph_kills_min_Team1,ph_kills_max_Team0,ph_kills_max_Team1,ph_kills_mean_Team0,ph_kills_mean_Team1,ph_kills_std_Team0,ph_kills_std_Team1,ph_deaths_min_Team0,ph_deaths_min_Team1,ph_deaths_max_Team0,ph_deaths_max_Team1,ph_deaths_mean_Team0,ph_deaths_mean_Team1,ph_deaths_std_Team0,ph_deaths_std_Team1,ph_assists_min_Team0,ph_assists_min_Team1,ph_assists_max_Team0,ph_assists_max_Team1,ph_assists_mean_Team0,ph_assists_mean_Team1,ph_assists_std_Team0,ph_assists_std_Team1,ph_damage_per_min_min_Team0,ph_damage_per_min_min_Team1,ph_damage_per_min_max_Team0,ph_damage_per_min_max_Team1,ph_damage_per_min_mean_Team0,ph_damage_per_min_mean_Team1,ph_damage_per_min_std_Team0,ph_damage_per_min_std_Team1,ph_time_played_min_Team0,ph_time_played_min_Team1,ph_time_played_max_Team0,ph_time_played_max_Team1,ph_time_played_mean_Team0,ph_time_played_mean_Team1,ph_time_played_std_Team0,ph_time_played_std_Team1,ph_total_kd_min_Team0,ph_total_kd_min_Team1,ph_total_kd_max_Team0,ph_total_kd_max_Team1,ph_total_kd_mean_Team0,ph_total_kd_mean_Team1,ph_total_kd_std_Team0,ph_total_kd_std_Team1,ph_kd_ratio_min_Team0,ph_kd_ratio_min_Team1,ph_kd_ratio_max_Team0,ph_kd_ratio_max_Team1,ph_kd_ratio_mean_Team0,ph_kd_ratio_mean_Team1,ph_kd_ratio_std_Team0,ph_kd_ratio_std_Team1,ph_time_played_ratio_min_Team0,ph_time_played_ratio_min_Team1,ph_time_played_ratio_max_Team0,ph_time_played_ratio_max_Team1,ph_time_played_ratio_mean_Team0,ph_time_played_ratio_mean_Team1,ph_time_played_ratio_std_Team0,ph_time_played_ratio_std_Team1,ph_damage_per_min_ratio_min_Team0,ph_damage_per_min_ratio_min_Team1,ph_damage_per_min_ratio_max_Team0,ph_damage_per_min_ratio_max_Team1,ph_damage_per_min_ratio_mean_Team0,ph_damage_per_min_ratio_mean_Team1,ph_damage_per_min_ratio_std_Team0,ph_damage_per_min_ratio_std_Team1,ph_assists_ratio_min_Team0,ph_assists_ratio_min_Team1,ph_assists_ratio_max_Team0,ph_assists_ratio_max_Team1,ph_assists_ratio_mean_Team0,ph_assists_ratio_mean_Team1,ph_assists_ratio_std_Team0,ph_assists_ratio_std_Team1,ph_win_rate_ratio_min_Team0,ph_win_rate_ratio_min_Team1,ph_win_rate_ratio_max_Team0,ph_win_rate_ratio_max_Team1,ph_win_rate_ratio_mean_Team0,ph_win_rate_ratio_mean_Team1,ph_win_rate_ratio_std_Team0,ph_win_rate_ratio_std_Team1,target
702,38735025,1459695,549362,4582547,3194097,2836486.17,1579239.83,1145565.71,972943.77,143,7,569,280,268.17,107.0,161.25,134.36,1124,75,8351,4886,3846.0,1704.5,2573.83,2085.11,1119,41,6682,2472,3331.33,907.67,2015.68,1083.76,3312,125,11726,4972,5752.5,1591.67,3203.45,2024.16,513.77,871.28,1203.8,1072.43,882.37,951.97,223.07,71.65,476846,19689,1910199,948537,948190.5,349043.0,525554.64,421775.75,0.98,0.78,1.42,2.96,1.13,1.82,0.17,0.75,0.82,0.55,1.41,1.52,1.07,0.84,0.21,0.36,4.92,0.21,15.31,18.65,8.9,5.55,3.92,7.7,0.85,0.93,1.25,1.21,1.06,1.09,0.14,0.11,5.31,0.24,15.91,16.63,8.99,5.07,4.04,7.02,1.03,0.84,1.15,1.18,1.09,1.03,0.05,0.13,N
646,38727846,449138,500143,4384346,4424491,2230366.33,2446151.33,1389105.36,1399519.56,11,14,463,523,126.17,146.83,171.5,191.52,119,217,4475,7612,1412.67,1875.5,1676.68,2876.15,163,117,5456,5141,1589.17,1421.33,2013.7,1892.32,140,324,8317,10429,2508.33,3028.0,3041.7,3822.19,618.06,368.52,840.01,1226.72,754.21,879.52,75.59,289.51,38557,54345,1705320,1826623,482795.17,517582.5,631373.02,668134.37,0.73,0.68,1.18,1.85,0.92,1.25,0.17,0.41,0.95,0.79,1.64,1.61,1.27,1.13,0.3,0.36,0.36,0.67,28.34,19.53,6.54,5.78,10.84,7.12,0.82,0.52,1.03,1.27,0.93,0.95,0.09,0.25,0.27,0.69,26.64,20.67,6.24,6.1,10.17,7.54,0.94,0.87,1.26,1.22,1.03,1.04,0.12,0.13,Y
484,38712380,1810820,1493874,5168059,4870406,3112622.67,3194545.5,1239247.57,1257157.29,16,5,75,519,44.67,160.17,22.5,196.06,164,77,1545,7612,700.33,2169.17,474.77,2784.41,160,42,827,4688,488.0,1370.0,252.72,1738.5,284,92,1553,10230,900.17,3320.83,437.32,4061.92,789.75,745.02,1048.22,1135.27,928.96,884.63,96.28,163.19,41086,16430,270579,1781796,145842.0,536072.33,85665.07,664513.05,1.02,1.08,1.9,2.48,1.38,1.7,0.4,0.46,0.67,0.61,1.32,1.01,1.07,0.76,0.27,0.16,0.67,0.15,2.73,19.05,1.58,6.01,0.73,7.46,1.0,0.91,1.39,1.33,1.11,1.06,0.14,0.15,0.75,0.18,3.32,20.27,1.86,6.63,0.87,8.29,0.94,0.61,1.44,1.23,1.1,1.01,0.2,0.23,Y
691,38732834,489627,189984,6155641,4316436,2869192.5,2155316.67,1940417.32,1613905.61,21,20,664,360,223.67,123.67,254.09,134.47,286,344,9561,5470,3053.0,1696.0,3555.07,2021.68,247,153,7989,2304,2421.67,936.67,3015.68,824.79,478,403,12532,7378,4119.0,2587.33,4759.23,2719.54,777.18,801.09,1234.59,1241.13,979.62,1004.31,157.96,157.71,87547,74291,2319780,1172774,782674.83,379692.33,900311.48,425739.82,0.93,0.62,2.53,2.66,1.51,1.76,0.59,0.73,0.46,0.44,1.32,1.4,0.96,0.81,0.35,0.37,1.05,0.71,25.1,14.44,8.25,4.5,9.64,5.27,0.91,1.08,1.28,1.44,1.07,1.28,0.13,0.13,1.06,0.77,26.73,15.77,8.67,5.01,10.24,5.76,0.82,0.9,1.23,1.36,1.02,1.15,0.14,0.15,Y
504,38714935,378595,1800671,2115868,3416391,1254675.67,2576917.17,694834.35,669632.81,13,11,466,107,163.67,51.5,216.47,33.74,177,172,8076,2510,2600.0,931.5,3532.45,841.57,142,107,5934,1052,1942.83,548.5,2545.3,353.67,275,337,9627,2272,3110.33,1040.5,3987.07,676.49,445.91,664.74,1324.1,1055.67,889.06,840.17,280.17,160.59,51349,51886,1485563,383576,556283.33,186534.33,704805.76,117309.79,0.63,0.91,1.81,3.01,1.34,1.69,0.41,0.77,0.67,0.51,1.38,1.57,0.96,0.93,0.26,0.43,0.5,0.62,15.03,4.72,4.67,2.07,5.93,1.42,0.74,0.88,1.53,1.3,1.08,1.03,0.26,0.17,0.51,0.71,14.04,4.86,4.61,2.15,5.7,1.47,0.84,0.87,1.1,1.08,1.01,1.01,0.1,0.08,N
243,38684838,384233,1393320,3416391,3559223,1795388.0,2446223.17,1274519.04,871846.59,27,10,165,94,62.5,62.67,53.13,34.62,232,126,1898,1365,844.67,983.17,621.14,474.35,297,76,1362,1670,667.67,897.83,439.05,521.01,450,186,3646,1723,1307.67,1188.17,1183.5,624.38,380.0,828.62,966.37,1175.45,811.37,942.79,217.15,138.61,98217,28406,552107,335997,219413.17,218180.17,173652.26,112763.82,0.64,0.82,1.49,1.66,1.23,1.21,0.32,0.28,0.8,0.92,1.71,1.49,1.1,1.13,0.35,0.22,0.99,0.42,5.41,3.11,2.38,1.85,1.64,0.99,0.54,0.98,1.28,1.24,1.01,1.1,0.25,0.11,0.97,0.53,5.58,3.0,2.43,1.92,1.72,0.96,0.91,0.86,1.12,1.52,1.01,1.1,0.09,0.24,N
566,38721061,599108,421978,4803060,4158831,2050683.17,2184938.67,1544792.86,1294381.42,7,9,237,850,104.0,305.0,104.66,310.27,115,151,4290,10156,1522.5,3866.0,1693.35,3547.27,44,58,2000,8643,841.5,3193.5,845.54,3270.61,112,183,5293,11866,2053.0,5069.0,2019.32,4503.9,715.89,744.46,1138.51,1214.51,898.77,889.45,160.04,172.07,19230,31062,793132,2873746,349446.33,1053228.83,353794.16,1055896.15,1.28,0.85,2.61,2.6,1.81,1.56,0.5,0.66,0.55,0.66,0.9,1.18,0.71,0.92,0.14,0.22,0.21,0.46,8.02,27.46,3.85,11.76,3.5,11.98,0.95,0.91,1.19,1.28,1.11,1.04,0.1,0.13,0.24,0.53,8.1,27.65,3.92,11.42,3.51,10.97,1.04,1.03,1.33,1.2,1.14,1.09,0.12,0.06,Y
562,38720582,2166671,220571,4094328,3023215,2866376.0,2038592.67,714951.24,1035570.4,22,5,477,29,119.0,16.67,177.45,8.24,242,67,5527,628,1523.5,279.17,2028.99,200.99,289,41,4268,473,1191.83,220.33,1541.02,149.35,584,68,11101,514,2594.67,317.67,4188.69,151.14,767.88,669.06,1207.1,1156.83,971.23,957.18,158.16,179.63,89041,11627,1583870,113155,389866.83,56444.5,589865.61,32553.73,0.76,0.9,1.83,1.83,1.22,1.32,0.41,0.37,0.79,0.81,1.58,1.42,1.08,1.08,0.29,0.23,0.94,0.09,9.4,1.24,2.99,0.71,3.21,0.42,0.91,0.89,1.29,1.33,1.1,1.12,0.14,0.18,1.15,0.12,10.6,1.73,3.35,0.86,3.63,0.56,0.79,0.85,1.43,1.6,1.07,1.12,0.22,0.27,Y
189,38675595,278706,1443269,6155641,6208873,2768565.83,2899299.0,2121299.16,1854778.86,21,13,1192,687,364.17,230.33,432.65,268.47,221,237,17562,15854,5335.33,4436.67,6679.38,6054.84,217,211,12271,11628,3849.5,3161.5,4403.87,4498.42,534,340,20057,10410,6404.67,4247.83,7117.16,4414.33,666.02,799.62,1021.3,1122.59,885.26,947.82,149.67,110.15,83645,64952,4261514,2421627,1285416.33,841310.5,1543269.2,953055.19,0.76,1.0,1.99,2.11,1.24,1.44,0.43,0.4,0.75,0.53,1.41,1.13,1.06,0.94,0.26,0.21,1.0,0.62,46.11,20.69,13.39,7.73,16.58,8.28,0.93,1.02,1.17,1.34,1.07,1.12,0.08,0.12,0.91,0.66,42.78,21.08,12.73,7.82,15.32,8.43,0.95,0.73,1.11,1.3,1.01,1.0,0.06,0.21,N
475,38711477,140118,426822,2214597,3563846,1127067.17,2137140.67,672337.74,1048806.43,6,7,302,521,109.83,184.5,128.95,225.26,52,76,6218,8856,1827.5,2623.5,2568.94,3524.43,54,121,3085,5688,1176.83,1871.17,1423.31,2418.85,133,247,4588,10927,1920.83,3622.83,2010.61,4249.92,622.24,513.85,1010.22,1315.83,823.28,863.33,189.15,284.25,13821,33079,1038169,1890624,378845.0,648826.33,453700.4,791961.8,0.87,0.63,2.02,2.13,1.26,1.38,0.43,0.66,0.73,0.52,1.3,1.58,0.97,1.01,0.21,0.43,0.11,0.38,8.1,20.66,3.43,7.01,3.79,8.61,0.83,0.77,1.17,1.37,1.03,1.05,0.14,0.23,0.19,0.43,7.93,19.43,3.56,6.6,3.65,7.8,1.08,0.77,1.56,1.29,1.26,1.06,0.2,0.18,N
