account_id,match_id,team,hero_id,kills,deaths,assists,denies,net_worth
1923751020,38607233,Team0,4,9,5,9,3,44877
256512296,38607233,Team1,27,12,8,11,0,47548
859044900,38607233,Team0,2,1,6,13,2,42985
147094581,38607233,Team1,10,2,13,17,1,35858
240974542,38607233,Team1,60,12,3,11,8,52133
31842197,38607233,Team0,31,2,10,14,3,36221
1067915524,38607233,Team1,6,7,5,15,1,41425
90121266,38607233,Team0,13,4,10,14,2,39149
437146090,38607233,Team1,8,7,4,11,7,47248
122479359,38607233,Team1,16,3,5,13,5,39106
142845480,38607233,Team0,14,6,5,13,1,38904
194833486,38607233,Team0,19,16,7,4,3,44450
1080128109,38607391,Team0,27,11,3,9,0,33709
97417380,38607391,Team1,13,1,6,2,2,24431
1144439143,38607391,Team0,14,3,2,14,1,27997
333876341,38607391,Team1,8,2,8,1,3,21990
862793650,38607391,Team1,3,1,2,7,6,25252
1848503388,38607391,Team0,2,5,4,12,5,35089
317116539,38607391,Team0,7,9,5,6,4,28127
1682414798,38607391,Team0,20,3,1,10,5,33114
188270361,38607391,Team1,52,2,5,6,1,23732
1781036776,38607391,Team0,6,2,1,15,1,26568
54456193,38607391,Team1,25,5,9,3,3,23467
122149742,38607391,Team1,31,5,3,4,2,24360
1274954495,38607472,Team1,58,9,8,11,2,28267
200384026,38607472,Team1,15,3,12,11,3,27615
867012467,38607472,Team1,16,13,9,11,0,31959
1316198291,38607472,Team1,50,7,5,6,3,39423
336119227,38607472,Team1,2,5,5,13,7,34748
85898225,38607472,Team0,7,12,5,14,3,49089
216166083,38607472,Team0,18,2,11,18,0,37469
1875602814,38607472,Team1,31,6,6,9,1,26987
323235963,38607472,Team0,13,9,7,9,9,36103
1548410234,38607472,Team0,6,8,5,24,1,35063
211510825,38607472,Team0,10,4,7,18,1,33892
35207177,38607472,Team0,52,10,8,11,1,40896
215382319,38607570,Team1,1,0,7,5,6,34356
1851130619,38607570,Team1,52,3,0,5,2,45881
94897742,38607570,Team0,58,14,3,15,6,47331
969975089,38607570,Team0,10,11,1,19,0,45242
1115903684,38607570,Team1,20,2,6,6,5,34899
1120655375,38607570,Team0,27,3,5,6,1,45612
1419449444,38607570,Team1,6,5,18,2,1,23721
884800301,38607570,Team0,31,3,5,8,1,41446
1849052923,38607570,Team1,8,2,5,4,7,33336
224623791,38607570,Team0,17,9,3,9,7,42908
1273149256,38607570,Team1,13,7,7,5,1,28692
1007596529,38607570,Team0,7,3,2,8,1,45699
915808246,38607736,Team1,50,11,13,12,3,35447
1881259088,38607736,Team1,52,3,7,18,3,32481
1011171725,38607736,Team0,2,6,12,13,3,38743
903280527,38607736,Team1,7,7,6,17,8,37857
259402581,38607736,Team1,19,12,5,18,0,35332
111750713,38607736,Team0,13,9,10,15,5,27712
1144753662,38607736,Team0,58,3,9,7,0,34109
1195885529,38607736,Team0,1,4,5,11,3,37840
1573787623,38607736,Team0,18,8,8,11,0,35106
1423197814,38607736,Team1,27,6,7,23,0,32481
148319868,38607736,Team0,25,11,9,6,3,27157
25017556,38607736,Team1,31,14,5,16,3,33919
449010444,38607833,Team1,14,6,4,10,2,25131
311370748,38607833,Team1,18,3,6,4,3,23280
1196741346,38607833,Team1,12,1,3,8,4,21082
1871622814,38607833,Team1,17,8,2,6,1,25208
207511780,38607833,Team0,13,9,0,5,4,42887
1100407667,38607833,Team0,25,2,6,11,0,27882
105363944,38607833,Team0,7,3,6,7,7,32386
314873097,38607833,Team0,58,4,6,4,3,35415
1733374430,38607833,Team0,19,6,4,8,2,31363
344732515,38607833,Team0,2,0,4,14,0,29331
1098006019,38607833,Team1,1,4,5,4,5,29941
40138605,38607833,Team1,10,4,4,8,6,26403
240942631,38608050,Team0,3,13,4,6,3,38819
165560339,38608050,Team0,8,2,4,15,9,31846
387885975,38608050,Team0,1,10,7,8,1,45345
132988008,38608050,Team1,12,5,8,11,5,33164
85911734,38608050,Team1,7,6,8,5,5,36603
1850135240,38608050,Team1,52,5,2,10,3,35999
846013111,38608050,Team0,2,9,9,15,6,43992
145596499,38608050,Team1,19,11,9,8,2,46596
150805913,38608050,Team1,15,6,6,11,2,36187
363715073,38608050,Team0,31,4,9,11,3,31591
1084544473,38608050,Team1,27,5,5,11,0,33740
240520407,38608050,Team0,35,0,5,10,1,33244
1123730384,38608113,Team0,25,2,3,3,5,27790
39226397,38608113,Team1,1,3,5,2,4,24871
925866735,38608113,Team0,4,8,7,8,0,23077
17403205,38608113,Team0,27,11,1,10,10,35208
6405343,38608113,Team1,31,3,4,3,2,25897
1896170482,38608113,Team1,7,4,4,3,6,26579
193177950,38608113,Team0,60,2,4,7,0,24113
119032604,38608113,Team0,52,4,1,7,4,26700
141222074,38608113,Team1,3,2,3,6,2,26398
889715734,38608113,Team0,10,3,7,9,0,23695
1105473935,38608113,Team1,13,3,8,6,6,24873
1869333160,38608113,Team1,6,7,6,4,3,27255
224976087,38608119,Team0,19,5,8,16,3,33301
110088215,38608119,Team0,1,14,4,13,2,40555
181941794,38608119,Team0,17,15,7,11,2,36468
385202207,38608119,Team1,13,4,10,8,7,30811
317116539,38608119,Team1,7,6,6,4,5,41119
200258805,38608119,Team1,3,4,10,10,5,35559
112337209,38608119,Team0,10,10,6,22,2,36810
284349366,38608119,Team0,31,10,2,28,5,40033
180143398,38608119,Team0,60,6,4,23,1,35497
111256922,38608119,Team1,50,6,11,6,3,29142
217004654,38608119,Team1,25,4,11,8,8,30475
322349735,38608119,Team1,6,7,12,3,0,31904
920952216,38608340,Team0,13,5,7,3,4,26345
