match_id,start_time,game_mode,match_mode,duration_s,winning_team
38603210,2025-08-07 15:50:19,Normal,Unranked,2150,Team1
38603331,2025-08-07 15:55:51,Normal,Unranked,1956,Team0
38603366,2025-08-07 15:57:37,Normal,Unranked,2091,Team1
38603640,2025-08-07 16:09:47,Normal,Unranked,1426,Team1
38603695,2025-08-07 16:12:51,Normal,Unranked,1794,Team1
38603758,2025-08-07 16:15:48,Normal,Unranked,1765,Team0
38603768,2025-08-07 16:16:11,Normal,Unranked,2065,Team0
38603933,2025-08-07 16:23:37,Normal,Unranked,1853,Team0
38604030,2025-08-07 16:28:10,Normal,Unranked,426,Team0
38604210,2025-08-07 16:36:01,Normal,Unranked,864,Team0
38604234,2025-08-07 16:37:03,Normal,Unranked,1646,Team1
38604267,2025-08-07 16:38:40,Normal,Unranked,1894,Team0
38604378,2025-08-07 16:43:14,Normal,Unranked,1497,Team1
38604424,2025-08-07 16:45:31,Normal,Unranked,1426,Team0
38604566,2025-08-07 16:51:40,Normal,Unranked,1744,Team0
38604775,2025-08-07 16:59:50,Normal,Unranked,1645,Team0
38604876,2025-08-07 17:04:34,Normal,Unranked,1672,Team1
38604920,2025-08-07 17:06:40,Normal,Unranked,1866,Team1
38604928,2025-08-07 17:06:55,Normal,Unranked,1766,Team1
38604997,2025-08-07 17:09:54,Normal,Unranked,1670,Team0
38605064,2025-08-07 17:12:59,Normal,Unranked,1705,Team0
38605176,2025-08-07 17:17:42,Normal,Unranked,1795,Team0
38605363,2025-08-07 17:25:04,Normal,Unranked,2092,Team1
38605476,2025-08-07 17:29:12,Normal,Unranked,1561,Team1
38605639,2025-08-07 17:34:53,Normal,Unranked,1770,Team1
38605683,2025-08-07 17:37:02,Normal,Unranked,1659,Team0
38605894,2025-08-07 17:45:31,Normal,Unranked,1757,Team1
38606104,2025-08-07 17:53:47,Normal,Unranked,1954,Team0
38606252,2025-08-07 17:59:29,Normal,Unranked,1771,Team0
38606378,2025-08-07 18:04:37,Normal,Unranked,1456,Team0
38606434,2025-08-07 18:07:16,Normal,Unranked,1574,Team1
38606493,2025-08-07 18:08:54,Normal,Unranked,1606,Team0
38606580,2025-08-07 18:12:08,Normal,Unranked,1951,Team0
38607020,2025-08-07 18:28:38,Normal,Unranked,2131,Team0
38607030,2025-08-07 18:28:59,Normal,Unranked,789,Team0
38607233,2025-08-07 18:36:34,Normal,Unranked,2194,Team1
38607391,2025-08-07 18:41:46,Normal,Unranked,1505,Team0
38607472,2025-08-07 18:44:27,Normal,Unranked,1735,Team0
38607570,2025-08-07 18:48:13,Normal,Unranked,1990,Team0
