,account_id,match_id,team,hero_id,kills,deaths,assists,denies,net_worth,winning_team,win,matches_played,total_kills,total_deaths,total_assists,avg_kd,win_rate,total_time_played,kd,h_kd,kd_ratio
0,1924441699,38707530,Team0,19,9,2,14,1,30541,Team0,Y,34,464,116,342,4.0,0.8235294117647058,57384,4.5,1.529043210106643,2.9430168946541073
1,124024173,38707530,Team0,15,7,6,21,2,28034,Team0,Y,507,4954,3414,5852,1.4510837727006445,0.5601577909270217,935558,1.1666666666666667,1.0117654019724083,1.1530999818656409
2,1048356191,38707530,Team1,2,5,4,5,4,23268,Team0,N,465,4388,2327,4571,1.885689729265148,0.6129032258064516,886003,1.25,0.8668615598493646,1.4419834237628597
3,381952778,38707530,Team1,31,2,9,2,6,20278,Team0,N,1062,8414,5956,9223,1.4126930826057758,0.5338983050847458,2045438,0.2222222222222222,1.462968398463505,0.15189816981392967
4,1395432137,38707530,Team1,27,3,7,3,1,21881,Team0,N,655,4628,3726,7410,1.2420826623725174,0.5557251908396946,1148156,0.42857142857142855,1.4563440829223573,0.29427896442675844
5,1902828658,38707530,Team0,25,10,4,11,3,28896,Team0,Y,574,5325,3445,6726,1.5457184325108853,0.5574912891986062,990423,2.5,1.4910563939156314,1.676663612591341
6,1482595800,38707530,Team1,11,1,10,5,2,20134,Team0,N,533,2573,2705,7048,0.9512014787430684,0.575984990619137,1032145,0.1,1.041076911976912,0.09605438258169507
7,1176357514,38707530,Team0,13,3,5,15,4,28034,Team0,Y,672,5094,5301,6318,0.9609507640067912,0.5505952380952381,1252997,0.6,1.6273114050867548,0.3687063202067418
8,192227354,38707530,Team0,52,10,3,12,4,29669,Team0,Y,473,4184,2476,5513,1.689822294022617,0.5983086680761099,831656,3.3333333333333335,1.9132154324925408,1.74226763840738
9,1730032433,38707530,Team0,14,4,2,13,6,28332,Team0,Y,237,2182,1313,2249,1.6618431073876618,0.6160337552742616,397935,2.0,1.5704479928020074,1.273521956261399
10,1807540716,38707530,Team1,58,5,5,5,0,22170,Team0,N,626,6419,2978,4724,2.155473472128945,0.5718849840255591,1147397,1.0,1.2318064832770717,0.8118158278722656
11,1837991471,38707530,Team1,7,3,8,3,2,22338,Team0,N,1504,14865,8385,16180,1.772808586762075,0.5664893617021277,2779845,0.375,1.6322238477376816,0.22974789917434604
12,173322536,38707625,Team0,31,4,6,10,1,40000,Team1,N,969,6997,6898,9342,1.0143519860829229,0.5263157894736842,1912022,0.6666666666666666,1.462968398463505,0.455694509441789
13,1801488253,38707625,Team0,2,4,8,18,1,30552,Team1,N,105,832,412,1251,2.019417475728156,0.6666666666666666,206286,0.5,0.8668615598493646,0.5767933695051439
14,880879950,38707625,Team1,25,7,4,19,0,39934,Team1,Y,566,4153,2824,6538,1.4706090651558077,0.5477031802120141,1076109,1.75,1.4910563939156314,1.1736645288139387
15,456104736,38707625,Team1,13,7,6,11,0,41354,Team1,Y,520,3623,2702,5436,1.340858623242043,0.5480769230769231,987949,1.1666666666666667,1.6273114050867548,0.7169289559575537
16,25766064,38707625,Team1,20,2,7,14,1,38622,Team1,Y,1173,7738,7364,14168,1.0507876154263986,0.5345268542199488,2333503,0.2857142857142857,1.0013344998977183,0.28533350817680814
17,1118515282,38707625,Team1,7,7,3,18,0,42280,Team1,Y,1604,12218,8745,15991,1.397141223556318,0.5180798004987531,2933712,2.3333333333333335,1.6322238477376816,1.4295424837514865
18,168805287,38707625,Team1,12,3,3,16,5,42987,Team1,Y,2086,10854,13470,25360,0.8057906458797327,0.5278044103547459,3865778,1.0,1.1907850434166223,0.839782129888684
19,1914755214,38707625,Team0,60,6,3,12,1,36615,Team1,N,187,1384,561,2212,2.4670231729055256,0.6256684491978609,333185,2.0,1.3807280986557302,1.4485111166689442
20,145596499,38707625,Team1,19,12,7,9,2,38541,Team1,Y,1547,18462,13940,13003,1.324390243902439,0.5319974143503555,2947704,1.7142857142857142,1.529043210106643,1.1211492932015645
21,1906130552,38707625,Team0,50,5,9,11,0,34496,Team1,N,122,697,610,1535,1.142622950819672,0.6229508196721312,221787,0.5555555555555556,1.6093880160844445,0.34519677666495413
22,1907568183,38707625,Team0,58,4,6,10,1,34862,Team1,N,357,2101,1977,2746,1.0627212948912494,0.484593837535014,682146,0.6666666666666666,1.2318064832770717,0.5412105519148437
23,1067915524,38707625,Team0,6,7,6,7,1,34136,Team1,N,1563,12313,7596,16225,1.620984728804634,0.5406269993602048,3008674,1.1666666666666667,1.2029069441559086,0.9698727506185676
24,1423690634,38707818,Team0,6,4,4,11,0,34228,Team0,Y,1157,7614,6220,11107,1.2241157556270097,0.5462402765773552,2035752,1.0,1.2029069441559086,0.8313195005302008
25,1255354474,38707818,Team1,60,5,6,12,4,36105,Team0,N,1268,12780,6212,11747,2.0573084352865423,0.5757097791798107,2181978,0.8333333333333334,1.3807280986557302,0.6035462986120601
26,1548096050,38707818,Team1,12,13,6,11,0,46647,Team0,N,472,3987,2724,4092,1.4636563876651982,0.5402542372881356,911976,2.1666666666666665,1.1907850434166223,1.8195279480921482
27,202835210,38707818,Team1,25,1,7,10,2,35135,Team0,N,1360,10628,9458,14061,1.123704800169169,0.5477941176470589,2510300,0.14285714285714285,1.4910563939156314,0.09580934929093377
28,1610906733,38707818,Team1,14,10,7,17,0,40520,Team0,N,1718,13267,11079,18580,1.1974907482624786,0.5320139697322468,3036710,1.4285714285714286,1.5704479928020074,0.9096585401867137
29,133417332,38707818,Team0,13,4,8,8,1,29213,Team0,Y,617,3914,4256,7354,0.9196428571428572,0.5526742301458671,1238863,0.5,1.6273114050867548,0.30725526683895155
30,195071239,38707818,Team1,10,8,7,12,3,36273,Team0,N,932,6896,6711,9258,1.0275666815675757,0.5203862660944206,1642774,1.1428571428571428,1.4188236679535984,0.8054962492312463
31,1739228765,38707818,Team0,7,3,7,6,4,30266,Team0,Y,329,2478,1796,3279,1.379732739420935,0.5075987841945289,589579,0.42857142857142855,1.6322238477376816,0.262569027627824
32,298155885,38707818,Team0,52,8,5,13,0,40944,Team0,Y,1310,12287,7801,13726,1.5750544801948467,0.5702290076335877,2214597,1.6,1.9132154324925408,0.8362884664355424
33,130143991,38707818,Team0,31,10,10,6,1,34007,Team0,Y,1490,12071,10005,13756,1.206496751624188,0.5503355704697986,2564707,1.0,1.462968398463505,0.6835417641626836
34,1698289940,38707818,Team1,15,3,4,13,1,34809,Team0,N,139,1372,708,1645,1.9378531073446328,0.6474820143884892,250373,0.75,1.0117654019724083,0.7412785597707691
35,201404511,38707818,Team0,1,8,6,13,2,37560,Team0,Y,384,3644,2461,4211,1.4806989028850062,0.5260416666666666,713914,1.3333333333333333,1.4021852871852871,0.9508966792896781
36,447351206,38707829,Team0,4,4,4,16,1,26671,Team0,Y,714,6055,3879,6998,1.5609693219902037,0.5938375350140056,1415621,1.0,1.0259298275323916,0.9747255349863849
37,896909867,38707829,Team1,12,2,6,4,1,16766,Team0,N,1885,10305,12807,22361,0.8046380885453268,0.5437665782493368,3716501,0.3333333333333333,1.1907850434166223,0.2799273766295613
38,108815945,38707829,Team0,52,8,4,12,1,28025,Team0,Y,737,6379,5046,7177,1.264169639318272,0.5508819538670285,1297127,2.0,1.9132154324925408,1.0453605830444281
39,1926422616,38707829,Team0,6,2,2,20,4,27170,Team0,Y,46,539,138,470,3.9057971014492754,0.8043478260869565,77608,1.0,1.2029069441559086,0.8313195005302008
40,66649287,38707829,Team0,7,14,2,12,8,32749,Team0,Y,935,8015,4621,9108,1.7344730577797014,0.5764705882352941,1686600,7.0,1.6322238477376816,4.2886274512544595
41,302685578,38707829,Team1,3,0,8,6,1,16848,Team0,N,1760,12621,14294,18277,0.8829578844270323,0.5136363636363637,3457128,0.0,1.9475711366595345,0.0
42,475936398,38707829,Team0,2,4,2,13,0,28409,Team0,Y,953,8059,5099,8712,1.5805059815650129,0.5907660020986358,1835080,2.0,0.8668615598493646,2.3071734780205757
43,1273149256,38707829,Team1,13,2,6,3,4,20854,Team0,N,871,6728,5141,9125,1.3086948064578876,0.5166475315729047,1633732,0.3333333333333333,1.6273114050867548,0.204836844559301
44,1807540716,38707829,Team1,58,4,4,1,1,24136,Team0,N,626,6419,2978,4724,2.155473472128945,0.5718849840255591,1147397,1.0,1.2318064832770717,0.8118158278722656
45,1924441699,38707829,Team0,19,9,1,14,3,27235,Team0,Y,34,464,116,342,4.0,0.8235294117647058,57384,9.0,1.529043210106643,5.886033789308215
46,387885975,38707829,Team1,1,2,11,2,0,20067,Team0,N,938,7958,6916,9836,1.1506651243493349,0.5394456289978679,1818664,0.18181818181818182,1.4021852871852871,0.12966772899404702
47,1902828658,38707829,Team1,25,4,6,1,2,22577,Team0,N,574,5325,3445,6726,1.5457184325108853,0.5574912891986062,990423,0.6666666666666666,1.4910563939156314,0.4471102966910242
48,381952778,38707893,Team1,31,4,10,12,0,42687,Team1,Y,1062,8414,5956,9223,1.4126930826057758,0.5338983050847458,2045438,0.4,1.462968398463505,0.2734167056650735
49,1482595800,38707893,Team1,11,3,4,19,8,40731,Team1,Y,533,2573,2705,7048,0.9512014787430684,0.575984990619137,1032145,0.75,1.041076911976912,0.7204078693627131
50,393467885,38707893,Team0,12,4,6,17,1,29882,Team1,N,1125,7488,9090,13903,0.8237623762376237,0.528,2173138,0.6666666666666666,1.1907850434166223,0.5598547532591226
51,1730032433,38707893,Team0,14,6,0,9,1,42786,Team1,N,237,2182,1313,2249,1.6618431073876618,0.6160337552742616,397935,0.0,1.5704479928020074,0.0
52,395566021,38707893,Team0,52,13,7,8,5,44607,Team1,N,1190,13821,7998,11602,1.7280570142535634,0.5411764705882353,2242203,1.8571428571428572,1.9132154324925408,0.9706919699698261
53,1773696253,38707893,Team0,13,4,8,11,3,41195,Team1,N,232,2295,994,2551,2.308853118712274,0.6853448275862069,414940,0.5,1.6273114050867548,0.30725526683895155
54,1395432137,38707893,Team1,27,3,5,12,3,36303,Team1,Y,655,4628,3726,7410,1.2420826623725174,0.5557251908396946,1148156,0.6,1.4563440829223573,0.41199055019746184
55,861470542,38707893,Team0,19,4,5,7,0,31190,Team1,N,1602,14147,8662,15484,1.633225583006234,0.5699126092384519,3121374,0.8,1.529043210106643,0.5232030034940636
56,1048356191,38707893,Team1,2,6,3,12,3,44959,Team1,Y,465,4388,2327,4571,1.885689729265148,0.6129032258064516,886003,2.0,0.8668615598493646,2.3071734780205757
57,124024173,38707893,Team1,15,11,9,11,1,37555,Team1,Y,507,4954,3414,5852,1.4510837727006445,0.5601577909270217,935558,1.2222222222222223,1.0117654019724083,1.2080095048116237
58,192227354,38707893,Team0,17,3,6,8,4,31190,Team1,N,473,4184,2476,5513,1.689822294022617,0.5983086680761099,831656,0.5,1.7316629229823675,0.2887397965066272
59,1837991471,38707893,Team1,1,5,3,14,2,47515,Team1,Y,1504,14865,8385,16180,1.772808586762075,0.5664893617021277,2779845,1.6666666666666667,1.4021852871852871,1.1886208491120978
60,1895769361,38708129,Team0,7,2,3,8,1,29738,Team0,Y,416,2708,2685,4574,1.0085661080074488,0.5456730769230769,812139,0.6666666666666666,1.6322238477376816,0.40844070964328183
61,1118515282,38708129,Team1,31,3,6,8,1,23272,Team0,N,1604,12218,8745,15991,1.397141223556318,0.5180798004987531,2933712,0.5,1.462968398463505,0.3417708820813418
62,1857189550,38708129,Team0,15,1,8,8,3,25535,Team0,Y,574,4245,2629,7059,1.6146823887409665,0.524390243902439,1207998,0.125,1.0117654019724083,0.1235464266284615
63,9398369,38708129,Team1,14,8,5,6,3,28651,Team0,N,1066,8776,5560,11507,1.5784172661870504,0.5065666041275797,2227294,1.6,1.5704479928020074,1.0188175650091194
64,1857173892,38708129,Team1,12,4,5,9,0,24323,Team0,N,816,5586,4545,8869,1.229042904290429,0.5857843137254902,1553101,0.8,1.1907850434166223,0.6718257039109472
65,1150269374,38708129,Team0,3,7,1,17,3,32505,Team0,Y,1261,9954,6320,13248,1.575,0.5083267248215702,2648064,7.0,1.9475711366595345,3.5942204462972116
66,1115796992,38708129,Team0,18,4,6,6,3,30692,Team0,Y,909,5561,5406,10932,1.0286718460969293,0.5082508250825083,1874707,0.6666666666666666,0.9323370769538653,0.7150489701051064
67,924969004,38708129,Team1,10,3,1,9,1,32088,Team0,N,882,7691,3856,7451,1.9945539419087133,0.5385487528344671,1615208,3.0,1.4188236679535984,2.114427654232022
68,1855172408,38708129,Team0,27,8,4,16,3,35178,Team0,Y,517,5825,2398,5573,2.4291075896580483,0.6711798839458414,928449,2.0,1.4563440829223573,1.3733018339915395
69,168805287,38708129,Team1,8,2,10,7,4,23172,Team0,N,2086,10854,13470,25360,0.8057906458797327,0.5278044103547459,3865778,0.2,0.8031221510729708,0.2490281207320706
70,241312861,38708129,Team0,19,14,3,6,2,37127,Team0,Y,1371,11656,6775,15702,1.7204428044280442,0.5601750547045952,2454099,4.666666666666667,1.529043210106643,3.0520175203820377
71,1902828658,38708129,Team1,25,5,9,5,2,25442,Team0,N,574,5325,3445,6726,1.5457184325108853,0.5574912891986062,990423,0.5555555555555556,1.4910563939156314,0.3725919139091869
72,1698289940,38708291,Team1,11,3,4,19,2,28341,Team1,Y,139,1372,708,1645,1.9378531073446328,0.6474820143884892,250373,0.75,1.041076911976912,0.7204078693627131
73,1485644952,38708291,Team1,52,18,2,10,8,37646,Team1,Y,1169,11418,5057,10731,2.257860391536484,0.5149700598802395,2177156,9.0,1.9132154324925408,4.704122623699926
74,1728988360,38708291,Team0,19,6,14,8,0,24557,Team1,N,403,3351,2537,4177,1.3208513992905009,0.5607940446650124,750716,0.42857142857142855,1.529043210106643,0.28028732330039113
75,1865512696,38708291,Team1,6,13,8,16,0,28966,Team1,Y,2188,17791,16620,24047,1.0704572803850785,0.5223948811700183,4409597,1.625,1.2029069441559086,1.3508941883615762
76,298155885,38708291,Team1,18,8,3,24,0,31160,Team1,Y,1310,12287,7801,13726,1.5750544801948467,0.5702290076335877,2214597,2.6666666666666665,0.9323370769538653,2.8601958804204255
77,911965111,38708291,Team0,1,1,15,7,1,21911,Team1,N,768,3957,5914,8904,0.669090294217112,0.5364583333333334,1492609,0.06666666666666667,1.4021852871852871,0.04754483396448391
78,130143991,38708291,Team0,20,5,6,1,2,23833,Team1,N,1490,12071,10005,13756,1.206496751624188,0.5503355704697986,2564707,0.8333333333333334,1.0013344998977183,0.8322227321823572
79,121072866,38708291,Team0,10,2,8,7,4,23020,Team1,N,1929,8928,13858,23991,0.6442488093519988,0.5256609642301711,3644517,0.25,1.4188236679535984,0.17620230451933516
80,1255354474,38708291,Team0,60,3,7,6,9,25294,Team1,N,1268,12780,6212,11747,2.0573084352865423,0.5757097791798107,2181978,0.42857142857142855,1.3807280986557302,0.31039523928620233
81,1610906733,38708291,Team0,12,7,9,4,0,24911,Team1,N,1718,13267,11079,18580,1.1974907482624786,0.5320139697322468,3036710,0.7777777777777778,1.1907850434166223,0.6531638788023097
82,970606258,38708291,Team1,15,4,6,22,0,26991,Team1,Y,1125,6651,7505,12146,0.8862091938707528,0.5333333333333333,2078178,0.6666666666666666,1.0117654019724083,0.6589142753517947
83,202835210,38708291,Team1,13,13,2,14,3,38028,Team1,Y,1360,10628,9458,14061,1.123704800169169,0.5477941176470589,2510300,6.5,1.6273114050867548,3.99431846890637
84,195257679,38708485,Team0,58,1,10,0,1,21789,Team1,N,1887,12280,12680,21319,0.9684542586750788,0.534181240063593,3598771,0.1,1.2318064832770717,0.08118158278722656
85,1822530191,38708485,Team0,7,7,7,3,1,23634,Team1,N,315,3284,1974,3169,1.663627152988855,0.6253968253968254,535434,1.0,1.6322238477376816,0.6126610644649227
86,204891631,38708485,Team1,13,6,6,16,5,24065,Team1,Y,1426,10781,9025,14533,1.1945706371191136,0.5252454417952315,2802209,1.0,1.6273114050867548,0.6145105336779031
87,462903757,38708485,Team0,1,4,13,6,1,20443,Team1,N,1537,8477,9015,14214,0.9403216860787575,0.5087833441769681,2928142,0.3076923076923077,1.4021852871852871,0.21943769522069498
88,1238974498,38708485,Team1,18,4,8,16,0,23561,Team1,Y,1165,7873,6625,11640,1.188377358490566,0.5107296137339056,2403356,0.5,0.9323370769538653,0.5362867275788298
89,1118515282,38708485,Team0,31,3,3,8,0,21514,Team1,N,1604,12218,8745,15991,1.397141223556318,0.5180798004987531,2933712,1.0,1.462968398463505,0.6835417641626836
90,1730032433,38708485,Team0,14,5,5,8,2,24949,Team1,N,237,2182,1313,2249,1.6618431073876618,0.6160337552742616,397935,1.0,1.5704479928020074,0.6367609781306995
91,176020422,38708485,Team1,10,3,5,13,2,22876,Team1,Y,1492,10192,10219,14043,0.9973578628045796,0.5134048257372654,2869197,0.6,1.4188236679535984,0.42288553084640434
92,241312861,38708485,Team1,15,8,1,18,2,30372,Team1,Y,1371,11656,6775,15702,1.7204428044280442,0.5601750547045952,2454099,8.0,1.0117654019724083,7.906971304221536
93,1855172408,38708485,Team1,27,13,0,7,2,36987,Team1,Y,517,5825,2398,5573,2.4291075896580483,0.6711798839458414,928449,0.0,1.4563440829223573,0.0
94,108809009,38708485,Team1,6,11,4,14,0,27275,Team1,Y,537,3700,2921,6566,1.2666894899007188,0.5325884543761639,1046822,2.75,1.2029069441559086,2.286128626458052
95,168805287,38708485,Team0,12,3,7,13,2,22499,Team1,N,2086,10854,13470,25360,0.8057906458797327,0.5278044103547459,3865778,0.42857142857142855,1.1907850434166223,0.3599066270951502
96,1081131742,38708675,Team0,17,4,3,6,3,33198,Team1,N,521,4837,3376,4996,1.432760663507109,0.6180422264875239,870986,1.3333333333333333,1.7316629229823675,0.7699727906843391
97,970606258,38708675,Team1,15,0,7,9,1,30156,Team1,Y,1125,6651,7505,12146,0.8862091938707528,0.5333333333333333,2078178,0.0,1.0117654019724083,0.0
98,1423690634,38708675,Team0,6,4,6,6,2,29797,Team1,N,1157,7614,6220,11107,1.2241157556270097,0.5462402765773552,2035752,0.6666666666666666,1.2029069441559086,0.5542130003534671
99,1485644952,38708675,Team1,52,3,3,7,3,40438,Team1,Y,1169,11418,5057,10731,2.257860391536484,0.5149700598802395,2177156,1.0,1.9132154324925408,0.5226802915222141
100,298155885,38708675,Team1,50,4,7,6,1,36744,Team1,Y,1310,12287,7801,13726,1.5750544801948467,0.5702290076335877,2214597,0.5714285714285714,1.6093880160844445,0.3550595417125242
101,1507552094,38708675,Team0,10,7,4,7,1,30740,Team1,N,123,1540,539,1205,2.857142857142857,0.6422764227642277,210618,1.75,1.4188236679535984,1.233416131635346
