account_id,match_id,team,hero_id,kills,deaths,assists,denies,net_worth,winning_team,win
94368123,38774227,Team1,14,9,5,16,3,27707,Team1,Y
396211424,38774227,Team1,6,5,3,13,1,25589,Team1,Y
106448300,38774227,Team0,7,5,8,4,2,25426,Team1,N
308802177,38774227,Team1,10,4,4,13,1,26755,Team1,Y
1826179440,38774227,Team0,50,2,12,4,0,25628,Team1,N
231766654,38774227,Team0,12,3,10,3,3,20489,Team1,N
1899347798,38774227,Team0,4,3,12,6,0,21465,Team1,N
970142860,38774227,Team1,13,6,6,15,1,26271,Team1,Y
385202207,38774227,Team0,31,6,5,5,4,25708,Team1,N
1917672404,38774227,Team1,2,13,4,11,2,39534,Team1,Y
324467536,38774227,Team1,27,16,2,10,3,30104,Team1,Y
1752792693,38774227,Team0,3,4,6,5,3,20287,Team1,N
984254212,38774281,Team1,14,13,6,15,1,38597,Team1,Y
35187362,38774281,Team1,4,4,6,14,3,40330,Team1,Y
95947783,38774281,Team1,6,4,13,22,1,33579,Team1,Y
298305257,38774281,Team0,17,14,4,13,3,36528,Team1,N
1482863137,38774281,Team0,13,9,4,12,1,33955,Team1,N
130174860,38774281,Team1,7,6,5,15,4,43859,Team1,Y
1423690634,38774281,Team0,31,3,9,17,2,26813,Team1,N
888853854,38774281,Team0,27,8,11,10,3,30377,Team1,N
1080128109,38774281,Team1,10,4,5,19,4,33661,Team1,Y
145961401,38774281,Team0,1,2,10,10,2,28233,Team1,N
352564398,38774281,Team1,25,13,7,12,2,43860,Team1,Y
1072901222,38774281,Team0,52,6,8,14,3,32854,Team1,N
325425411,38774532,Team0,16,10,6,17,3,30352,Team0,Y
97592257,38774532,Team1,6,7,8,12,1,20482,Team0,N
113552260,38774532,Team0,11,1,9,25,1,30086,Team0,Y
217787394,38774532,Team0,20,4,5,15,3,30822,Team0,Y
1229018896,38774532,Team1,50,5,9,12,4,26439,Team0,N
1118069185,38774532,Team1,1,3,7,2,0,27393,Team0,N
112724001,38774532,Team0,10,11,6,20,2,29902,Team0,Y
