account_id,matches_played,total_kills,total_deaths,total_assists,avg_kd,win_rate,total_time_played
1055031308,480,4085,2494,4983,1.6379310344827587,0.5291666666666667,920060
27992086,339,1653,1316,4652,1.256079027355623,0.551622418879056,645556
173907991,874,6913,5012,8434,1.3792897047086992,0.5446224256292906,1597931
31555634,364,2856,3032,4093,0.941952506596306,0.5467032967032966,688061
85475388,562,3630,3342,7945,1.0861759425493716,0.5355871886120996,1134066
366829568,826,7465,5378,8460,1.3880624767571588,0.5460048426150121,1544272
1132011566,782,8510,5220,8370,1.6302681992337165,0.5588235294117647,1553670
1743454214,32,401,111,341,3.6126126126126126,0.8125,57763
1837383713,232,2397,1010,2205,2.373267326732673,0.6767241379310345,425321
123502615,670,4179,3398,8301,1.2298410829899942,0.5059701492537313,1455126
1844731916,481,4596,2199,6468,2.0900409276944067,0.7255717255717256,858206
445177910,1041,7938,5634,11288,1.4089456869009584,0.5369836695485111,1945041
37036096,639,4633,3907,6675,1.1858203224980803,0.5305164319248826,1304533
280649808,697,4939,4298,6489,1.1491391344811541,0.5164992826398852,1359830
1747017815,166,1520,698,1090,2.177650429799427,0.5542168674698795,339345
404054090,1018,8782,7557,9621,1.1621013629747254,0.56286836935167,1950522
1776173125,71,645,496,677,1.3004032258064515,0.6056338028169014,131242
1926422616,46,539,138,470,3.9057971014492754,0.8043478260869565,77608
1900535887,190,1112,694,2123,1.6023054755043227,0.5947368421052631,371577
1877508105,217,2321,1920,2485,1.2088541666666666,0.6589861751152074,396410
388251702,691,5253,4330,7345,1.213163972286374,0.5209840810419681,1308407
1028137021,742,6474,4411,7321,1.4676944003627295,0.5646900269541779,1454406
143073372,573,5639,3246,6732,1.737215033887862,0.5532286212914486,1079786
1164034146,274,2708,1618,2756,1.6736711990111248,0.6131386861313869,483777
1875697758,517,4580,3284,4084,1.3946406820950061,0.5435203094777563,1092764
111820919,946,6991,5277,9113,1.3248057608489672,0.53276955602537,1768441
64618621,650,3565,4339,7217,0.8216178843051394,0.5092307692307693,1423485
1911644178,29,253,115,193,2.2,0.5862068965517241,49840
1159381125,470,3261,2360,4955,1.381779661016949,0.5957446808510638,828878
318619753,342,3278,2120,3058,1.5462264150943397,0.5730994152046783,670725
405946428,899,6785,5945,9610,1.1412952060555088,0.5094549499443827,1767195
884850823,520,5169,3223,5807,1.6037852932050884,0.5846153846153846,940228
58826881,534,3764,2654,6275,1.4182366239638282,0.5037453183520599,1086180
167698564,475,3309,2649,5971,1.2491506228765572,0.5684210526315789,917956
386039958,1213,11603,7761,10893,1.4950392990593995,0.5630667765869745,2197416
1834778761,918,8140,4656,10054,1.7482817869415808,0.5686274509803921,1640732
1700511880,125,999,586,1352,1.704778156996587,0.608,224754
1905229981,131,986,637,1647,1.5478806907378335,0.5419847328244275,236793
1906942092,38,425,240,421,1.7708333333333333,0.7631578947368421,70024
153706657,1121,10092,6800,10587,1.4841176470588235,0.552185548617306,2236320
1210056867,899,6955,4505,11519,1.5438401775804662,0.5561735261401557,1777104
195215525,715,7548,4222,6442,1.7877783041212696,0.544055944055944,1374503
1599733928,359,3085,2273,3667,1.3572371315442147,0.5821727019498607,673280
355049645,691,5061,4523,7584,1.1189476011496795,0.49782923299565845,1313908
1150943406,587,4476,3738,7410,1.1974317817014446,0.5809199318568995,1041275
65552385,1475,10037,6763,16529,1.4841046872689634,0.5294915254237288,2789908
105553938,951,7366,6192,10324,1.1895994832041343,0.5026288117770767,1839119
343515318,215,2490,1324,1819,1.8806646525679758,0.5813953488372093,452384
240926906,475,2885,4603,5568,0.6267651531609819,0.5410526315789473,908766
1883365566,162,1285,873,1778,1.4719358533791524,0.5493827160493827,305286
172638273,769,5445,3304,8924,1.648002421307506,0.505851755526658,1499339
1185906890,776,5694,3613,9143,1.5759756435095489,0.5824742268041238,1390452
1631346892,825,8911,2814,9127,3.1666666666666665,0.6787878787878788,1456466
1238974498,1165,7873,6625,11640,1.1883773584905661,0.5107296137339056,2403356
127942689,860,7175,5252,8117,1.3661462300076161,0.5872093023255814,1604757
327114883,639,4697,4460,4456,1.0531390134529148,0.5289514866979655,1180448
65650814,935,9083,4341,10056,2.0923750287952085,0.6106951871657754,1784787
169631959,437,3867,3606,3506,1.0723793677204658,0.6178489702517163,774876
1711030490,125,1054,907,1540,1.1620727673649394,0.624,215610
1196875996,113,554,635,1300,0.8724409448818897,0.5221238938053098,220916
1090412566,1066,7366,4687,11801,1.5715809686366546,0.525328330206379,2121980
981508327,598,5740,3078,5147,1.8648473034437947,0.580267558528428,1091242
1694531820,370,3936,2162,4108,1.820536540240518,0.6459459459459459,682674
327532620,778,6324,3271,8557,1.9333537144604096,0.538560411311054,1477038
1186193649,316,2056,1669,3790,1.231875374475734,0.5727848101265823,635335
892272759,1110,8439,7594,12205,1.111272056887016,0.5216216216216216,2070900
299229435,882,6899,5572,9291,1.2381550610193826,0.5498866213151927,1735884
1122975997,220,1322,1020,2661,1.296078431372549,0.5363636363636364,411590
431104049,1270,10164,11513,13016,0.8828281073569009,0.511023622047244,2448909
1709752581,65,923,422,634,2.1872037914691944,0.676923076923077,114753
91373654,2413,15517,17556,20606,0.883857370699476,0.5055946953999171,4813221
153149464,2261,17825,19473,23890,0.9153699994864685,0.5033171163202123,4524706
1906843912,62,619,213,540,2.9061032863849765,0.6451612903225806,103539
164339977,425,3608,3376,3823,1.0687203791469195,0.5223529411764706,821938
300523689,922,10200,5206,10849,1.9592777564348829,0.5629067245119306,1819828
339976259,1114,8632,5929,10563,1.4558947545960532,0.5143626570915619,2144125
