match_id,start_time,winning_team,t0_avg_kd,t0_max_kd,t0_min_kd,t1_avg_kd,t1_max_kd,t1_min_kd,kd_diff,team0_won
34979840,2025-04-18 21:09:22,Team0,1.4192820886770885,1.875,0.5714286,0.8199841876824697,1.625,0.3,0.5992979009946188,1
34104925,2025-03-20 18:23:44,Team0,1.2863248040278752,3.1666667,0.46153846,0.8797979801893234,1.4,0.33333334,0.40652682383855177,1
35523989,2025-05-08 17:30:06,Team0,1.8333333358168602,6.5,0.2,0.967857152223587,1.5,0.5,0.8654761835932732,1
34487194,2025-04-01 15:53:35,Team0,4.541666666666667,17.0,0.25,0.6055555666486422,1.3333334,0.0,3.936111100018025,1
34279211,2025-03-25 22:29:13,Team1,0.4437627245982488,0.71428573,0.15384616,4.249074066678683,12.0,0.44444445,-3.8053113420804343,0
34359900,2025-03-28 17:01:14,Team1,0.7711038999259472,3.5,0.071428575,3.466666658719381,6.5,1.0,-2.6955627587934337,0
34489247,2025-04-01 17:14:50,Team1,0.26798942933479947,0.6,0.0,4.0,7.5,1.5,-3.7320105706652007,0
33921455,2025-03-15 01:33:36,Team0,2.3364898761113486,7.6666665,0.125,0.8159932692845663,2.0,0.18181819,1.5204966068267822,1
35131581,2025-04-24 09:27:12,Team1,0.4075396905342738,1.0,0.14285715,2.033333341280619,4.0,1.25,-1.6257936507463453,0
34990074,2025-04-19 05:11:20,Team1,1.028869057695071,1.7,0.1875,1.4203805414338906,3.5,0.083333336,-0.3915114837388196,0
34328507,2025-03-27 15:59:16,Team1,1.333333360652129,4.3333335,0.16666667,1.2809523890415828,3.6666667,0.2857143,0.05238097161054611,0
34962219,2025-04-18 08:02:22,Team0,2.5453703502813974,5.6666665,0.5555556,0.6011363714933395,1.25,0.18181819,1.9442339787880578,1
35040946,2025-04-20 21:29:32,Team0,1.1158730238676071,3.0,0.0,1.5827381014823914,4.5,0.5714286,-0.46686507761478424,1
34455340,2025-03-31 13:50:42,Team1,0.8800685356060663,1.625,0.2857143,1.3914141356945038,2.5,0.18181819,-0.5113456000884374,0
34161095,2025-03-22 12:19:16,Team0,0.9194444517294565,1.1,0.75,1.1467652668555577,2.875,0.09090909,-0.22732081512610114,1
34146675,2025-03-22 00:15:55,Team1,0.5381868233283361,1.0,0.30769232,2.25,3.75,1.0,-1.7118131766716638,0
34104876,2025-03-20 18:21:47,Team1,0.5824074049790701,1.7777778,0.0,1.5277777860562007,3.1666667,0.4,-0.9453703810771307,0
35038872,2025-04-20 20:15:49,Team1,0.7575396945079168,1.6,0.25,1.9083333512147267,5.0,0.8,-1.15079365670681,0
35133333,2025-04-24 11:53:09,Team0,1.3201058208942413,1.8333334,0.7777778,1.3705808371305466,5.3333335,0.0,-0.05047501623630524,1
34995779,2025-04-19 11:24:59,Team1,0.7335317482550939,1.8,0.125,1.9379629691441853,4.0,0.6,-1.2044312208890915,0
35167704,2025-04-25 18:41:46,Team1,0.5734543229142824,1.2857143,0.09090909,2.4055555860201516,5.0,1.2,-1.8321012631058693,0
35239266,2025-04-28 02:19:23,Team1,0.6227513402700424,1.2,0.2857143,2.07619047164917,4.0,0.8,-1.4534391313791275,0
34136699,2025-03-21 18:47:28,Team1,0.824640636642774,2.75,0.0,2.1957010527451835,5.6,0.5714286,-1.3710604161024094,0
34082420,2025-03-19 22:39:56,Team1,1.0236111084620159,2.3333333,0.3,1.1037698487440746,1.7142857,0.375,-0.08015874028205872,0
35159246,2025-04-25 12:11:47,Team0,1.7722222208976746,3.5,0.6666667,1.0231060708562534,3.0,0.2,0.7491161500414212,1
35466333,2025-05-06 12:06:03,Team1,0.8714285790920258,2.75,0.25,1.7388888758917649,2.8,0.1,-0.8674602967997391,0
35281368,2025-04-29 18:58:56,Team0,1.1461399843295415,2.4285715,0.42857143,0.983134925365448,1.375,0.5833333,0.16300505896409345,1
35123988,2025-04-24 00:28:56,Team0,2.367063502470652,5.3333335,1.125,0.6293981621662775,1.3333334,0.1875,1.7376653403043747,1
35230497,2025-04-27 19:48:53,Team0,1.5013889173666637,4.3333335,0.5,1.1529914538065593,3.5,0.33333334,0.34839746356010437,1
34830416,2025-04-13 12:55:43,Team1,1.6666666666666667,3.0,1.0,0.6666666666666666,2.0,0.0,1.0,0
34104715,2025-03-20 18:16:55,Team1,0.46095478783051175,0.85714287,0.22222222,2.537500003973643,5.5,1.25,-2.0765452161431313,0
34295128,2025-03-26 13:29:08,Team0,2.922619044780731,7.0,0.71428573,0.4814814900358518,0.8888889,0.22222222,2.4411375547448793,1
35596680,2025-05-09 23:19:50,Team1,1.7761312623818715,4.6666665,0.18181819,1.1101852059364319,1.75,0.5555556,0.6659460564454396,0
34969706,2025-04-18 15:13:33,Team1,1.0930555413166683,2.6,0.33333334,1.1587962955236435,1.7777778,0.4,-0.06574075420697523,0
