account_id,p_total_matches_played,p_total_kills,p_total_deaths,p_total_wins,p_total_assists,p_total_time_played,p_avg_kills,p_win_rate
26958572,466,1841,1428,251,5817,838445,3.9506437768240343,0.5386266094420601
26986076,854,7278,5700,436,9999,1744500,8.52224824355972,0.5105386416861827
26986234,636,4957,4119,331,6280,1201526,7.794025157232705,0.5204402515723271
27079613,426,4045,1889,240,4784,801041,9.495305164319248,0.5633802816901409
27339210,81,645,539,38,735,145632,7.962962962962963,0.4691358024691358
27406990,574,4617,3096,307,6241,1209360,8.043554006968641,0.5348432055749129
27457447,356,2262,2067,200,3684,657679,6.353932584269663,0.5617977528089888
27670844,1327,8960,8203,709,12907,2545941,6.752072343632253,0.5342878673700076
27784471,366,2454,2223,209,3559,668372,6.704918032786885,0.5710382513661202
27992086,135,650,542,78,1913,256105,4.814814814814815,0.5777777777777777
28068751,306,1762,1670,165,3821,600812,5.758169934640523,0.5392156862745098
28155404,290,2087,1874,152,3418,557429,7.196551724137931,0.5241379310344828
28347995,815,5550,3959,413,9188,1603254,6.809815950920245,0.5067484662576687
28368157,851,5198,4273,418,9884,1814644,6.108108108108108,0.491186839012926
28560725,429,2507,2610,244,4393,832031,5.843822843822844,0.5687645687645687
28863330,147,1244,1122,77,636,292397,8.462585034013605,0.5238095238095238
28865719,742,3628,3261,374,7902,1416296,4.889487870619946,0.5040431266846361
28932397,949,3224,4070,474,12571,1905163,3.3972602739726026,0.4994731296101159
29097462,596,4734,3986,289,6867,1196958,7.942953020134228,0.4848993288590604
29236014,262,2124,1819,162,2592,478078,8.106870229007633,0.6183206106870229
29250252,576,5257,3492,305,5515,1092546,9.12673611111111,0.5295138888888888
29459921,1499,7929,7765,783,12057,3007943,5.2895263509006005,0.5223482321547699
29520893,383,1752,2632,214,4808,748929,4.5744125326370755,0.5587467362924282
29544285,368,2778,2679,184,3926,749473,7.548913043478261,0.5
29797573,222,1322,2000,123,2528,435925,5.954954954954955,0.5540540540540541
29874993,874,5091,7106,453,9710,1797935,5.824942791762013,0.5183066361556065
29932599,901,4908,4215,433,9024,1771538,5.4472807991120975,0.48057713651498335
29956380,815,5739,5672,411,9624,1646045,7.041717791411043,0.5042944785276073
30199848,715,5852,5263,356,7009,1408631,8.184615384615384,0.4979020979020979
30606880,274,2556,1937,143,3011,563252,9.328467153284672,0.5218978102189781
30917829,843,5153,3978,417,10420,1696030,6.112692763938315,0.49466192170818507
30991952,1230,10215,8097,650,12194,2488764,8.304878048780488,0.5284552845528455
31307897,350,2942,2101,176,3632,699231,8.405714285714286,0.5028571428571429
31312856,233,1702,998,135,2456,409942,7.304721030042918,0.5793991416309013
31316049,809,6653,6046,390,7153,1586920,8.223733003708281,0.4820766378244747
31357831,1102,8829,7150,569,12899,2151814,8.011796733212341,0.5163339382940109
31434895,1720,11445,7700,858,17655,3530049,6.65406976744186,0.49883720930232556
31491785,660,7356,4405,331,6719,1394072,11.145454545454545,0.5015151515151515
31573479,1142,11033,6862,613,11064,1996425,9.661120840630472,0.5367775831873906
31583029,1644,8587,8278,879,17586,3292315,5.22323600973236,0.5346715328467153
31628531,1205,6993,8677,624,11449,2537659,5.803319502074689,0.5178423236514523
31684840,182,939,759,94,1661,315853,5.15934065934066,0.5164835164835165
31728519,872,4274,7219,487,9299,1696043,4.901376146788991,0.5584862385321101
31842197,579,3954,3654,310,6777,1216622,6.829015544041451,0.5354058721934369
31846801,931,9089,4715,533,9943,1890452,9.762620837808807,0.5725026852846402
31848977,1315,11319,11561,684,13951,2627557,8.607604562737643,0.5201520912547528
31886427,577,4618,4217,292,5909,1150534,8.003466204506067,0.5060658578856152
31972655,1820,10455,9018,899,20923,3660239,5.7445054945054945,0.493956043956044
32135834,630,2750,3274,341,7654,1274601,4.365079365079365,0.5412698412698412
32225612,437,2826,3172,246,4616,888268,6.466819221967963,0.562929061784897
32260905,96,832,549,56,1251,183796,8.666666666666666,0.5833333333333334
32303130,572,4162,3049,311,6985,1112401,7.276223776223776,0.5437062937062938
32358073,303,1346,2188,161,3183,581704,4.442244224422442,0.5313531353135313
32547650,743,4420,4615,391,6954,1494892,5.94885598923284,0.5262449528936743
32621669,1460,13789,6467,719,16866,3020038,9.444520547945206,0.49246575342465754
32639412,870,3325,4811,479,11271,1558623,3.82183908045977,0.5505747126436782
32792165,303,2403,1559,155,3389,583821,7.930693069306931,0.5115511551155115
33028740,130,968,801,78,1280,252092,7.446153846153846,0.6
33133802,351,2498,2046,191,4499,771354,7.116809116809117,0.5441595441595442
33327211,1349,11455,8073,693,14327,2496756,8.491475166790215,0.513713862120089
33427754,1241,7527,6696,580,13714,2491645,6.065269943593876,0.467365028203062
33499383,982,8392,7411,514,10204,1970693,8.54582484725051,0.5234215885947047
33517723,853,5119,3617,432,8177,1656548,6.001172332942556,0.5064478311840562
33521524,422,3088,2092,210,3518,856678,7.317535545023697,0.4976303317535545
33869066,430,3291,3016,219,4338,845889,7.653488372093023,0.5093023255813953
34110629,734,4364,4269,378,7811,1486126,5.94550408719346,0.5149863760217984
34218621,994,8372,7056,499,8873,1975932,8.422535211267606,0.5020120724346077
34226426,359,2561,2231,181,4635,704704,7.133704735376044,0.5041782729805014
34245873,153,986,794,89,1559,299080,6.444444444444445,0.5816993464052288
34262576,1707,10227,8845,905,17748,3163856,5.991212653778559,0.5301698886936145
34294529,1401,9482,8504,726,13914,2694622,6.76802284082798,0.5182012847965739
34337274,420,3490,2188,218,4663,890314,8.30952380952381,0.5190476190476191
34566154,1092,7940,9297,573,13876,2113476,7.271062271062271,0.5247252747252747
34634349,711,6200,4608,405,6435,1211943,8.720112517580873,0.569620253164557
34664631,979,6698,3550,502,9063,1777775,6.841675178753831,0.5127681307456589
34705714,353,3924,2210,213,4203,645159,11.11614730878187,0.603399433427762
34868127,711,4897,3837,419,7914,1395305,6.887482419127989,0.5893108298171589
34893825,335,3572,2018,208,3010,586440,10.66268656716418,0.6208955223880597
34919615,504,3007,2920,253,5552,990265,5.966269841269841,0.501984126984127
34933717,943,7453,8695,486,9737,1761327,7.903499469777307,0.5153764581124072
34979158,368,2489,1882,199,4153,740608,6.763586956521739,0.5407608695652174
35008491,817,7700,3775,439,7817,1658218,9.424724602203183,0.5373317013463892
35113324,610,3533,3686,311,6578,1211411,5.7918032786885245,0.5098360655737705
35187362,1100,9773,5393,608,10543,1857556,8.884545454545455,0.5527272727272727
35207177,1557,14910,7516,814,13821,3068668,9.576107899807322,0.5228002569043031
35277778,820,5712,4264,414,8125,1565237,6.965853658536585,0.5048780487804878
35360539,655,4774,3467,341,6156,1317099,7.28854961832061,0.5206106870229008
35426988,218,1449,1599,105,2536,427170,6.646788990825688,0.481651376146789
35555695,622,4515,3427,303,6782,1278948,7.258842443729904,0.4871382636655949
35692637,660,6670,3335,357,7519,1398603,10.106060606060606,0.5409090909090909
35709181,509,3209,3750,269,5392,1021653,6.304518664047151,0.5284872298624754
35830004,517,3797,3060,279,4977,1036896,7.344294003868472,0.539651837524178
36497847,641,4790,3550,364,6937,1194277,7.472698907956318,0.5678627145085804
36514852,713,3553,4396,376,9938,1441994,4.983169705469845,0.5273492286115007
36532721,1186,7295,7147,595,11958,2405519,6.150927487352445,0.5016863406408094
36607982,2186,13485,13856,1142,23834,4043597,6.168801463860933,0.5224153705397987
36649539,672,5058,4203,373,8218,1320790,7.526785714285714,0.5550595238095238
36772703,693,3458,4950,344,8869,1389047,4.98989898989899,0.4963924963924964
36809170,744,2613,4000,384,8413,1441036,3.5120967741935485,0.5161290322580645
36854440,702,2693,3075,347,7877,1433697,3.836182336182336,0.4943019943019943
36960520,430,3545,3511,237,5826,850366,8.244186046511627,0.5511627906976744
37116020,959,5133,5634,506,12661,1921552,5.35245046923879,0.5276329509906152
37193869,766,5558,3837,410,8372,1548230,7.2558746736292425,0.5352480417754569
37207670,791,5210,3823,396,8267,1669874,6.586599241466498,0.5006321112515802
37219243,566,4163,2487,319,5986,1139284,7.355123674911661,0.5636042402826855
37496148,717,5290,5547,364,8041,1437172,7.377963737796374,0.5076708507670851
37520231,278,1712,1485,149,2671,536395,6.158273381294964,0.5359712230215827
37635280,681,5066,6831,338,5732,1362079,7.439060205580029,0.49632892804698975
37661401,447,2386,3541,236,4777,916689,5.337807606263982,0.5279642058165548
37678788,202,1562,1198,108,2065,409256,7.732673267326732,0.5346534653465347
37816313,790,5084,5500,406,9842,1491740,6.435443037974683,0.5139240506329114
37954323,1293,8590,7615,671,10651,2616470,6.643464810518175,0.5189481825212684
38019084,664,2607,4231,325,6581,1343393,3.9262048192771086,0.4894578313253012
38140678,470,1690,2466,243,6473,991243,3.595744680851064,0.5170212765957447
38216252,409,2715,2889,221,4014,760450,6.638141809290953,0.5403422982885085
38254661,508,2760,2736,265,7210,1085153,5.433070866141732,0.5216535433070866
38305923,908,7783,5915,458,9654,1865402,8.571585903083701,0.5044052863436124
38421876,486,1910,2372,308,6455,921212,3.9300411522633745,0.6337448559670782
38467944,1477,6221,9949,761,15081,2778434,4.211916046039269,0.5152335815842924
38630868,829,5212,5338,427,9202,1583653,6.287092882991556,0.5150784077201448
38884146,340,2601,1674,180,2927,661753,7.65,0.5294117647058824
38984398,516,3120,3047,267,5471,1025135,6.046511627906977,0.5174418604651163
39087880,1192,13029,6578,780,12776,2206665,10.930369127516778,0.6543624161073825
39105452,875,5849,2931,438,9825,1799920,6.684571428571428,0.5005714285714286
39136450,1164,8040,8492,600,11816,2114406,6.907216494845361,0.5154639175257731
39183274,1131,9102,6782,582,12369,2438763,8.047745358090186,0.5145888594164456
39226397,760,6661,3020,383,8859,1561525,8.764473684210527,0.5039473684210526
39274751,473,2550,2548,241,6156,940534,5.391120507399577,0.5095137420718816
39356232,857,7489,4326,490,7436,1531072,8.738623103850642,0.5717619603267211
39525733,582,3613,3464,299,6177,1121936,6.207903780068729,0.5137457044673539
39533519,827,7081,6067,423,8412,1696335,8.562273276904474,0.5114873035066505
39703833,2141,11885,15250,1123,19057,4050347,5.551144325081737,0.524521251751518
39964353,851,5227,5439,446,8927,1651944,6.142185663924795,0.5240893066980024
40073864,694,3580,4915,355,7015,1453037,5.1585014409221905,0.5115273775216138
40138605,1304,9694,6514,710,14993,2575299,7.434049079754601,0.5444785276073619
40144245,997,6443,6137,585,9625,1817193,6.462387161484453,0.5867602808425276
40270041,102,836,504,56,1036,204127,8.196078431372548,0.5490196078431373
40281331,164,1212,1134,91,1831,313240,7.390243902439025,0.5548780487804879
40297626,797,3581,4858,416,9257,1571273,4.493099121706399,0.5219573400250941
40342073,687,4669,4065,354,7127,1334521,6.796215429403202,0.5152838427947598
40367140,351,2632,1938,194,3341,642635,7.498575498575499,0.5527065527065527
40403899,485,2754,2584,251,5218,906495,5.678350515463918,0.5175257731958763
40592948,471,1772,2771,257,5632,905113,3.762208067940552,0.5456475583864119
40803012,876,6082,4858,438,8860,1749530,6.942922374429224,0.5
41062398,1091,8170,6585,575,12878,2058668,7.488542621448213,0.5270394133822182
41100932,348,2463,2091,170,4327,686806,7.077586206896552,0.4885057471264368
41196677,42,349,220,29,489,71024,8.30952380952381,0.6904761904761905
41199147,103,653,593,55,1057,212112,6.339805825242719,0.5339805825242718
41212128,1120,9082,7997,575,12316,2065625,8.10892857142857,0.5133928571428571
41341635,86,609,577,47,952,164962,7.0813953488372094,0.5465116279069767
41382351,471,4365,2807,223,5839,1011778,9.26751592356688,0.4734607218683652
42084204,466,2254,3126,235,5803,937493,4.836909871244635,0.5042918454935622
42138648,519,3470,3112,259,5352,979068,6.6859344894026975,0.49903660886319845
42186421,2035,17123,13321,1034,18718,4278265,8.414250614250614,0.5081081081081081
42260493,1646,12262,7233,840,16353,3416858,7.4495747266099634,0.5103280680437424
42336686,1982,12335,13247,1018,17695,4029662,6.22351160443996,0.513622603430878
42920876,1100,11931,6716,572,10898,2264276,10.846363636363636,0.52
43044016,1073,9702,7981,550,7560,2029755,9.041938490214353,0.5125815470643057
43060967,137,961,740,71,1583,264654,7.014598540145985,0.5182481751824818
43094474,940,6048,5640,501,8620,1807587,6.43404255319149,0.5329787234042553
43104332,1008,8084,5674,502,10180,1929825,8.01984126984127,0.498015873015873
43145462,944,4885,4342,490,13901,1917515,5.174788135593221,0.5190677966101694
43176149,849,6592,5607,412,9072,1749048,7.7644287396937575,0.48527679623085984
43197893,904,6576,5066,460,10567,1792174,7.274336283185841,0.5088495575221239
43533482,817,5963,4268,423,8536,1637024,7.2986536107711135,0.5177478580171359
43678288,806,6760,5029,418,9458,1519006,8.387096774193548,0.5186104218362283
43699349,1031,6064,7920,531,9254,1950434,5.881668283220175,0.5150339476236664
43870805,852,6496,6007,480,9070,1679079,7.624413145539906,0.5633802816901409
43900446,1724,11474,8492,926,22730,3386133,6.655452436194896,0.537122969837587
43957142,1063,8826,5793,564,10655,2191333,8.302916274694262,0.5305738476011289
43976568,1098,8547,7661,608,13813,2071336,7.784153005464481,0.5537340619307832
44032060,1219,9585,8771,633,14306,2432919,7.863002461033634,0.5192780968006563
44035503,211,2376,1298,130,2111,365073,11.260663507109005,0.6161137440758294
44122052,626,4117,2923,319,6874,1203520,6.57667731629393,0.5095846645367412
44234535,879,7131,6226,468,10558,1651702,8.112627986348123,0.5324232081911263
44253494,608,4770,2909,350,6433,1143720,7.845394736842105,0.5756578947368421
44273832,835,7068,5424,462,10937,1717026,8.464670658682635,0.5532934131736527
44278422,606,3838,4853,334,7897,1157188,6.333333333333333,0.5511551155115512
44307921,841,5282,4279,447,10314,1683509,6.280618311533888,0.5315101070154578
44317510,2302,7295,16269,1170,26610,4468223,3.1689834926151175,0.5082536924413553
44523230,732,4788,2957,369,8104,1516533,6.540983606557377,0.5040983606557377
44542824,778,6305,3998,450,9065,1458149,8.104113110539846,0.5784061696658098
44558689,1015,5210,5770,530,11760,2016141,5.1330049261083746,0.5221674876847291
