,match_id,p_total_time_played_min_Team0,p_total_time_played_min_Team1,p_total_time_played_max_Team0,p_total_time_played_max_Team1,p_total_time_played_mean_Team0,p_total_time_played_mean_Team1,p_total_time_played_std_Team0,p_total_time_played_std_Team1,ph_wins_min_Team0,ph_wins_min_Team1,ph_wins_max_Team0,ph_wins_max_Team1,ph_wins_mean_Team0,ph_wins_mean_Team1,ph_wins_std_Team0,ph_wins_std_Team1,ph_kills_min_Team0,ph_kills_min_Team1,ph_kills_max_Team0,ph_kills_max_Team1,ph_kills_mean_Team0,ph_kills_mean_Team1,ph_kills_std_Team0,ph_kills_std_Team1,ph_deaths_min_Team0,ph_deaths_min_Team1,ph_deaths_max_Team0,ph_deaths_max_Team1,ph_deaths_mean_Team0,ph_deaths_mean_Team1,ph_deaths_std_Team0,ph_deaths_std_Team1,ph_assists_min_Team0,ph_assists_min_Team1,ph_assists_max_Team0,ph_assists_max_Team1,ph_assists_mean_Team0,ph_assists_mean_Team1,ph_assists_std_Team0,ph_assists_std_Team1,ph_damage_per_min_min_Team0,ph_damage_per_min_min_Team1,ph_damage_per_min_max_Team0,ph_damage_per_min_max_Team1,ph_damage_per_min_mean_Team0,ph_damage_per_min_mean_Team1,ph_damage_per_min_std_Team0,ph_damage_per_min_std_Team1,ph_time_played_min_Team0,ph_time_played_min_Team1,ph_time_played_max_Team0,ph_time_played_max_Team1,ph_time_played_mean_Team0,ph_time_played_mean_Team1,ph_time_played_std_Team0,ph_time_played_std_Team1,ph_total_kd_min_Team0,ph_total_kd_min_Team1,ph_total_kd_max_Team0,ph_total_kd_max_Team1,ph_total_kd_mean_Team0,ph_total_kd_mean_Team1,ph_total_kd_std_Team0,ph_total_kd_std_Team1,ph_kd_ratio_min_Team0,ph_kd_ratio_min_Team1,ph_kd_ratio_max_Team0,ph_kd_ratio_max_Team1,ph_kd_ratio_mean_Team0,ph_kd_ratio_mean_Team1,ph_kd_ratio_std_Team0,ph_kd_ratio_std_Team1,ph_time_played_ratio_min_Team0,ph_time_played_ratio_min_Team1,ph_time_played_ratio_max_Team0,ph_time_played_ratio_max_Team1,ph_time_played_ratio_mean_Team0,ph_time_played_ratio_mean_Team1,ph_time_played_ratio_std_Team0,ph_time_played_ratio_std_Team1,ph_damage_per_min_ratio_min_Team0,ph_damage_per_min_ratio_min_Team1,ph_damage_per_min_ratio_max_Team0,ph_damage_per_min_ratio_max_Team1,ph_damage_per_min_ratio_mean_Team0,ph_damage_per_min_ratio_mean_Team1,ph_damage_per_min_ratio_std_Team0,ph_damage_per_min_ratio_std_Team1,ph_assists_ratio_min_Team0,ph_assists_ratio_min_Team1,ph_assists_ratio_max_Team0,ph_assists_ratio_max_Team1,ph_assists_ratio_mean_Team0,ph_assists_ratio_mean_Team1,ph_assists_ratio_std_Team0,ph_assists_ratio_std_Team1,ph_win_rate_ratio_min_Team0,ph_win_rate_ratio_min_Team1,ph_win_rate_ratio_max_Team0,ph_win_rate_ratio_max_Team1,ph_win_rate_ratio_mean_Team0,ph_win_rate_ratio_mean_Team1,ph_win_rate_ratio_std_Team0,ph_win_rate_ratio_std_Team1,team_0_win
188,38675409,493591,177087,2669695,3754110,1667304.3333333333,1644208.1666666667,784530.6053017095,1355831.7605048816,19,13,385,360,203.66666666666666,152.5,168.1352630076947,146.2118326265012,265,119,4682,5470,2432.1666666666665,2372.1666666666665,1845.27021508143,2475.8619845756075,124,105,5868,3038,2185.1666666666665,1332.3333333333333,2236.755008190809,1282.9280052546467,238,214,8434,7378,3985.3333333333335,2863.6666666666665,3432.101261132408,2784.8269365737374,827.8373309076092,851.4700346408182,1041.568561636195,1047.4507009208735,942.2817470691175,952.3911971004818,84.68986722017536,72.6657985844861,45327,40484,1322144,1172774,736582.0,515751.5,609566.6655882685,512737.7885667293,0.7978868438991138,1.0818181818181818,2.3093145869947276,2.3741319444444446,1.6018349107196947,1.5636344438188667,0.6066003821092664,0.46009672243509087,0.48272524664107364,0.6884487726278512,1.8557044077820084,1.1394200365294807,0.9088811435682457,0.8892305409504985,0.5242185443962782,0.18449193936917052,0.4740031655031444,0.42041399122477807,19.284675925565928,14.436275514084079,7.898624722832163,5.375351283795072,7.381602904640125,5.464234540623731,0.9380118295834823,0.9473548604324208,1.3242919463262626,1.385936425858842,1.1429645401860327,1.1028323495056185,0.16738969330231093,0.15597905058497,0.4630491718617434,0.4745449746197833,18.328709766231515,15.773447854369707,7.540556342395843,5.9425020291052455,7.079093793552721,5.880451372535573,0.9379133958440593,1.0608940148168629,1.3574667468432997,1.379813827553751,1.0849396618006204,1.2256807864863823,0.16211216784048182,0.11449021668508434,N
189,38675595,278706,1443269,6155641,6208873,2768565.8333333335,2899299.0,2121299.1623784155,1854778.856079398,21,13,1192,687,364.1666666666667,230.33333333333334,432.6483175359251,268.4672543657171,221,237,17562,15854,5335.333333333333,4436.666666666667,6679.383434619296,6054.8369644992645,217,211,12271,11628,3849.5,3161.5,4403.874192117663,4498.422645772627,534,340,20057,10410,6404.666666666667,4247.833333333333,7117.164903714587,4414.334985778341,666.0157742466031,799.6182240465198,1021.3020594898544,1122.5878270535277,885.26148612741,947.820782287604,149.67204741853604,110.14863924531123,83645,64952,4261514,2421627,1285416.3333333333,841310.5,1543269.2022925445,953055.1945810379,0.757235676314235,1.0042372881355932,1.9860627177700347,2.111955420466059,1.235577224282247,1.4361100251552708,0.42997296732377704,0.40380490885108616,0.7455163021222896,0.5278352198044297,1.4111211517991096,1.1338421156849745,1.063376557280802,0.9385712681314496,0.2564466941758961,0.21100963951662302,0.9962906262687337,0.6213427253907644,46.105511705514864,20.68702898318596,13.394741177829113,7.733257912652475,16.580766380976335,8.283894532423904,0.9261870913969975,1.0166666057749,1.1720498746102952,1.3415045000678025,1.0727944289235698,1.1221684399752243,0.08362226558398118,0.11978164107659885,0.9096309237824852,0.6614988169453477,42.77834144695619,21.078339345407652,12.730109464546858,7.823530749035457,15.321983999735814,8.430611705787785,0.9460326069569384,0.7317763324290835,1.1145146121170546,1.298648308285883,1.0097862956867356,1.0040953145661355,0.061416464149329636,0.21002412909654283,N
190,38675702,1160660,928449,4520794,2214115,2526934.6666666665,1657252.3333333333,1158680.4574540243,591461.6809240195,14,14,327,546,200.0,245.33333333333334,127.29021957715368,219.88421195407975,233,237,5050,9223,3113.8333333333335,3075.5,2064.1388922906003,3205.696164641933,151,140,3364,4387,1777.8333333333333,2118.6666666666665,1294.8353434574865,1819.1843960046124,297,282,7041,12519,3564.6666666666665,5289.333333333333,2539.517880753484,5164.705748313902,865.7448062992427,356.2730401163877,1216.7428327808866,1142.9704496125328,1033.238206967354,940.7004474040617,114.9513940859593,294.3438836836274,52390,43471,1070500,1760375,630396.3333333334,805434.1666666666,417098.47242140153,732813.0107628866,1.173602853745541,0.5933439708228858,2.90715552927262,2.1865813181602656,1.7981090523109462,1.5728656120700435,0.6704599888177455,0.5289552190844657,0.4753994684614832,0.622499764538677,1.034955721344562,1.4580559998636335,0.7629404080809147,0.8882477483607047,0.2068564019441347,0.3008663170953368,0.48487592735863777,0.549313514607386,9.052579195112827,21.669357018577973,5.407804947491866,9.218305467849989,3.462393309465873,9.172758367051733,1.005537838857416,0.5919147637434782,1.3073960723656164,1.3940690670146023,1.179488226469431,1.1347424886663324,0.10198315070893912,0.2940399051834269,0.5674624579510328,0.6262473391594888,10.111740542606036,23.504104867300157,5.612403002752285,10.048868673683652,3.676563001867135,9.901405148467203,0.9404004991035706,1.045977586946536,1.253881429739224,1.2540885079634267,1.1174097276514579,1.1179168878247256,0.11101627064214928,0.08498016988847655,N
191,38675900,779928,1411989,2919457,3117734,1516915.0,2309497.8333333335,819296.4640097015,710973.1687180372,17,40,413,304,180.5,95.33333333333333,177.64543337783834,103.67963477301926,201,538,4580,3911,2204.8333333333335,1272.3333333333333,2050.02511366731,1308.1068254032875,93,261,4768,2087,1975.3333333333333,750.1666666666666,2028.0574613818678,681.2216721939097,280,650,9307,6726,3750.6666666666665,1924.8333333333333,3826.578088405706,2391.324605039363,712.8476773118576,827.3866826230717,1156.0839342671422,1023.5522002232682,911.1452382559515,934.3530704206837,166.23788778166846,82.52088104393222,39130,117948,1379711,969562,627931.3333333334,313387.8333333333,617963.6278104616,330371.5619586024,0.9605704697986577,0.8997134670487106,2.1683501683501682,2.0613026819923372,1.4826638147943232,1.718864179500528,0.5419848439673384,0.4409161859483824,0.4002834453116099,0.6434546704596205,1.1719171444704,1.2655657307925523,0.9372537836768604,0.8231909705222589,0.34789735138937883,0.22237524910628306,0.4660751055758927,1.3656131229786148,20.124343116890817,5.757176183338238,7.249505943615727,2.483535276731033,7.850227109406904,1.7194714019954298,0.9380118295834823,0.9586111032303859,1.6589110589907459,1.1961587915511944,1.153201940328269,1.099308349284928,0.2677201757190572,0.08131528311663393,0.5229526097401179,1.3896369077446882,20.22590725566952,6.421341141414434,7.4391688160545515,2.657569030006029,7.811305115068461,2.0026851033546667,0.9379133958440593,0.9287930373138368,1.318932225299345,1.1625082222236305,1.0795675541938567,1.0651675681694837,0.1427023882359276,0.08877638054626111,Y
192,38676128,296560,412917,2339352,3777636,1356227.1666666667,1845581.8333333333,690763.381489325,1342963.9848018885,15,7,210,802,75.0,275.8333333333333,71.13086531176181,315.68618383873985,119,74,3724,9129,1227.6666666666667,3012.6666666666665,1311.2854253238181,3485.5573824951825,125,38,2033,9584,648.6666666666666,2712.5,723.4123766335952,3634.525374791047,274,71,3882,15988,1450.1666666666667,5584.333333333333,1312.181910661272,6456.851451494503,616.2969835905751,631.6657436214659,1367.0927409076955,1211.4057069990947,1005.7639178223027,849.3157412270863,255.03891694555898,223.69863720378336,46542,11934,778322,2873970,249379.0,964571.1666666666,272044.04449132865,1127368.8839323919,0.8380281690140845,0.9525250417362271,3.7038216560509554,1.9473684210526316,2.1131277428523347,1.3692522172085237,1.1873022493012335,0.3327143412741572,0.34015656634017577,0.6663256840987692,1.2954786940205896,1.1554325256566438,0.7608846211299439,0.9013146649860498,0.37213988789121755,0.20002979916856914,0.38208281050046844,0.1291144829498658,7.460561625628945,31.408436260653602,2.459850852777651,11.688875725187023,2.709958523294532,12.424281086191412,0.7738296898858584,0.8996227978068111,1.4185514597457343,1.263793652616926,1.155821224957643,1.0687837629617196,0.23772177105191616,0.16003389925742104,0.3934976436122787,0.15143153226972575,7.254338798737036,28.422542852233413,2.5513750961483628,10.652886960854625,2.5852784097019645,11.099144674172885,1.029273002439707,1.025090064819588,1.5019819800167153,1.7857159107828113,1.2572735519976612,1.2101066452017146,0.19994019921412276,0.2878991305339763,N
193,38676323,928449,1640732,2947704,4520794,1810799.6666666667,2698693.0,772095.0557923983,977926.4848694915,14,29,687,485,264.8333333333333,227.66666666666666,281.5225864236592,169.95018878090917,237,399,15854,5050,5145.333333333333,2647.8333333333335,6177.833687197048,1973.919898746316,140,149,11628,4387,3280.5,2033.1666666666667,4340.351218507553,1572.4109407742833,282,365,10994,12519,4632.0,4927.0,4779.495580079555,4461.459671452831,946.4096936329634,356.2730401163877,1142.9704496125328,1216.7428327808866,1063.6193523968634,940.447653291601,75.76572787173207,311.31241454826,43471,77133,2421627,1655893,895363.1666666666,748209.8333333334,967985.8563616343,584956.069265861,1.2495559502664297,0.5933439708228858,2.1865813181602656,2.90715552927262,1.6421617582594428,1.6694174627644311,0.33410288701758684,0.9329304749656846,0.622499764538677,0.4753994684614832,1.2765112763268753,1.4580559998636335,0.914084129631215,0.9030610732272467,0.23037940410305466,0.3990608983145149,0.549313514607386,0.7801870737548013,21.669357018577973,19.72324315863485,9.021189009460654,7.199303234324787,9.556508014156913,6.767818902726157,1.0642404844994144,0.5919147637434782,1.3782867776395678,1.3661230858634892,1.219054190864287,1.0869725722570045,0.11893565216932413,0.2847475977663494,0.6262473391594888,0.7907135996967988,23.504104867300157,21.325223848001745,9.46818603816545,7.620276533027476,10.086069785977873,7.441950391873366,0.9833832329960642,0.976103957147178,1.2540885079634267,1.2447834993653022,1.0917942177727415,1.125662242083431,0.09206734337270478,0.09443989301579526,N
194,38676565,831656,425321,2919457,4384346,1873650.1666666667,2200015.5,825026.618242446,1281826.8554958194,17,26,413,569,161.33333333333334,180.83333333333334,185.07151770779498,226.36379274669054,201,335,6874,8351,2312.8333333333335,2858.5,2771.7409992036896,3544.9704512167664,93,209,4768,6682,1681.3333333333333,2125.6666666666665,1915.9245983771561,2749.7584378753468,280,438,9307,11726,2713.3333333333335,3158.1666666666665,3487.6997959495693,4456.008770936909,745.8204407621582,835.7717277797036,1199.2262386977636,1091.7451998103245,1006.7458793799511,966.3459520736674,162.21587859268845,87.08258926013532,39130,85369,1379711,1910199,524729.1666666666,605404.0,606735.84662435,762373.9976541697,0.9325842696629213,0.8997134670487106,2.161290322580645,2.0397350993377485,1.5207302398783067,1.5205285497814474,0.5522640141530567,0.4185237544431871,0.4002834453116099,0.6434546704596205,1.264982361653253,1.2655657307925523,0.9396768166687424,0.917970695544,0.34096247380902617,0.24090927585425678,0.4660751055758927,1.0263261211951877,27.07375789453805,11.342598192004761,8.88662227696111,4.50614712375529,11.648499137195996,4.807732705243647,1.0591662417549954,1.0429781150477684,1.6589110589907459,1.1961587915511944,1.2416604776459435,1.1105820498688368,0.21727632757795315,0.05430760649455222,0.5229526097401179,0.9712649480535752,20.22590725566952,11.194862655995488,7.7869025848428635,4.2993191765578,9.466631316131007,4.534649562295224,1.0174419993523562,0.9287930373138368,1.318932225299345,1.1784837926196305,1.1308218855768437,1.0843293912742855,0.10192055180476751,0.08591821179835486,Y
195,38676681,296560,177087,3117734,3777636,1526896.0,1960787.8333333333,963621.140280349,1505202.5851595413,15,17,249,506,92.33333333333333,191.5,88.89469425486915,184.20287728480247,119,134,4237,4900,1473.3333333333333,2235.6666666666665,1567.8854124797087,1887.9731636510796,125,105,1997,4248,796.3333333333334,2004.3333333333333,840.3943518769428,1829.3333940719135,274,338,3931,10806,1673.0,3621.1666666666665,1443.363710226913,3858.074515437288,616.2969835905751,631.6657436214659,1367.0927409076955,1047.4507009208735,981.2914105194409,868.2956620186452,260.5168177162686,149.73851877685811,46542,45425,845050,1717207,304639.1666666667,644232.3333333334,317979.677310621,637841.9442230705,0.8380281690140845,0.762241054613936,3.7038216560509554,1.6297229219143576,2.1257610530954967,1.288721378273926,1.249212728578151,0.30506714834903353,0.34015656634017577,0.6663256840987692,1.2954786940205896,1.9404871477470562,0.8021548886632344,1.0229684622128916,0.4301109705365116,0.4678846547299637,0.38208281050046844,0.42041399122477807,7.218937450830081,20.453550570423257,2.4857777012949334,7.602390124513565,2.6628681262873233,7.287957952239933,0.7738296898858584,0.8302388097191092,1.4185514597457343,1.385936425858842,1.135847353498706,1.0900156656982631,0.24343394213877084,0.18338515978547096,0.3934976436122787,0.6457990262203673,7.959553503054513,18.40725049137366,2.850039034314138,7.385087016565151,2.962046255640028,6.272474877031697,0.896334337863597,0.9798361657575665,1.5019819800167153,1.379813827553751,1.2542609498296329,1.1402417364371742,0.2219545171874239,0.16464652544696307,N
196,38676702,393133,150613,2485742,3839468,1527216.0,1332343.0,882048.8955850464,1316639.0923044933,11,2,328,965,134.0,189.16666666666666,130.49750955478038,381.9881760822796,154,9,3681,13902,1777.6666666666667,2608.6666666666665,1598.9800082135694,5547.262375863131,140,11,2587,8706,1239.8333333333333,1697.1666666666667,1155.067689214215,3443.9507787810594,223,23,7037,13673,2839.3333333333335,2801.0,2833.9366730162947,5369.339214465779,751.3134140780041,515.0622180093446,1212.4621034730142,982.5273371768968,964.9217705916627,789.4585767609495,174.58660838601793,174.15858774599855,40751,4781,891697,3698588,424551.6666666667,707593.0,395864.79614012997,1470044.8695680005,1.1,0.7072463768115942,1.9844357976653697,1.5968297725706408,1.5140539751756987,1.0853935426000605,0.3161153925392251,0.38407477833144954,0.6168833513130089,0.7823147711505202,1.3460383028498732,1.6014112004348895,0.9362899069323425,1.2468773223045755,0.2845613288900665,0.3373304108428106,0.3102770462308247,0.057478302257660194,12.223084301608296,37.410583650896804,4.684703463898619,7.353421280361657,5.143641419798889,14.775647679590865,0.9615919281889469,0.6437844479445554,1.2842894589277802,1.2492245710880308,1.1524604581122686,0.935807470275599,0.13305677323017068,0.23949474999857823,0.3852518296328539,0.0510024972722197,12.632422225518988,29.62034807850501,5.0977058066160135,6.130128467066648,5.678615394789349,11.581483667694842,0.919491053586601,0.9664207777080699,1.3117336867743639,1.3356443704216028,1.091025455205693,1.1389956591434574,0.1718620929595304,0.15278873516764607,N
197,38676863,1537766,725525,2754391,3236200,2054276.0,1634137.6666666667,533057.3079183889,1005552.3788602295,49,23,364,218,163.66666666666666,71.33333333333333,126.23892690714172,74.29580517543818,747,347,5691,1859,2392.1666666666665,856.1666666666666,2051.030610855593,627.151470273862,449,234,4678,1999,1735.8333333333333,797.3333333333334,1560.115690154633,720.610204386995,919,390,7339,5490,3446.1666666666665,1630.1666666666667,2808.1074350292697,1957.8010539037582,816.9292440832744,403.8939583681551,1019.3971700672367,1072.430027248971,912.1207748318537,850.8300245330806,75.20935786393845,238.1863661845071,179804,82185,1341909,739700,604462.1666666666,259029.66666666666,484978.31627627095,248947.98737540876,0.9574209245742092,0.6359649122807017,2.111955420466059,2.958174904942966,1.4342374887104183,1.3796709862867564,0.4053610006596003,0.825015287019094,0.5278352198044297,0.552525890365115,1.5743668657938101,1.5561824484252025,1.0115032788685625,1.1329168017033284,0.3777383575009819,0.3486498299240984,1.0918815177583128,0.625754436565491,12.862793022021878,8.083877111454006,5.990455367046397,2.749545993485271,4.705414242405216,2.729126498827437,0.9694228086788353,0.6037893863929569,1.150349543878005,1.2059507203587385,1.0643549198138276,1.009956177186648,0.07049778639772282,0.2175408426714717,1.1217775559265477,0.6737588051875024,12.253142581998647,9.75980486982496,6.177644243736446,2.9942620242563174,4.7058054401143385,3.419503557010463,0.9498014543986694,0.8704571826144718,1.2375727151303708,1.0486757470657102,1.0433070382922358,0.9914815799202827,0.10168776773043071,0.06777358518500495,N
