start_time,winning_team,match_id,lobby_id,duration_s,match_mode,game_mode,region_mode_parsed
1745078091,,35001493,1.7339E+17,,1,1,Row
1745079287,,35001994,1.7339E+17,,1,1,Europe
1745077998,,35001451,1.7339E+17,,1,1,Europe
1745078109,,35001502,1.7339E+17,,1,1,Russia
1745078474,,35001666,1.7339E+17,,1,1,Europe
1745077129,,35001089,1.7339E+17,,1,1,Row
1745079147,,35001942,1.7339E+17,,1,1,Europe
1745078795,,35001793,1.7339E+17,,1,1,Europe
1745078380,,35001629,1.7339E+17,,1,1,Row
1745079177,,35001953,1.7339E+17,,1,1,Row
1745079127,,35001930,1.7339E+17,,1,1,Row
1745078668,,35001745,1.7339E+17,,1,1,Row
1745077952,,35001426,1.7339E+17,,1,1,Row
1745077558,,35001270,1.7339E+17,,1,1,SeAsia
1745078501,,35001677,1.7339E+17,,1,1,Russia
1745079046,,35001898,1.7339E+17,,1,1,Row
1745077182,,35001112,1.7339E+17,,1,1,Russia
1745078553,,35001701,1.7339E+17,,1,1,Europe
1745078636,,35001735,1.7339E+17,,1,1,Russia
1745079208,,35001965,1.7339E+17,,1,1,Europe
1745078957,,35001867,1.7339E+17,,1,1,Europe
1745078063,,35001475,1.7339E+17,,1,1,Europe
1745077460,,35001233,1.7339E+17,,1,1,Europe
1745078160,,35001528,1.7339E+17,,1,1,Russia
1745079052,,35001904,1.7339E+17,,1,1,Russia
1745077450,,35001225,1.7339E+17,,1,1,Row
1745079074,,35001912,1.7339E+17,,1,1,Europe
1745078886,,35001835,1.7339E+17,,1,1,Row
1745078284,,35001585,1.7339E+17,,1,1,Row
1745077076,,35001069,1.7339E+17,,1,1,Europe
1745078022,,35001460,1.7339E+17,,1,1,Russia
1745077921,,35001412,1.7339E+17,,1,1,Row
1745079202,,35001962,1.7339E+17,,1,1,Europe
1745077814,,35001365,1.7339E+17,,1,1,Row
1745078346,,35001611,1.7339E+17,,1,1,SeAsia
1745078525,,35001687,1.7339E+17,,1,1,Russia
1745077696,,35001311,1.7339E+17,,1,1,Europe
1745077895,,35001401,1.7339E+17,,1,1,SeAsia
1745078143,,35001519,1.7339E+17,,1,1,Europe
1745078712,,35001763,1.7339E+17,,1,1,Europe
1745078451,,35001657,1.7339E+17,,1,1,Row
1745077927,,35001415,1.7339E+17,,1,1,Russia
1745078255,,35001568,1.7339E+17,,1,1,Europe
1745079102,,35001919,1.7339E+17,,1,1,Row
1745077316,,35001167,1.7339E+17,,1,1,Row
1745078189,,35001537,1.7339E+17,,1,1,Row
1745079226,,35001971,1.7339E+17,,1,1,Russia
1745078125,,35001507,1.7339E+17,,1,1,Russia
1745076927,,35001011,1.7339E+17,,1,1,Russia
1745079312,,35002002,1.7339E+17,,1,1,Row
1745079132,,35001935,1.7339E+17,,1,1,Row
1745078914,,35001843,1.7339E+17,,1,1,Row
1745078661,,35001740,1.7339E+17,,1,1,Russia
1745078931,,35001851,1.7339E+17,,1,1,Row
1745077136,,35001094,1.7339E+17,,1,1,Russia
1745078127,,35001509,1.7339E+17,,1,1,Europe
1745077494,,35001248,1.7339E+17,,1,1,Row
1745079345,,35002011,1.7339E+17,,1,1,SeAsia
1745078587,,35001712,1.7339E+17,,1,1,Row
1745078955,,35001865,1.7339E+17,,1,1,Europe
1745078854,,35001821,1.7339E+17,,1,1,Oceania
1745078985,,35001878,1.7339E+17,,1,1,Europe
1745077846,,35001381,1.7339E+17,,1,1,Europe
1745078262,,35001573,1.7339E+17,,1,1,Row
1745077096,,35001076,1.7339E+17,,1,1,Europe
1745078082,,35001484,1.7339E+17,,1,1,Russia
1745078145,,35001520,1.7339E+17,,1,1,Row
1745077917,,35001410,1.7339E+17,,1,1,Row
1745077418,,35001216,1.7339E+17,,1,1,SeAsia
1745077856,,35001387,1.7339E+17,,1,1,Europe
1745078079,,35001482,1.7339E+17,,1,1,Russia
1745078390,,35001630,1.7339E+17,,1,1,Europe
1745076516,,35000834,1.7339E+17,,1,1,Row
1745078368,,35001616,1.7339E+17,,1,1,Europe
1745078558,,35001702,1.7339E+17,,1,1,Row
1745078088,,35001490,1.7339E+17,,1,1,Europe
1745078605,,35001721,1.7339E+17,,1,1,Row
1745079258,,35001984,1.7339E+17,,1,1,Row
1745078474,,35001665,1.7339E+17,,1,1,Europe
1745077293,,35001156,1.7339E+17,,1,1,Europe
1745078503,,35001679,1.7339E+17,,1,1,SeAsia
1745078015,,35001456,1.7339E+17,,1,1,Russia
1745078405,,35001635,1.7339E+17,,1,1,Row
1745077643,,35001298,1.7339E+17,,1,1,Russia
1745076476,,35000818,1.7339E+17,,1,1,Europe
1745079111,,35001923,1.7339E+17,,1,1,Row
1745078910,,35001840,1.7339E+17,,1,1,Europe
1745077782,,35001347,1.7339E+17,,1,1,Row
1745077883,,35001394,1.7339E+17,,1,1,Row
1745078875,,35001832,1.7339E+17,,1,1,Russia
1745077340,,35001176,1.7339E+17,,1,1,Oceania
1745076743,,35000936,1.7339E+17,,1,1,Europe
1745078379,,35001626,1.7339E+17,,1,1,Russia
1745078859,,35001823,1.7339E+17,,1,1,SeAsia
1745076568,,35000862,1.7339E+17,,1,1,Russia
1745077378,,35001193,1.7339E+17,,1,1,Europe
1745077176,,35001106,1.7339E+17,,1,1,Russia
1745078368,,35001617,1.7339E+17,,1,1,SeAsia
