hero_id,wins,losses,matches,total_kills,total_deaths,total_assists,total_net_worth,total_last_hits,total_denies,total_player_damage,total_player_damage_taken,total_boss_damage,total_creep_damage,total_neutral_damage,total_max_health,total_shots_hit,total_shots_missed,hero_pickrate,win_percentage
1,1251,1528,2779,17206,19559,22880,89678176,433444,21354,64076518,77548724,12896416,74163582,76284984,7481744,6560874,4048917,44.56,45.02
2,2033,1826,3859,23848,27681,36757,131056228,714178,26228,101258152,94982670,26984952,133352108,139616984,10022632,5849196,4094781,61.88,52.68
3,1728,1710,3438,24619,19467,35837,109818556,445974,25544,89620752,52150146,17968122,90930189,39613583,6947634,3763416,2873114,55.13,50.26
4,1534,1496,3030,18328,20461,28310,97786241,473146,20048,85237945,92184481,20684686,101076452,63252116,9231064,1901476,940287,48.59,50.63
6,1401,1373,2774,18635,21134,25628,85698972,375708,21102,60359013,88552673,16330594,76461933,50910679,7932420,7723453,5449238,44.48,50.5
7,1610,1556,3166,20916,18629,25667,107352825,543290,30248,75927999,64136094,35817637,97332234,93667092,7891430,11663713,8699651,50.77,50.85
8,305,321,626,2568,4456,5812,19688647,94553,5511,11884965,17152973,5838398,18791865,12193270,1717903,1652139,1373041,10.04,48.72
10,2058,1940,3998,22713,25417,46823,123356586,534475,30751,96811100,87063955,23038225,104295454,55798887,10559555,5833113,4904376,64.11,51.48
11,724,780,1504,5842,10247,16915,45116141,188428,9636,24116990,41147641,6234304,39602414,17847414,4043843,1087831,757257,24.12,48.14
12,713,740,1453,6598,9249,15994,41372641,169877,11255,25183699,44977683,6317206,34183183,14267754,4319209,878890,595313,23.3,49.07
13,1247,1490,2737,19064,19324,21628,89117544,426820,24536,62174259,58088179,16435495,69383539,79694721,6272203,8789894,5695753,43.89,45.56
14,1563,1510,3073,20949,18409,35271,96032979,422082,14289,70010390,64502661,18410896,95428849,44194822,7964160,1458928,804545,49.28,50.86
15,2113,2188,4301,29755,30300,41086,130820304,592475,30634,99789351,111956735,21160419,116014066,74638527,11816811,9073984,7654870,68.97,49.13
16,1812,1759,3571,24521,22820,31160,115372048,538377,27017,83937794,100941321,31337463,106835754,69808654,10832963,22816900,20519700,57.26,50.74
17,2041,2046,4087,30627,21993,37932,131171594,613180,24744,123119329,61220295,22873913,140327365,72485386,8684432,4010266,1952452,65.54,49.94
18,1472,1296,2768,12929,19397,33213,85372441,379582,17278,49261070,96001637,18031230,74263411,44121894,9882703,8580784,7597398,44.39,53.18
19,1618,1845,3463,27385,24128,25748,110202287,508880,27187,81677516,102790529,19567077,101628235,73016706,10037122,9838256,5930982,55.53,46.72
20,1028,989,2017,8049,12441,21012,63262645,316812,17065,40143533,49888745,17267225,64480105,34437596,5169036,5324646,4476901,32.34,50.97
25,990,947,1937,13297,14015,17350,62497881,303831,10319,50524300,50610008,16296991,62371019,39664993,5756961,2138837,1403914,31.06,51.11
27,1386,1491,2877,20500,21404,25325,91267151,420305,13037,73116860,82338722,16393176,82918771,67459266,6947573,5386825,2697997,46.14,48.18
31,2772,2620,5392,39151,34297,56942,170115261,736622,31441,138579780,116482408,24155620,150275304,91153392,13679059,5323378,4371990,86.47,51.41
35,1044,1120,2164,10950,12429,21543,65778405,299787,12499,47075371,53371960,10858904,63854734,30990877,5838181,1641166,1200764,34.7,48.24
50,1609,1630,3239,23580,20652,30335,105699559,506718,24098,99798294,59930791,19855650,106885945,69803329,6875648,8259683,5981572,51.94,49.68
52,1843,1767,3610,24339,21533,35783,116591193,532002,28573,96156583,82165684,26023096,110575464,58403934,9996218,3932134,2238244,57.89,51.05
58,804,734,1538,12614,10940,10994,50027129,235328,13275,36837830,36317285,16610851,40373015,40070846,3785443,5833361,4576453,24.66,52.28
60,717,714,1431,8339,8694,14552,43707934,193163,6563,32504464,32679857,8337913,42558587,16744239,3648674,1009677,867490,22.95,50.1
