match_id,team_0_win,p_total_time_played_min_diff,p_total_time_played_max_diff,p_total_time_played_mean_diff,p_total_time_played_std_diff,ph_wins_min_diff,ph_wins_max_diff,ph_wins_mean_diff,ph_wins_std_diff,ph_kills_min_diff,ph_kills_max_diff,ph_kills_mean_diff,ph_kills_std_diff,ph_deaths_min_diff,ph_deaths_max_diff,ph_deaths_mean_diff,ph_deaths_std_diff,ph_assists_min_diff,ph_assists_max_diff,ph_assists_mean_diff,ph_assists_std_diff,ph_damage_per_min_min_diff,ph_damage_per_min_max_diff,ph_damage_per_min_mean_diff,ph_damage_per_min_std_diff,ph_time_played_min_diff,ph_time_played_max_diff,ph_time_played_mean_diff,ph_time_played_std_diff,ph_total_kd_min_diff,ph_total_kd_max_diff,ph_total_kd_mean_diff,ph_total_kd_std_diff,ph_kd_ratio_min_diff,ph_kd_ratio_max_diff,ph_kd_ratio_mean_diff,ph_kd_ratio_std_diff,ph_time_played_ratio_min_diff,ph_time_played_ratio_max_diff,ph_time_played_ratio_mean_diff,ph_time_played_ratio_std_diff,ph_damage_per_min_ratio_min_diff,ph_damage_per_min_ratio_max_diff,ph_damage_per_min_ratio_mean_diff,ph_damage_per_min_ratio_std_diff,ph_assists_ratio_min_diff,ph_assists_ratio_max_diff,ph_assists_ratio_mean_diff,ph_assists_ratio_std_diff,ph_win_rate_ratio_min_diff,ph_win_rate_ratio_max_diff,ph_win_rate_ratio_mean_diff,ph_win_rate_ratio_std_diff
38829883,N,1059.0,3119.0,2036.0,1974.666,0.0,0.0,0.0,,-2.0,-10.0,-5.0,,3.0,-19.0,-11.0,,12.0,-22.0,-3.333,,293.462,70.083,193.265,,361.0,-5143.0,-2089.333,,0.681,-0.943,0.06,,0.921,-1.327,-0.205,,0.116,-1.686,-0.624,,0.41,0.176,0.258,,0.241,-1.669,-0.549,,1.055,-0.004,0.53,
38830807,N,11848.0,21383.0,14983.733,6175.247,10.0,9.0,9.5,,166.0,157.0,161.5,,97.0,95.0,96.0,,177.0,144.0,160.5,,63.144,-199.78,-68.318,,28187.0,26771.0,27479.0,,0.77,0.366,0.568,,-0.185,-1.265,-0.725,,7.525,7.207,7.366,,0.043,-0.025,0.009,,8.937,7.647,8.292,,0.502,0.069,0.286,
38831809,Y,-99.0,-5208.0,-926.583,-1128.147,2.0,1.0,1.5,,22.0,19.0,20.5,,17.0,14.0,15.5,,21.0,6.0,13.5,,148.316,105.071,126.694,,6713.0,4799.0,5756.0,,0.618,-0.159,0.229,,0.815,-1.39,-0.287,,1.814,1.361,1.587,,0.058,-0.224,-0.083,,1.211,0.819,1.015,,0.772,-0.248,0.262,
38831909,Y,5518.0,-1455.0,414.433,-2242.096,0.0,2.0,0.75,,7.0,20.0,11.25,,2.0,20.0,8.25,,-2.0,35.0,15.0,,-308.413,-222.39,-259.256,,1120.0,5058.0,3119.75,,-3.182,-0.25,-1.833,,0.081,0.864,0.35,,0.264,1.566,0.911,,-0.407,-0.271,-0.367,,-0.272,1.367,0.418,,-1.818,-0.901,-1.366,
38832005,N,3096.0,9063.0,5883.167,2790.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38832299,Y,-195.0,-14590.0,-6253.167,-3772.997,0.0,-4.0,-2.5,,4.0,-45.0,-20.667,,-2.0,-45.0,-22.333,,-3.0,-66.0,-35.167,,49.516,-596.137,-282.662,,-195.0,-11502.0,-6382.333,,7.559,5.333,6.535,,-0.427,-4.636,-1.38,,-0.09,-2.799,-1.668,,0.07,-0.537,-0.335,,-0.169,-2.704,-1.565,,0.897,-0.359,0.113,
38832706,Y,-7531.0,-2654.0,-2462.8,2032.829,5.0,3.0,4.0,,51.0,22.0,35.5,,31.0,9.0,23.5,,80.0,23.0,59.5,,63.019,-333.442,-126.048,,11733.0,2679.0,7501.5,,0.549,-0.721,0.114,,0.727,-0.406,0.112,,3.084,1.032,2.112,,0.005,-0.412,-0.184,,3.457,1.822,2.782,,0.918,-0.762,0.093,
38833675,N,-413.0,17231.0,5139.733,6909.508,0.0,1.0,0.5,,11.0,11.0,11.0,,3.0,6.0,4.5,,-5.0,16.0,5.5,,-662.166,-505.505,-583.835,,2087.0,2152.0,2119.5,,0.319,0.757,0.538,,-0.885,-0.378,-0.631,,0.504,0.745,0.625,,-0.7,-0.612,-0.656,,0.081,0.482,0.281,,-1.309,-0.736,-1.022,
38834375,N,-3433.0,10229.0,3893.917,8295.242,3.0,3.0,3.0,,65.0,65.0,65.0,,56.0,56.0,56.0,,63.0,63.0,63.0,,675.328,675.328,675.328,,15446.0,15446.0,15446.0,,-2.741,-2.741,-2.741,,0.793,0.793,0.793,,4.026,4.026,4.026,,0.698,0.698,0.698,,3.263,3.263,3.263,,0.773,0.773,0.773,
38834828,Y,-633.0,-1138.0,2867.45,-1949.98,0.0,1.0,0.5,,9.0,23.0,16.0,,31.0,38.0,34.5,,46.0,70.0,58.0,,-712.196,-441.126,-576.661,,7252.0,10850.0,9051.0,,-4.894,-4.65,-4.772,,1.711,2.787,2.249,,2.323,2.65,2.486,,-0.801,-0.57,-0.686,,2.371,2.424,2.398,,-1.651,-1.183,-1.417,
38834848,Y,173.0,-4761.0,-1750.9,1767.19,4.0,2.0,3.0,,64.0,39.0,51.5,,36.0,30.0,33.0,,65.0,32.0,48.5,,115.725,15.426,65.576,,10355.0,5775.0,8065.0,,1.235,-0.253,0.491,,0.453,-5.753,-2.65,,2.835,1.551,2.193,,0.054,-0.0,0.027,,3.47,2.157,2.813,,-0.082,-0.61,-0.346,
38834915,Y,4156.0,10097.0,6023.533,3878.869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38835251,N,-2194.0,6815.0,667.333,3501.12,2.0,1.0,1.5,,22.0,20.0,21.0,,14.0,3.0,8.5,,48.0,48.0,48.0,,402.762,125.904,264.333,,8503.0,7044.0,7773.5,,1.244,-0.471,0.387,,0.015,-2.7,-1.342,,1.99,1.699,1.844,,0.415,0.306,0.361,,1.81,1.632,1.721,,0.7,-1.175,-0.238,
38835847,N,225.0,10641.0,7755.6,4988.776,-2.0,3.0,0.5,,15.0,77.0,46.0,,33.0,33.0,33.0,,20.0,99.0,59.5,,654.091,687.804,670.947,,3699.0,14137.0,8918.0,,-0.439,1.073,0.317,,-1.035,1.503,0.234,,1.249,3.454,2.352,,0.651,0.758,0.704,,1.03,3.431,2.23,,-1.931,-0.841,-1.386,
38836069,N,2982.0,-919.0,3733.667,-1687.238,0.0,0.0,0.0,,-2.0,-2.0,-2.0,,-5.0,-5.0,-5.0,,-8.0,-8.0,-8.0,,45.42,45.42,45.42,,-783.0,-783.0,-783.0,,1.625,1.625,1.625,,-0.746,-0.746,-0.746,,-0.224,-0.224,-0.224,,0.246,0.246,0.246,,-0.575,-0.575,-0.575,,1.129,1.129,1.129,
38836383,N,9704.0,12855.0,12273.933,2010.953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
